jobId,jobUrl,jobTitle,advertiser,listingDate,workType,location,classification,subClassification,email,phone,experience,xenophobe,jobText
50714570,https://www.seek.co.nz/job/50714570,"Opportunity for Perths Best Chauffeurs and Contractors Job in Perth - SEEK","Equity Transport Group","9 Oct 2020","Full Time","Perth, CBD, Inner & Western Suburbs","Self Employment","Self Employment","","      ","How many years"," right to live and work ","TXT/50714570.txt	§Opportunity for Perths Best Chauffeurs and Contractors§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Opportunity for Perths Best Chauffeurs and Contractors§§Advertiser: §Equity Transport Group§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Oct 2020§§Location§§Perth§, §CBD, Inner &amp; Western Suburbs§§Work Type§§Full Time§§Classification§§Self Employment§, §Self Employment§§§§§§Equity Transport Group§ is Australia's leading chauffeur company operating well-known brands Hughes, Car Australia, Qantas Drive, Ezy-Car, and Limousines.com.au, amongst others.§ § § §We have offices in every major city of Australia and work with only the absolute best contractors in the industry with the latest luxury vehicles, including:§ § §Executive Sedans§ §Premium Sedans§ §Premium SUV’s§ §Luxury Mercedes People Movers§ §Minivans, Minibuses, and Coaches§ § § §We currently have §three fleet positions§ available in Perth for contractors with sedans, Mercedes V-Class, Mercedes Sprinters, or Toyota Commuters. The opportunity to join our fleet §for free §does not come around often, so apply today.§ § § §Whether you’re new to the industry and seeking a fresh start, or you’re an experienced chauffeur looking to make a change and work for Australia’s highly regarded, longest-serving chauffeur company, ensure you §apply today.§ § § §To be successful in joining the fleet, you must:§ § §Hold a current WA Driver’s License§ §Have a current Dept. of Transport PTD        (F Endorsement)§ §Have a new or near-new suitable vehicle, appropriately insured and presented with Dept. of Transport PTV (CVL license)§ §Current Police Clearance (less than 3 months old)§ §Demerit and Infringements history report§ §Have a strong command of the English language, both written and oral. Communication with our call centre, operations department, and clients is vital.§ §Have a high degree of attention to detail§ §Value personal presentation including grooming and hygiene as these are key factors in being considered as a professional chauffeur§ §Have a sound understanding of Perth's road network§ §Have a love of driving as you will be on the road for much of the day§ § § §What you get:§ § §A position on Perth and Australia’s largest chauffeur fleet§ §No cost to join§ §No ongoing monthly or annual fees§ §All administrative tasks are taken care of§ §On the job training§ §24/7 national support§ § § §Please do not attempt to make contact with the call center as they will not be able to assist. To be considered for these roles, all contact must come through this website. If your application has been successful, we will contact you for an interview.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in Australia?§How many years&#x27; experience do you have as a chauffeur?§Do you have a current Australian driver&#x27;s licence?§Are you willing to provide a copy of your driving record history?§Do you have experience driving commercial passenger vehicles? (e.g. taxis, tour buses)§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50716034,https://www.seek.co.nz/job/50716034,"Courier driver looking for extra work. Job in Adelaide - SEEK","CITY CIRCLE NEWSAGENTS","9 Oct 2020",Contract/Temp,Adelaide,"Self Employment","Self Employment","","     ",""," right to live and work ","TXT/50716034.txt	§Courier driver looking for extra work.§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Courier driver looking for extra work.§§Advertiser: §CITY CIRCLE NEWSAGENTS§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Oct 2020§§Location§§Adelaide§§Work Type§§Contract/Temp§§Classification§§Self Employment§, §Self Employment§§§§§§To Deliver Newspapers to home delivery customers by throwing newspapers from a suitable vehicle. A small van or even a wagon. Must have or be able to secure an ABN.§ §Work day starts from 2.00am mornings for approx 3 - 4 hours. Income expectations would range from $18,000 to $20,000 pa depending on the days worked.§ §Once trained, early mornings are a pleasant drive with no one to bother you.§ §Looking for someone for 3-4 mornings per week which could include Saturdays and Sundays.§ §Must be available to train for at least 5 days per week for a period of up to 5 weeks.§ § § § §§§§The application form will include these questions:§§Do you have a current Police Check (National Police Certificate) for employment?§Do you have a current Australian driver&#x27;s licence?§Do you own or have regular access to a car?§Are you available to work on a rotating roster?§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50711260,https://www.seek.co.nz/job/50711260,"Rainwater tank installer Job in Sydney - SEEK","Aussie Water Savers Pty Ltd","9 Oct 2020",Casual/Vacation,"Sydney, Parramatta & Western Suburbs","Self Employment","Self Employment","","  ","How many years","Which of the following statements best describes your right to work in Australia?","TXT/50711260.txt	§Rainwater tank installer§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Rainwater tank installer§§Advertiser: §Aussie Water Savers Pty Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Oct 2020§§Location§§Sydney§, §Parramatta &amp; Western Suburbs§§Work Type§§Casual/Vacation§§Classification§§Self Employment§, §Self Employment§§§§§§Are you a plumbing professional looking for a change?§ §Do you want your weekends back?§ §Are you presentable and have impeccable communication skills?§ §Are you reliable, honest and take pride in your work?§ § §  §If you answered yes then we want to hear from you.§  § §  §Aussie Water Savers designs, manufacturers, installs and services rainwater tank systems, and we need more enthusiastic committed people for our team.§  §This contractor position comes with training and induction and will be open to offer for the right person.§  §Work is available across Sydney and some regional NSW areas from time to time.  §  §The ideal person should be, § § §Have 3 - 4 years experience in plumbing§ §Can demonstrate skill and expertise in replacing gutter on new and existing homes§ §Have general building knowledge§ §Understands the importance of presentation and customer communication§ §Meets dead lines on time, and can prioritise work to suit§ §In addition to this contractor role, there is also a position for a casual employed role.   §  §What’s in it for the candidate?§ § §The environment is a friendly team run by a family dedicated to the business success§ §Local shops are are short drive away§ §Early start and early finish on most days with no weekend work§ §Interested?  §  §Submit a one page covering letter detailing your interest in the role.  Only shortlisted candidates will be contacted.§  § §  §NO AGENCIES§ § §  § §§§§The application form will include these questions:§§Which of the following statements best describes your right to work in Australia?§Do you have customer service experience?§Do you have a current Police Check (National Police Certificate) for employment?§How many years&#x27; experience do you have in the construction industry?§Do you own or have regular access to a car?§§§"
50668602,https://www.seek.co.nz/job/50668602,"Contract Driver Job in Sydney - SEEK",Alsco,"1 Oct 2020",Contract/Temp,"Sydney, CBD, Inner West & Eastern Suburbs","Self Employment","Self Employment",""," ","Alsco have been serving Australian businesses for 50 years","Which of the following statements best describes your right to work in Australia?","TXT/50668602.txt	§Contract Driver§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Contract Driver§§Advertiser: §Alsco§§More jobs from this company§§§§Job Information§§Job Listing Date§§1 Oct 2020§§Location§§Sydney§, §CBD, Inner West &amp; Eastern Suburbs§§Work Type§§Contract/Temp§§Classification§§Self Employment§, §Self Employment§§§§§§§§§  §    §    §      §Contract Driver §      §        §          §Do you want to run your own business?§          §Would you like to §earn between $100,000 and $120,000+§ each year?§          §Are you customer service oriented?§          §Do you have a §Pantech truck§?§          §Current MR Licence?§        §        §If you’re answering yes, yes, yes and yes, then Alsco has the perfect opportunity for you.§        §Know someone who could be interested? Share this opportunity.§        §Be Your Own Boss – Work Your Own Hours§        §Alsco is looking for Delivery Subcontractors§ to join the team as part of the product and customer service delivery chain.§        §You’ll operate your own business using Alsco’s §world-class training and processes§, delivering innovative products and services to hundreds of customers on your exclusive route.§        §Every day, Alsco’s exceptional sales team will work hard to bring you §new business, exclusive to your route§, at no additional cost to you.§        §So if you …§        §          §are self-motivated§          §have great customer service skills§          §want to take the first step to self-employment§        §        §then apply now for our owner truck driver jobs. §Routes are being filled fast, so don’t miss out.§        §Want to know more?§        §Do I need my own vehicle?§        §Yes, you will need a white Pantech truck that is in good condition and less than 8 years old. It can either be your own truck or leased. We’ll provide the truck with Alsco and Fresh &amp; Clean branding that looks bright, professional and will help you attract more customers.§        §Will I receive training?§        §Yes, Alsco provide every Delivery Subcontractor with a comprehensive 4 week training programme which covers everything from route logistics, customer service techniques, product education, installation procedures that is fully documented in the Alsco Service Excellence Program.§        §Can I get paid while I learn?§        §Absolutely! Every Delivery Subcontractor automatically receives fully paid, on-the-job training at the relevant award rate. You start earning on your first day and for the entire 4 weeks that you are being trained.§        §How can I earn the maximum amount?§        §Alsco have been serving Australian businesses for 50 years and with over 45,000 businesses big and small, all around Australia, there is sure to be a route that suits your income needs.§        §In your application be sure to mention your preferred city and provide us with additional detail about the size of the route you’re looking for and how far you’re willing to travel. We’ll do our best to match your request with the available routes.§        §The average route will earn you at least $100,000 to $120,000 per year. The busiest city routes can earn you more depending upon the workload and number of hours worked. These opportunities are being snapped up fast by the best applicants.§        §I have a friend/partner/family member who is also interested. Can I apply on their behalf?§        §Alsco welcomes husband and wife teams. Running a Delivery Subcontractor business together makes the work more enjoyable and the responsibility can be shared. Make your application in the same way, but mention that you are a team.§        §What paperwork do I need before I register?§        §Before you apply for one of the available routes please make sure you have the following paperwork ready:§        §          §Proprietary Limited company with you as a Director§          §Registered for GST with ABN registration certificate§          §Truck insurance, Public Liability insurance, Workers Compensation§        §        §Where can I get the required business licenses?§        §Visit Business.gov.au to set up your company and learn more about tax obligations.§        §Why Alsco? Why now?§        §Because you want to work for the best!§        §Alsco has an unmatched reach with over 45,000 customers around Australia and with the most innovative and highest quality products available in the market today.§        §You will be supported, on a daily basis, by Alsco’s extensive sales team. There is no cost for acquiring new customers on your route, and our sales executives are working hard to deliver these opportunities to you every single day. You will be fully supported by our Australia-wide sales branches.§        §Perhaps the most compelling reason is that this is a §brand new opportunity§. Alsco has never before offered Delivery Subcontractor careers outside of the company. You will be part of the first intake of new Delivery Subcontractors and you will therefore get the best choice of the most lucrative routes.§      §      § ALSCO is the leading textile rental company in the world with a strong presence in many Australian industries - including hospitality, manufacturing, healthcare and mining. We are a committed group that takes pride in looking after our clients and employees and delivering exceptional customer service at all times.§        § A company with branches across all states of Australia and throughout Australasia, ALSCO is a mature, stable and successful business with strong support systems throughout the organisation and an ingrained culture of safety and continuous improvement.§      §    §  §§§ §Do you want to run your own business?§ §Would you like to §earn between $100,000 and $120,000+§ each year?§ §Are you customer service oriented?§ §Do you have a §Pantech truck§?§ §Current MR Licence?§ §If you’re answering yes, yes, yes and yes, then Alsco has the perfect opportunity for you.§ §Know someone who could be interested? Share this opportunity.§ §Be Your Own Boss – Work Your Own Hours§ §Alsco is looking for Delivery Subcontractors§ to join the team as part of the product and customer service delivery chain.§ §You’ll operate your own business using Alsco’s §world-class training and processes§, delivering innovative products and services to hundreds of customers on your exclusive route.§ §Every day, Alsco’s exceptional sales team will work hard to bring you §new business, exclusive to your route§, at no additional cost to you.§ §So if you …§ § §are self-motivated§ §have great customer service skills§ §want to take the first step to self-employment§ §then apply now for our owner truck driver jobs. §Routes are being filled fast, so don’t miss out.§ §Want to know more?§ §Do I need my own vehicle?§ §Yes, you will need a white Pantech truck that is in good condition and less than 8 years old. It can either be your own truck or leased. We’ll provide the truck with Alsco and Fresh &amp; Clean branding that looks bright, professional and will help you attract more customers.§ §Will I receive training?§ §Yes, Alsco provide every Delivery Subcontractor with a comprehensive 4 week training programme which covers everything from route logistics, customer service techniques, product education, installation procedures that is fully documented in the Alsco Service Excellence Program.§ §Can I get paid while I learn?§ §Absolutely! Every Delivery Subcontractor automatically receives fully paid, on-the-job training at the relevant award rate. You start earning on your first day and for the entire 4 weeks that you are being trained.§ §How can I earn the maximum amount?§ §Alsco have been serving Australian businesses for 50 years and with over 45,000 businesses big and small, all around Australia, there is sure to be a route that suits your income needs.§ §In your application be sure to mention your preferred city and provide us with additional detail about the size of the route you’re looking for and how far you’re willing to travel. We’ll do our best to match your request with the available routes.§ §The average route will earn you at least $100,000 to $120,000 per year. The busiest city routes can earn you more depending upon the workload and number of hours worked. These opportunities are being snapped up fast by the best applicants.§ §I have a friend/partner/family member who is also interested. Can I apply on their behalf?§ §Alsco welcomes husband and wife teams. Running a Delivery Subcontractor business together makes the work more enjoyable and the responsibility can be shared. Make your application in the same way, but mention that you are a team.§ §What paperwork do I need before I register?§ §Before you apply for one of the available routes please make sure you have the following paperwork ready:§ § §Proprietary Limited company with you as a Director§ §Registered for GST with ABN registration certificate§ §Truck insurance, Public Liability insurance, Workers Compensation§ §Where can I get the required business licenses?§ §Visit Business.gov.au to set up your company and learn more about tax obligations.§ §Why Alsco? Why now?§ §Because you want to work for the best!§ §Alsco has an unmatched reach with over 45,000 customers around Australia and with the most innovative and highest quality products available in the market today.§ §You will be supported, on a daily basis, by Alsco’s extensive sales team. There is no cost for acquiring new customers on your route, and our sales executives are working hard to deliver these opportunities to you every single day. You will be fully supported by our Australia-wide sales branches.§ §Perhaps the most compelling reason is that this is a §brand new opportunity§. Alsco has never before offered Delivery Subcontractor careers outside of the company. You will be part of the first intake of new Delivery Subcontractors and you will therefore get the best choice of the most lucrative routes.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in Australia?§Do you have a heavy vehicle driver&#x27;s licence?§What&#x27;s your expected annual base salary?§Do you have a current Australian driver&#x27;s licence?§§§"
50716034,https://www.seek.co.nz/job/50716034,"Driving Instructor Job in Perth - SEEK","iDrive Academy","30 Sept 2020",Contract/Temp,"Perth, CBD, Inner & Western Suburbs","Self Employment","Self Employment","","     ",""," right to live and work ","TXT/50658045.txt	§Driving Instructor§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Driving Instructor§§Advertiser: §iDrive Academy§§More jobs from this company§§§§Job Information§§Job Listing Date§§30 Sept 2020§§Location§§Perth§, §CBD, Inner &amp; Western Suburbs§§Work Type§§Contract/Temp§§Classification§§Self Employment§, §Self Employment§§§§§§Accredited Driving Instructors Wanted !§  §Work your own hours. Earn $ 2000 plus per week.§  §iDrive Academy is a well established driving school operating around the Western and Northern suburbs. §  §If you would like to join our team please contact us now to find out more.§  § §§§§"
50714570,https://www.seek.co.nz/job/50714570,"Work From Home Business Opportunity Job in Melbourne - SEEK","Community Lifestyle Centres","1 Oct 2020","Part Time","Melbourne, CBD & Inner Suburbs","Self Employment","Self Employment","","      ","How many years"," right to live and work ","TXT/50669075.txt	§Work From Home Business Opportunity§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Work From Home Business Opportunity§§Advertiser: §Community Lifestyle Centres§§More jobs from this company§§§§Job Information§§Job Listing Date§§1 Oct 2020§§Location§§Melbourne§, §CBD &amp; Inner Suburbs§§Work Type§§Part Time§§Classification§§Self Employment§, §Self Employment§§§§§§About us§  §International Health, Nutrition &amp; Fitness Business that is Community driven is breaking sales records in Victoria, due to the current situation in Australia &amp; NZ. If you have a successful track record in sales, recruitment and/or marketing, WE NEED HELP NOW. We are looking for more independent business owners who want to earn an income from home helping other with their health &amp; lifestyle goals.§  §Tasks &amp; responsibilities§ § §Promoting and marketing health &amp; nutrition programs and community events§ §Attending and conducting online and in person workshops§ §SALES of health &amp; nutrition products &amp; programs§ §New business development with community members, organisations and business owners§ §Qualifications &amp; experience§ § §Good communication skills§ §Marketing and promotional skills§ §Understand and create online media strategies§ §Interest in health, nutrition and active lifestyle§ §Benefits§ § §Work flexible hours§ §Work from home or from our established Lifestyle Centres§ §Mentoring &amp; Leadership Program§ §Commissions and Bonuses§ §Career advancement opportunities§§§§The application form will include these questions:§§Do you have a current Australian driver&#x27;s licence?§Do you own or have regular access to a car?§Are you available to work public holidays?§§§"
50658045,https://www.seek.co.nz/job/50658045,"Health & Lifestyle Ambassador  Job in Melbourne - SEEK","The Missfits Lifestyle Project","7 Oct 2020","Part Time","Melbourne, CBD & Inner Suburbs","Self Employment","Self Employment",""," ","","","TXT/50697026.txt	§Health &amp; Lifestyle Ambassador §§More jobs from this company§§§§§§§§Job Description§§Job Header§§Health &amp; Lifestyle Ambassador §§Advertiser: §The Missfits Lifestyle Project§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Oct 2020§§Location§§Melbourne§, §CBD &amp; Inner Suburbs§§Work Type§§Part Time§§Classification§§Self Employment§, §Self Employment§§§§§§About us§We are a global health, nutrition and fitness business that is community-driven and currently experiencing tremendous growth due to the unprecedented times worldwide. We are looking for entrepreneurial mindset individuals who are wanting to start their own business or currently business owners seeking to earn an extra income from home, while helping others achieve their wellness and lifestyle goals. Full training will be provided and a willingness to learn is imperative to succeed in this role.§ §Tasks and responsibilities§Promoting and marketing health and nutrition programs as well as fun community events§Attending workshops online and in person, including plenty of training§New business development with community members, organisations and business owners§Contribute to improving and enhancing business processes § §Qualifications and experience§Excellent communication skills§Marketing and promotional skills§Highly ambitious and must be teachable §Must be able to work in a fast paced environment§An interest in health and fitness would be preferable but not essential §Agile and resilient, must be adaptable and emotionally intelligent§ §Benefits§Work on your own terms and flexible hours§Work from the comfort of your own home or from our  established Community Lifestyle Centres§Mentoring and leadership programs§Commissions and bonuses§Career advancement opportunities§Recognition and rewards § §§§§"
50669075,https://www.seek.co.nz/job/50669075,"Owner Job in Perth - SEEK","Xercise Zone","24 Sept 2020",Casual/Vacation,"Perth, Fremantle & Southern Suburbs","Self Employment","Self Employment","","    ","","","TXT/50625711.txt	§Owner§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Owner§§Advertiser: §Xercise Zone§§More jobs from this company§§§§Job Information§§Job Listing Date§§24 Sept 2020§§Location§§Perth§, §Fremantle &amp; Southern Suburbs§§Salary§§$50 - $54.99 per hour§§Work Type§§Casual/Vacation§§Classification§§Self Employment§, §Self Employment§§§§§§§About us§Previously we were training under the name Step into Life. We have been training at Burrendah Park for just over 11 years. §There are 13 sessions on the timetable and the owner is looking for someone to take on some of the sessions. §As a business owner in more than one business in the fitness industry the candidate will be able to learn and gain some valuable experience.§§Qualifications &amp; experience§§Cert 3 and 4 in Fitness and group training experience will be to your advantage but not a requirement.§Would be great if the person do have social media skills to assist with social media marketing etc.§Must have a manual Drivers License§§§Tasks &amp; responsibilities§§Looking for a qualified Personal Trainer to run Group § Outdoor Sessions (Groups sizes 10 to 15)§Opportunity does exist for individual to take over some minor  management functions thereby increasing their income.§Must be able to do early morning sessions 6am, 9:15am and evening sessions at 6pm. If candidate can't commit to all these times an arrangement can still be made.§§§Benefits§§The members at Xercise Zone is fun and energetic. §If you are able to assist in the Management/Marketing side of the business you can work from home and choose your own hours§Training outdoors at Burrendah Park (Willetton) is just awesome.§§§§§The application form will include these questions:§§Do you have a current Australian driver&#x27;s licence?§Do you own or have regular access to a car?§§§"
50697026,https://www.seek.co.nz/job/50697026,"Driving Instructor Job in Brisbane - SEEK","Affordable Driving School","29 Sept 2020",Contract/Temp,"Brisbane, CBD & Inner Suburbs","Self Employment","Self Employment","","    ","","","TXT/50650302.txt	§Driving Instructor§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Driving Instructor§§Advertiser: §Affordable Driving School§§More jobs from this company§§§§Job Information§§Job Listing Date§§29 Sept 2020§§Location§§Brisbane§, §CBD &amp; Inner Suburbs§§Work Type§§Contract/Temp§§Classification§§Self Employment§, §Self Employment§§§§§§About us§ §Affordable Driving School is Brisbane's biggest and best. This incredibly rewarding position is complimented by being your own boss and controlling your own workload and calendar systems.As a manual driving instructor for us, you will be teaching students to drive competently and safely. Have the flexibility to choose working days and times to suit yourself.§ §Qualifications &amp; experience§ § § §Certificate 4 in driver training or willing to get one§Clean driving record§Hold a valid blue card§ § § §Tasks &amp; responsibilities§ § § §Teaching students to drive competently and safely§ § § §Benefits§ § § §Run your own business within our thriving business§ § §§§§The application form will include these questions:§§Which of the following statements best describes your right to work in Australia?§Do you have a current Working With Children (WWC) Check?§Do you have a Certificate IV in Training and Assessment?§§§"
50625711,https://www.seek.co.nz/job/50625711,"Driving Instructor - Randwick Job in Sydney - SEEK","NRMA Motoring & Services","22 Sept 2020",Contract/Temp,"Sydney, CBD, Inner West & Eastern Suburbs","Self Employment","Self Employment","","","Previously we were training under the name Step into Life. We have been training at Burrendah Park for just over 11 years","","TXT/50607891.txt	§Driving Instructor - Randwick§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Driving Instructor - Randwick§§Advertiser: §NRMA Motoring &amp; Services§§More jobs from this company§§§§Job Information§§Job Listing Date§§22 Sept 2020§§Location§§Sydney§, §CBD, Inner West &amp; Eastern Suburbs§§Work Type§§Contract/Temp§§Classification§§Self Employment§, §Self Employment§§§§§§§§§  §    §      §Driving Instructor - Randwick §      §        §§        §Support your community in making our roads a safer place.  Be a part of helping people through their journey of learning to drive.§        §About us§        §The NRMA is the leader in road safety advocacy and our Driver Training team are looking for individuals who enjoy being involved in their local community and want to make a social impact on today's leaner drivers.§        §About the opportunity§        §Driver Trainers bring to The NRMA a unique mix of experience, social and cultural diversity, however the one thing they all have in common is their passion and dedication to help our learner drivers of today become safe and independent drivers.§        §There are several different streams of training that you will have the opportunity to deliver including Keys2Drive, Older Driver Assessments and the NSW Safer Drivers Course for learners. §        §This is on top of providing the highest standard of 1:1 driver training to both learners and experienced drivers. §        §About you§        §This role is suited to someone who wants to run their own small business, whilst being supported by one Australia's most trusted brands.§        §What's in it for me?§        §          §Access to our industry leading curriculum§          §Flexible working days and hours§          §Have a real social impact on your community§          §Assistance with start up costs and process§          §Be supported by a well known organisation§          §Complimentary NRMA premium membership§          §Several revenue stream opportunities§        §        §To succeed in this role you will:§        §          §Have an aptitude for training &amp; coaching§          §Be a clear communicator§          §A motivated self-starter§          §Hold great customer service at the heart of everything you do§          §A clear driving record§          §Pass the local government driving instructor eligibility process§          §Have or be willing to obtain a late model car§          §Willingness to take on contract work§        §        §If you are looking for a complete a career change, want to contribute to your community or are semi-retired, talk to us about joining our dynamic and passionate team of NRMA Driver Trainers.§        §Watch our video to hear from some of our existing drivers, and to get more of a feel about the opportunity. §        §For more information visit §www.mynrma.com.au/driving-instructors§      §      §      §    §    §  §§§Support your community in making our roads a safer place.  Be a part of helping people through their journey of learning to drive.§ §About us§ §The NRMA is the leader in road safety advocacy and our Driver Training team are looking for individuals who enjoy being involved in their local community and want to make a social impact on today's leaner drivers.§ §About the opportunity§ §Driver Trainers bring to The NRMA a unique mix of experience, social and cultural diversity, however the one thing they all have in common is their passion and dedication to help our learner drivers of today become safe and independent drivers.§ §There are several different streams of training that you will have the opportunity to deliver including Keys2Drive, Older Driver Assessments and the NSW Safer Drivers Course for learners. § §This is on top of providing the highest standard of 1:1 driver training to both learners and experienced drivers. § §About you§ §This role is suited to someone who wants to run their own small business, whilst being supported by one Australia's most trusted brands.§ §What's in it for me?§ § §Access to our industry leading curriculum§ §Flexible working days and hours§ §Have a real social impact on your community§ §Assistance with start up costs and process§ §Be supported by a well known organisation§ §Complimentary NRMA premium membership§ §Several revenue stream opportunities§ §To succeed in this role you will:§ § §Have an aptitude for training &amp; coaching§ §Be a clear communicator§ §A motivated self-starter§ §Hold great customer service at the heart of everything you do§ §A clear driving record§ §Pass the local government driving instructor eligibility process§ §Have or be willing to obtain a late model car§ §Willingness to take on contract work§ §If you are looking for a complete a career change, want to contribute to your community or are semi-retired, talk to us about joining our dynamic and passionate team of NRMA Driver Trainers.§ §Watch our video to hear from some of our existing drivers, and to get more of a feel about the opportunity. § §For more information visit §www.mynrma.com.au/driving-instructors§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in Australia?§Do you have a current Australian driver&#x27;s licence?§Do you own or have regular access to a car?§Which of the following days and times are you available to work?§What&#x27;s your expected hourly rate?§§§"
