jobId,jobUrl,jobTitle,advertiser,listingDate,workType,location,classification,subClassification,email,phone,experience,xenophobe,jobText
50488068,https://www.seek.co.nz/job/50488068,"Content Team Leader Job in Wellington - SEEK",Xero,"23 Sept 2020","Full Time","Wellington, Wellington Central",Advertising,Management,"","  ",""," right to live and work ","TXT/50488068.txt	§Content Team Leader§§More jobs from this company§§§§§§§§§§§Job Description§§Job Header§§Content Team Leader§§Advertiser: §Xero§§More jobs from this company§§§§Job Information§§Job Listing Date§§23 Sept 2020§§Location§§Wellington§, §Wellington Central§§Work Type§§Full Time§§Classification§§Advertising, Arts &amp; Media§, §Management§§§§§§Xero is a beautiful, easy-to-use platform that helps small businesses and their accounting and bookkeeping advisors grow and thrive. § §At Xero, our purpose is to make life better for people in small business, their advisors, and communities around the world. This purpose sits at the centre of everything we do. We support our people to do the best work of their lives so that they can help small businesses succeed through better tools, information and connections. Because when they succeed they make a difference, and when millions of small businesses are making a difference, the world is a more beautiful place.§ §Do you have a passion for helping deliver exceptional written content with one eye for detail and one for the big picture? Are you a leader with the drive to help our high performing team to enable us to make the Xero user help experience the best it can be? Can you balance providing world class leadership with delivering a variety of strategic goals?§ §We are seeking a Team Leader to join the Support Content team. As part of Customer Success we are responsible for providing our customers with instant answers, via our award winning Xero Central support platform, that helps them understand how to use and get the best out of the Xero product.§ §In this role you’ll provide leadership and guidance to a team of Content Developers, helping them to ensure our knowledge is in front of the right people at the right time, enabling a beautiful experience for our customers.§ §You’ll be responsible for dealing with ambiguity, prioritising and resolving issues quickly and constructively, while delivering on Xero’s strategic goals. You will balance the demands of a constantly evolving product set while providing leadership, development opportunities and guidance to your team.§ §Xero is an NZ Immigration Accredited Employer and Rainbow Tick certified too.§ §Please include a cover letter in your application, telling us why you’re a great fit for this position.§§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50488392,https://www.seek.co.nz/job/50488392,"Content Team Leader Job in Auckland - SEEK",Xero,"23 Sept 2020","Full Time","Auckland, Auckland Central",Advertising,Management,"","  ",""," right to live and work ","TXT/50488392.txt	§Content Team Leader§§More jobs from this company§§§§§§§§§§§Job Description§§Job Header§§Content Team Leader§§Advertiser: §Xero§§More jobs from this company§§§§Job Information§§Job Listing Date§§23 Sept 2020§§Location§§Auckland§, §Auckland Central§§Work Type§§Full Time§§Classification§§Advertising, Arts &amp; Media§, §Management§§§§§§Xero is a beautiful, easy-to-use platform that helps small businesses and their accounting and bookkeeping advisors grow and thrive. § §At Xero, our purpose is to make life better for people in small business, their advisors, and communities around the world. This purpose sits at the centre of everything we do. We support our people to do the best work of their lives so that they can help small businesses succeed through better tools, information and connections. Because when they succeed they make a difference, and when millions of small businesses are making a difference, the world is a more beautiful place.§ §Do you have a passion for helping deliver exceptional written content with one eye for detail and one for the big picture? Are you a leader with the drive to help our high performing team to enable us to make the Xero user help experience the best it can be? Can you balance providing world class leadership with delivering a variety of strategic goals?§ §We are seeking a Team Leader to join the Support Content team. As part of Customer Success we are responsible for providing our customers with instant answers, via our award winning Xero Central support platform, that helps them understand how to use and get the best out of the Xero product.§ §In this role you’ll provide leadership and guidance to a team of Content Developers, helping them to ensure our knowledge is in front of the right people at the right time, enabling a beautiful experience for our customers.§ §You’ll be responsible for dealing with ambiguity, prioritising and resolving issues quickly and constructively, while delivering on Xero’s strategic goals. You will balance the demands of a constantly evolving product set while providing leadership, development opportunities and guidance to your team.§ §Xero is an NZ Immigration Accredited Employer and Rainbow Tick certified too.§ §Please include a cover letter in your application, telling us why you’re a great fit for this position.§§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50527627,https://www.seek.co.nz/job/50527627,"Brand Ambassador Masterton Job in Wellington - SEEK","THE IN GROUP","8 Sept 2020",Casual/Vacation,"Wellington, Rest of Wellington Region",Advertising,Promotions,"","  ","","Which of the following statements best describes your right to work in New Zealand?","TXT/50527627.txt	§Brand Ambassador Masterton§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Brand Ambassador Masterton§§Advertiser: §THE IN GROUP§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Sept 2020§§Location§§Wellington§, §Rest of Wellington Region§§Salary§§$20 - $24.99 per hour§§Work Type§§Casual/Vacation§§Classification§§Advertising, Arts &amp; Media§, §Promotions§§§§§§About Us§  §We are an Auckland-based Events and Marketing company that specialises in product sampling, in store product demonstrations, events and brand activations.§  §About the Role§  §We are looking for exceptional Brand Ambassadors to be part of our team of Wine Demonstrators.    §  §Full training will be provided and you will learn about some of the best wines New Zealand has to offer.    §  §There are 4 shifts available per week,  and you select the shift times that suit you best from the times below. §  §Shift times to choose from are: §  §Wednesday - Friday: 15:00 -18:00§  §Saturday - Sunday: 14:00 -17:00§  §You are§ § §Confident and love to approach people§ §Self-motivated and reliable – You will be working on your own and need to maintain the highest possible standards at all times.§ §A strong communicator§ §Well presentable – You will be the face of the brand and need to look the part.§ §Adaptable and can read a situation -You have to engage customers at all times and know when to change your approach to reach the maximum number of people.§ §Target Driven -You will be given a sales target for each shift.§ §You have§ § §A history of working in sales, retail or customers services or a strong desire to learn more about it.§ §An excellent work-ethic.§ §A Safe in Store Pass - We will assist in getting one if required but please be aware of what it is. § §A desire to work a few extra hours per week to supplement income. § §What we can offer you§  §The Starting rate is $21.50 ($23.22 including Holiday Pay) §  §Mileage will be included for any shift that is more than a 30 kilometer round trip, but we will try to schedule you on the closest shifts first.§  §Full paid product and campaign training will be provided. §  §APPLY NOW!§Please apply with a CV and cover letter detailing why you would be a strong candidate for this role. Applications without this cover letter will not be considered.§  §To apply for this vacancy, you MUST be a New Zealand citizen, resident, or have already secured the right to work permanently in New Zealand without a business sponsor.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Do you own or have regular access to a car?§Are you available to travel for this role when required?§How far are you willing to travel for work?§How would you rate your English language skills?§§§"
50528628,https://www.seek.co.nz/job/50528628,"Global Creative Designer Job in Auckland - SEEK",Icebreaker,"8 Sept 2020","Full Time","Auckland, Auckland Central",Advertising,"Art Direction",Philippa_irvine@vfc.com," +64 21 564 691   ","3+ years","","TXT/50528628.txt	§Global Creative Designer§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Global Creative Designer§§Advertiser: §Icebreaker§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Sept 2020§§Location§§Auckland§, §Auckland Central§§Work Type§§Full Time§§Classification§§Advertising, Arts &amp; Media§, §Art Direction§§§§§§Creative by Nature.§ §Do you have that natural creative instinct? Are you a natural at pairing words with images to drive new thinking and conversation? Do you challenge the status quo with a disruptive streak?§ §Then this could be the move you’ve been looking for; §the move to natural.§ §The apparel industry needs a shake-up. At icebreaker, we’ve always believed in the pursuit of better, inspired by nature to create sustainable natural performing apparel solutions. As the first purpose-led acquisition of VF Corporation we have never been better placed to drive a global movement for nature, and for the betterment of our species and the planet.§ §As §Global Creative Designer§ located in our §global head office in Auckland, New Zealand§, you will responsible for visualising consumer-led brand, product and campaign concepts for omni-channel use. Creatively working with the creative team by developing disruptive propositions connected to the icebreaker brand vision, product use, benefit and USP. Collaborate closely with brand and creative hub team members to ensure relevancy across region and media channels, both digital and physical.§ §What’s on your CV:§ § §3+ years’ experience working across multiple design and brand led projects connected to elevating the positioning and creative execution of brand and product solutions (agency or brand-side)§ §Illustrative skills for rough sketches§ §Ability to work quickly to mock-up prototypes and/or rough concepts§ §Copywriting skills to deliver holistic creative responses to briefs§ §Proofing skills, strong attention to detail and proven self-checking processes§ §Good understanding of the briefing, creative design and production process§ §Experience in both online and offline concept creation§ §Photo/videography and retouching skills§ §Expert in the latest Adobe CC (Photoshop, Illustrator and InDesign)§ §Who you are:§ § §Strong communication skills with all levels and cultures within an organisation § §Great time management and prioritizing skills with the ability to meet strict deadlines§ §Curious, with a global understanding and outlook, and strong desire to continually learn and evolve § §Believe in our icebreaker values: authentic, passionate, achiever, adventurous§ §A brand ambassador who is drawn in by our story and inspired by the authenticity and uniqueness of our brand § §A highly collaborative team player and team builder§ §Always comes up with “bright ideas” and new ways of doing things, and executes them § §Proven to thrive in a fast-paced, high-pressured creative and commercial environment § §If this opportunity feels like the type of job, you’re passionate about, and it fits with your skills and experience, please click apply to send us your CV with a covering letter explaining why you'd be right for icebreaker.§ §The recruitment of this position is being managed by Philippa Irvine, Global Talent Scout. For any queries, contact Philippa directly on +64 21 564 691 or email §Philippa_irvine@vfc.com§§§§"
50546221,https://www.seek.co.nz/job/50546221,"Choir Manager Job in Auckland - SEEK","Auckland Youth Choir","10 Sept 2020","Part Time","Auckland, Auckland Central",Advertising,"Performing Arts",warwick.harveynz@gmail.com," ","","","TXT/50546221.txt	§Choir Manager§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Choir Manager§§Advertiser: §Auckland Youth Choir§§More jobs from this company§§§§Job Information§§Job Listing Date§§10 Sept 2020§§Location§§Auckland§, §Auckland Central§§Work Type§§Part Time§§Classification§§Advertising, Arts &amp; Media§, §Performing Arts§§§§§§Part time with flexible hours§Administrative, organisational and marketing role§Background in the arts preferred§The Auckland Youth Choir (§www.ayc.org.nz§ ) was founded in 1984 to provide an opportunity for choristers leaving secondary school to sing in a choir which would be a premier vehicle for cultivating young musical talent in the art of choral singing. It has developed an enviable reputation for performance excellence reflected in an invitation to sing at Carnegie Hall in New York in 2016 and winning the choir section of the 2019 Australian International Music Festival where one of the performances was in the Sydney Opera House. §Due to the pending relocation of our current Administrator we now wish to appoint a Choir Manager who will work alongside the Director of Music and Committee. Areas of responsibility will include:§Secretarial duties§Financial administration and funding application§Concert Management§Marketing and publicity including social media and web site.§This requires skills in the areas above along with good written and verbal communication skills, proven capability in planning and project management and a high level of initiative. Computer literacy will be necessary. An understanding of the needs of a choir and a background in arts administration would be desirable. The ability to establish good relationships with senior students and young adults is essential.§You will need to be able to work from home and have a drivers licence. Hours will be flexible. Availability at some rehearsals on Monday evenings from February to October will be necessary.§For further information and a copy of the job description please email the Choir Chairman, Warwick Harvey at §warwick.harveynz@gmail.com§. Applications should include a CV.§Applications close on Friday 25th of September.§ §§§§"
50548564,https://www.seek.co.nz/job/50548564,"Senior Production Manager Job in Auckland - SEEK","Maori Television","11 Sept 2020","Full Time","Auckland, Manukau & East Auckland",Advertising,"Programming & Production","","  ","Minimum five years"," right to live and work ","TXT/50548564.txt	§Senior Production Manager§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Senior Production Manager§§Advertiser: §Maori Television§§More jobs from this company§§§§Job Information§§Job Listing Date§§11 Sept 2020§§Location§§Auckland§, §Manukau &amp; East Auckland§§Work Type§§Full Time§§Classification§§Advertising, Arts &amp; Media§, §Programming &amp; Production§§§§§§§§§  §    §    §      §      §Senior Production Manager §      §        §Senior Production Manager§        §We are looking for an experienced Senior Production Manager to join our Content Creation In-house Production team.  You will work alongside the Manager, In-house and Multi-platform Producer to provide exceptional production management support across the department.§        § §        §Core capabilities:§        §          §Excellent people management skills and communication.§          §Exceptional production management across productions including production process, scheduling, budgeting, general finance and production crewing.§          §Minimum five years’ production management experience across multiple content genres.§          §Good understanding of te reo Māori and tikanga is an advantage§        §        § §        §The principles that guide how we operate and work together are the following:§        §          §Kia Tika - Be professional and maintain high standards§          §Kia Pono - Be truthful, honest and act with integrity§          §Kia Aroha - Be respectful and demonstrate empathy§          §Kia Māori - Maintain core Māori values§        §      §      §      §    §    §DISCLAIMER: §We do not accept unsolicited agency resumes. We are not responsible for any fees related to unsolicited resumes.§  §§§Senior Production Manager§ §We are looking for an experienced Senior Production Manager to join our Content Creation In-house Production team.  You will work alongside the Manager, In-house and Multi-platform Producer to provide exceptional production management support across the department.§ § § §Core capabilities:§ § §Excellent people management skills and communication.§ §Exceptional production management across productions including production process, scheduling, budgeting, general finance and production crewing.§ §Minimum five years’ production management experience across multiple content genres.§ §Good understanding of te reo Māori and tikanga is an advantage§ § § §The principles that guide how we operate and work together are the following:§ § §Kia Tika - Be professional and maintain high standards§ §Kia Pono - Be truthful, honest and act with integrity§ §Kia Aroha - Be respectful and demonstrate empathy§ §Kia Māori - Maintain core Māori values§§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50551839,https://www.seek.co.nz/job/50551839,"Portrait Photographer with personality plus! Job in Waikato - SEEK","Seddon Portrait House","11 Sept 2020","Full Time","Waikato, Hamilton",Advertising,Photography,"","    ","How many years","Which of the following statements best describes your right to work in New Zealand?","TXT/50551839.txt	§Portrait Photographer with personality plus!§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Portrait Photographer with personality plus!§§Advertiser: §Seddon Portrait House§§More jobs from this company§§§§Job Information§§Job Listing Date§§11 Sept 2020§§Location§§Waikato§, §Hamilton§§Work Type§§Full Time§§Classification§§Advertising, Arts &amp; Media§, §Photography§§§§§§Are you looking for a career in photography working with a passionate and highly motivated team?§  §Do you enjoy working with families, children, pets and businesses?§  §We are a leading photography studio specialising in capturing memories that delight our families.  Many of our clients return time and time again to update their memories through stunning wall art and albums.§  §The role is full time from Tuesday (including late night) to Saturday.  We offer a supportive environment working alongside a creative team that love delivering the absolute best quality and amazing experience for each and every client.§  §This role will suit someone that loves to ‘amaze’ our clients with the stunning images they capture as a result of their passion for photography, high energy and warm personality.  You will love working with children from newborn to teenagers and precious fur-babies of all kinds.  You will have a desire to continually improve your skills and be highly self-motivated to work alone and within a team. §  §To be successful you §must§ §have:§  §At least three years proven photography experience (focused on portraiture) and ideally a relevant University/Technical Institute Degree together with –§ § §A passion for delivering exceptional customer experience§ §A love of people and pets (and even products)§ §Being a people person with a warm personality that builds trust and rapport quickly§ §Ability to think on your feet and work under pressure to capture those special moments our clients will fall in love with§ §Highly skilled in Adobe software including Lightroom and Bridge§ §Full clean driver’s license§ §Exceptional time management with the ability to multi task and prioritise§ §Exceptional attention to detail§ §Ideally experienced in photographing for print vs digital output§ §Strong administrative skills and process focused§ §A desire to achieve outstanding results§ §Reliable and trustworthy§ §Ability to work independently and self-manage§ §Ability to play a significant role in our creative style and to ensure it reflects our clients’ desires and current trends§ §Flexible with hours of work§ §The core of this role is to deliver an exceptional photography experience to our clients from across the Waikato, Bay of Plenty and Auckland regions. The day-to-day role includes photo sessions (in studio and on location), editing images (prior to viewing and production), placing client orders and quality checks.§  §If this sounds like the perfect role for you, please apply with your CV and a covering letter by Wednesday 30 September 2020.§  §If you are shortlisted for an interview, we will require you to show us some of your work.§  §Please do not apply if you do not have full New Zealand working rights.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§How many years&#x27; experience do you have as a photographer?§Do you have customer service experience?§Do you have experience working with children?§Do you have a current New Zealand driver&#x27;s licence?§§§"
50556397,https://www.seek.co.nz/job/50556397,"Digital Producer Job in Auckland - SEEK","Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards","13 Sept 2020","Full Time",Auckland,Advertising,"Programming & Production",""," ","","","TXT/50556397.txt	§Digital Producer§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Digital Producer§§Advertiser: §Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards§§More jobs from this company§§§§Job Information§§Job Listing Date§§13 Sept 2020§§Location§§Auckland§§Work Type§§Full Time§§Classification§§Advertising, Arts &amp; Media§, §Programming &amp; Production§§§§§§§§§  §    §      §Digital Producer §      §        §We’re keen to hear from experienced Digital Producers for a role we’re working on for an established Auckland based agency.   §        §        §The successful candidate will have the ability to work with and lead their technical and development teams. This will include briefing clients and collaborating with production teams to provide the best possible solutions. The role will see you managing end to end delivery on exciting projects with large, international clients.§        §        §Key responsibilities will include:§        §          §Manage digital design activities from the creation of new designs to providing input on proposals §          §Design across other mobile and web related projects §          §Lead investigations into new technologies and approaches §          §Ensure the Clients’ digital presence remains current with emerging technology and trends. §        §        §        §To be successful you will need:§        §          §Experience in project managing digital projects §          §Ability to manage the changing delivery process §          §Broad tech knowledge from UX/UI, SEO to front end and back-end terminology §          §Assist in client meetings and presentations §        §        §        §This is a truly exciting opportunity to join a well-respected team so don’t miss this opportunity and ensure you apply today.§        §        §This is a permanent role with an ASAP start. You must be a Citizen or Permanent Resident to apply.§        §For more information please contact Kate Williams, Client Manager at Beyond Recruitment or submit your application through the link below and include your CV§        §Job Number: 106262§      §      §      §    §    §  §§§We’re keen to hear from experienced Digital Producers for a role we’re working on for an established Auckland based agency.   §The successful candidate will have the ability to work with and lead their technical and development teams. This will include briefing clients and collaborating with production teams to provide the best possible solutions. The role will see you managing end to end delivery on exciting projects with large, international clients.§§Key responsibilities will include:§Manage digital design activities from the creation of new designs to providing input on proposals §Design across other mobile and web related projects §Lead investigations into new technologies and approaches §Ensure the Clients’ digital presence remains current with emerging technology and trends. §§To be successful you will need:§Experience in project managing digital projects §Ability to manage the changing delivery process §Broad tech knowledge from UX/UI, SEO to front end and back-end terminology §Assist in client meetings and presentations §§This is a truly exciting opportunity to join a well-respected team so don’t miss this opportunity and ensure you apply today.§This is a permanent role with an ASAP start. You must be a Citizen or Permanent Resident to apply.§For more information please contact Kate Williams, Client Manager at Beyond Recruitment or submit your application through the link below and include your CV§Job Number: 106262§§§§"
50557139,https://www.seek.co.nz/job/50557139,"Real Estate Photographer - Contract Job in Taranaki - SEEK",Open2view,"13 Sept 2020",Contract/Temp,"Taranaki, New Plymouth",Advertising,Photography,maria.sherwood@open2view.com,"021 580046 ",""," right to live and work ","TXT/50557139.txt	§Real Estate Photographer - Contract§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Real Estate Photographer - Contract§§Advertiser: §Open2view§§More jobs from this company§§§§Job Information§§Job Listing Date§§13 Sept 2020§§Location§§Taranaki§, §New Plymouth§§Work Type§§Contract/Temp§§Classification§§Advertising, Arts &amp; Media§, §Photography§§§§§§§§§  §    §    §      §Real Estate Photographer - Contract §      §        §Open2view is on the hunt for a switched-on, enthusiastic and reliable photographer to join our Taranaki team on a contract basis.§        §About Open2view.com®§        §Open2view.com has been operating in New Zealand since 1999 and is the market leader in providing specialised photography and marketing services to the real estate industry.§ §        §About the role.§        §As part of our specialist photography team you'll get the chance to hone your skills photographing properties across the Taranaki region.§        §Full training and support will be provided, but you will need to hit the ground running so previous digital photography experience, as well as an interest in real estate photography, is a must!§We need a team player who is customer-focused, with excellent communication skills and the ability to self-manage.§        §Must have a clean full driver's license. §If this sounds like you, then get in touch!§        §Please apply with cover letter and CV.§        §www.open2view.com§      §      §Maria Sherwood§maria.sherwood@open2view.com§021 580046 §    §    §  §§§Open2view is on the hunt for a switched-on, enthusiastic and reliable photographer to join our Taranaki team on a contract basis.§ §About Open2view.com®§ §Open2view.com has been operating in New Zealand since 1999 and is the market leader in providing specialised photography and marketing services to the real estate industry.§ § §About the role.§ §As part of our specialist photography team you'll get the chance to hone your skills photographing properties across the Taranaki region.§ §Full training and support will be provided, but you will need to hit the ground running so previous digital photography experience, as well as an interest in real estate photography, is a must!§We need a team player who is customer-focused, with excellent communication skills and the ability to self-manage.§ §Must have a clean full driver's license. §If this sounds like you, then get in touch!§ §Please apply with cover letter and CV.§ §www.open2view.com§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Do you have a current New Zealand driver&#x27;s licence?§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50557660,https://www.seek.co.nz/job/50557660,"Reporter Job in Wellington - SEEK","Wairarapa Times-Age","14 Sept 2020","Full Time","Wellington, Rest of Wellington Region",Advertising,"Journalism & Writing","","","How many years","Which of the following statements best describes your right to work in New Zealand?","TXT/50557660.txt	§Reporter§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Reporter§§Advertiser: §Wairarapa Times-Age§§More jobs from this company§§§§Job Information§§Job Listing Date§§14 Sept 2020§§Location§§Wellington§, §Rest of Wellington Region§§Work Type§§Full Time§§Classification§§Advertising, Arts &amp; Media§, §Journalism &amp; Writing§§§§§§About the business§ § §Recently nominated in the Voyager Media Awards Best Newspaper [under 30,000 circ. Category], and winner of the NZCNA 2020 best front page and best idea awards the Wairarapa Times-Age is independent and locally-owned and produces six daily newspapers per week [Monday to Saturday). You will join a dynamic newsroom dedicated to producing local content. § § §About the role§ § §We have an exciting opportunity working out of our Masterton office for the perfect candidate.§ §You will have the opportunity to further your experience in all aspects of reporting and writing  - news, features, profiles etc.§We are looking for a self-motivated journalist who is full of ideas, well organised, able to meet daily deadlines yet work towards the weekend edition. We will also look favourably on anyone with strong photography skills.§Preference will be given to a journalist who writes every story like it's destined for the front page, and can produce entertaining, low-error copy.§In return you'll be part of a cohesive, supportive team, where your development and success will be our priority.§Wairarapa is a wonderful place to live, with many lifestyle options available.§An immediate start is available.§Applications close Friday, October 2, 2020§ § §Skills and experience§ § §You will have journalism experience or be a graduate that shows promise.§Court reporting experience is a plus but not required.§Photographic skills are essential.§You will need a full driver's licence.§Applicants for this position should have NZ residency or a valid NZ work visa.§ §§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§How much notice are you required to give your current employer?§Do you have a current New Zealand driver&#x27;s licence?§Have you completed a qualification in journalism?§How many years&#x27; experience do you have as a journalist?§§§"
