jobId,jobUrl,jobTitle,advertiser,listingDate,workType,location,classification,subClassification,email,phone,experience,xenophobe,jobText
50403453,https://www.seek.co.nz/job/50403453,"Financial Adviser - Private Wealth Job in Wellington - SEEK","Crescent Consulting","31 Aug 2020","Full Time",Wellington,"Banking & Financial Services","Funds Management",andrew@crescent.co.nz,"    ","","","TXT/50403453.txt	§Financial Adviser - Private Wealth§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Financial Adviser - Private Wealth§§Advertiser: §Crescent Consulting§§More jobs from this company§§§§Job Information§§Job Listing Date§§31 Aug 2020§§Location§§Wellington§§Work Type§§Full Time§§Classification§§Banking &amp; Financial Services§, §Funds Management§§§§§§§§§  §    §    §      §Financial Adviser - Private Wealth §      §        §          §Respected NZ owned financial services organisation§          §Platform for growth and development§          §Supportive and encouraging environment§        §        § §        §This is an outstanding opportunity to join this New Zealand owned financial services organisation and grow their presence in the Wellington market.§        § §        §Who is hiring:§        §FANZ Private Wealth is the wealth management arm of SBS Bank, they currently manage over 1.3 billion in assets for more than 18,000 Kiwi’s. FANZ operates the Lifestages Kiwisaver scheme as well as Private Wealth services to its members across New Zealand.§        §Due to their continued expansion FANZ is looking to hire an experienced financial adviser to join their Wellington based team.  §        § §        §The Role:§        §You will be joining an established financial services organisation looking to grow their presence in the Wellington region. The role will focus on using your existing network throughout the wider Wellington region and working with clients to provide sound investment advice and help them towards their financial goals.§        § §        §What you will need:§        §To succeed in this role you will need;§        §          §Previous experience in a wealth management firm or Private Bank§          §A strong interest in financial markets and an understanding of investment principles§          §Exceptional communication skills (both verbal and written)§          §A can-do attitude who works effectively within a team culture.§          §Proven ability to network and develop client and referrer relationships§          §Be an AFA qualified advisor§        §        § §        §What’s in it for you:§        §This is the opportunity for an experienced wealth management professional to grow and develop within the FANZ business. With a strong client base and referral source this is an opportunity for a talented growth focused individual to establish themselves within a growing New Zealand owned business.§        § §        §What to do next:§        §For a confidential discussion about this opportunity please contact Andrew O'Regan on §03 928 2614§ or email §andrew@crescent.co.nz§        §Alternatively apply now to submit your C.V. §      §      §      §    §    §  §§§ §Respected NZ owned financial services organisation§ §Platform for growth and development§ §Supportive and encouraging environment§ § § §This is an outstanding opportunity to join this New Zealand owned financial services organisation and grow their presence in the Wellington market.§ § § §Who is hiring:§ §FANZ Private Wealth is the wealth management arm of SBS Bank, they currently manage over 1.3 billion in assets for more than 18,000 Kiwi’s. FANZ operates the Lifestages Kiwisaver scheme as well as Private Wealth services to its members across New Zealand.§ §Due to their continued expansion FANZ is looking to hire an experienced financial adviser to join their Wellington based team.  § § § §The Role:§ §You will be joining an established financial services organisation looking to grow their presence in the Wellington region. The role will focus on using your existing network throughout the wider Wellington region and working with clients to provide sound investment advice and help them towards their financial goals.§ § § §What you will need:§ §To succeed in this role you will need;§ § §Previous experience in a wealth management firm or Private Bank§ §A strong interest in financial markets and an understanding of investment principles§ §Exceptional communication skills (both verbal and written)§ §A can-do attitude who works effectively within a team culture.§ §Proven ability to network and develop client and referrer relationships§ §Be an AFA qualified advisor§ § § §What’s in it for you:§ §This is the opportunity for an experienced wealth management professional to grow and develop within the FANZ business. With a strong client base and referral source this is an opportunity for a talented growth focused individual to establish themselves within a growing New Zealand owned business.§ § § §What to do next:§ §For a confidential discussion about this opportunity please contact Andrew O'Regan on §03 928 2614§ or email §andrew@crescent.co.nz§ §Alternatively apply now to submit your C.V. §§§§"
50524737,https://www.seek.co.nz/job/50524737,"Mortgage Advisor Job in Auckland - SEEK","Franklin Smith Ltd","7 Sept 2020","Full Time","Auckland, Manukau & East Auckland","Banking & Financial Services",Other,"","021 280 9379",""," right to live and work ","TXT/50524737.txt	§Mortgage Advisor§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Mortgage Advisor§§Advertiser: §Franklin Smith Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Sept 2020§§Location§§Auckland§, §Manukau &amp; East Auckland§§Salary§§$60,000 + uncapped commission§§Work Type§§Full Time§§Classification§§Banking &amp; Financial Services§, §Other§§§§§§§§§  §    §    §      §Mortgage Advisor §      §        §The Company§        §Working with the largest aggregator in the industry and many accolades to his name, this broker has built a strong support team and secured a solid share of the Auckland mortgage market. They have access to a variety of lenders and products to ensure the loan structure provides the best possible outcome for the client’s circumstances.§        §A rare opportunity has become available for an experienced lending candidate to join the team as an advisor. The ideal candidate will have already completed the Level 5 RPL, current NZ experience as a broker or MMM and the ability to convert in-house leads and hunt for their own referrals. In return you will be provided with a competitive base salary, commission structure and flexible working environment. Mentoring from a powerhouse of the industry is also available to the successful candidate.§        §The Role§        §          §No lead generation or hunting required initially but this will be part of the role moving forward.§          §Corresponding between the lender and client to ensure a smooth and successful process.§          §Sourcing and consolidating documents to accompany the application.§          §Building lasting relationships with all parties involved.§          §Assisting with re-fixing and client retention, with support from the loan writers.§        §        §You§        §          §You must have current NZ home lending experience.§          §You must have exceptional phone, computer and written skills.§          §You will ideally have already completed the L5 Residential Property Lending strand.§          §You must have a solid grasp of the loan application process.§          §You must be self-motivated and work to a very high standard.§        §        §This role is perfect for a lender or MMM that wants to move to brokering with a base salary, commission and mentoring. If you match the above please do not hesitate and §APPLY TODAY§! This role is available immediately and offers a great opportunity. §Alternatively, please call Adam Witherick§ on §021 280 9379.§      §    §    §www.franklinsmithgroup.co.nz§  §§§The Company§Working with the largest aggregator in the industry and many accolades to his name, this broker has built a strong support team and secured a solid share of the Auckland mortgage market. They have access to a variety of lenders and products to ensure the loan structure provides the best possible outcome for the client’s circumstances.§A rare opportunity has become available for an experienced lending candidate to join the team as an advisor. The ideal candidate will have already completed the Level 5 RPL, current NZ experience as a broker or MMM and the ability to convert in-house leads and hunt for their own referrals. In return you will be provided with a competitive base salary, commission structure and flexible working environment. Mentoring from a powerhouse of the industry is also available to the successful candidate.§The Role§No lead generation or hunting required initially but this will be part of the role moving forward.§Corresponding between the lender and client to ensure a smooth and successful process.§Sourcing and consolidating documents to accompany the application.§Building lasting relationships with all parties involved.§Assisting with re-fixing and client retention, with support from the loan writers.§You§You must have current NZ home lending experience.§You must have exceptional phone, computer and written skills.§You will ideally have already completed the L5 Residential Property Lending strand.§You must have a solid grasp of the loan application process.§You must be self-motivated and work to a very high standard.§This role is perfect for a lender or MMM that wants to move to brokering with a base salary, commission and mentoring. If you match the above please do not hesitate and §APPLY TODAY§! This role is available immediately and offers a great opportunity. §Alternatively, please call Adam Witherick§ on §021 280 9379.§§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50524864,https://www.seek.co.nz/job/50524864,"Mortgage Broker Job in Wellington - SEEK","Velocity Financial","7 Sept 2020","Full Time","Wellington, Wellington Central","Banking & Financial Services",Mortgages,""," ","How many years","Which of the following statements best describes your right to work in New Zealand?","TXT/50524864.txt	§Mortgage Broker§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Mortgage Broker§§Advertiser: §Velocity Financial§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Sept 2020§§Location§§Wellington§, §Wellington Central§§Work Type§§Full Time§§Classification§§Banking &amp; Financial Services§, §Mortgages§§§§§§Velocity Financial is a well-established and growing mortgage brokerage with an opening to join our team and play a key role in the establishment of a new service alliance. Working directly from a local real estate office, this broker will work autonomously with the client base while having the support of a wider team of advisors and other experts.§ §Joining the team at Velocity Financial means:§ § §Developing your career in a collaborative environment (we help each other)§ §Being part of a team who pride ourselves on balancing professionalism and quality with personal, friendly service§ §The chance to contribute and share your experience and skills for the benefit of the team§ §Earning a generous retainer plus performance based incentives§ §This position will be ideal for somebody who has prior experience in the financial services industry, ideally as a mortgage broker, and who can also demonstrate a thorough understanding of the real estate industry. New Zealand lending experience is required.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§How many years&#x27; experience do you have as a mortgage broker?§§§"
50525207,https://www.seek.co.nz/job/50525207,"Specialist Property Lender | 12 month contract | Auckland Job in Auckland - SEEK","Avanti Finance","7 Sept 2020",Contract/Temp,"Auckland, Auckland Central","Banking & Financial Services",Mortgages,"","    12    ","With at least 3-4 years"," right to live and work ","TXT/50525207.txt	§Specialist Property Lender | 12 month contract | Auckland§§More jobs from this company§§§§§§§§§§§Job Description§§Job Header§§Specialist Property Lender | 12 month contract | Auckland§§Advertiser: §Avanti Finance§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Sept 2020§§Location§§Auckland§, §Auckland Central§§Work Type§§Contract/Temp§§Classification§§Banking &amp; Financial Services§, §Mortgages§§§§§§We are a large well established NZ owned specialist non-bank lender with 30 years proven experience and stability in the market helping clients achieve their financial goals through our diverse product offering.§ §This is your chance to join an award-winning team recognised by our advisor networks and professional bodies. § §We are on the look-out for a driven Property Lender §who can think on their feet, and keep up with our busy, changing environment and pace. § §With at least 3-4 years proven §experience in mortgage lending, §you've got an overall awareness of quality and standards, along with the drive to manage your application workflow and keep everything moving.§ §This is a rare and exciting opportunity to join our Property team!§ § §Want to make decisions?§ §Want to find solutions?§ §Want to be accountable?§ §Want to challenge the application tick boxes?§ §Let’s talk.§ §If you have had enough of the status quo and want to shake your career up a bit, this is the place for it. We are seeking savvy independent thinkers, clear communicators and team players who have the appetite to cultivate great relationships. We offer a flexible, diverse and vibrant social culture, if this sounds like you hit apply now to start the conversation!§§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§What&#x27;s your expected annual base salary?§How much notice are you required to give your current employer?§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50532376,https://www.seek.co.nz/job/50532376,"Broker Support  Job in Auckland - SEEK","Franklin Smith Ltd","8 Sept 2020","Full Time","Auckland, Auckland Central","Banking & Financial Services",Other,"","021 280 9379",""," right to live and work ","TXT/50532376.txt	§Broker Support §§More jobs from this company§§§§§§§§Job Description§§Job Header§§Broker Support §§Advertiser: §Franklin Smith Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Sept 2020§§Location§§Auckland§, §Auckland Central§§Salary§§$70,000 + benefits &amp; bonuses§§Work Type§§Full Time§§Classification§§Banking &amp; Financial Services§, §Other§§§§§§§§§  §    §    §      §Broker Support §      §        §This is a very rare opportunity for a lending specialist to work with one of the mortgage industry’s superstars! Join an energetic and passionate team to develop your skills and take your career to the next level.§ §        §Benefits include:§        §          §Very competitive salary - $70,000 + benefits§          §Long term career progression to advisor with referrals§          §Fun and energetic team that have a real passion for property§          §Office set within one of the most active suburbs of Auckland§          §Deal with high profile clients§          §Mentoring from a true industry expert§        §        §With a consistent flow of referrals that continues to grow, the team is expanding and an opportunity has come up for a loan writer to join the action.§        §Key responsibilities include but not limited to:§        §          §Corresponding between the lenders and clients§          §Sourcing and consolidating the supporting documents§          §Providing regular updates to all parties involved§          §Assisting with marketing§          §Servicing the existing book and working on referrals§        §        §You must have current NZ banking experience, although top rate mentoring will be provided to help you grow into a true expert.§        §If the above sounds attractive and you match the requirements please §APPLY TODAY§! This role is available immediately and do not come on the market often. §Alternatively, please call Adam Witherick§ on §021 280 9379.§      §    §    §www.franklinsmithgroup.co.nz§  §§§This is a very rare opportunity for a lending specialist to work with one of the mortgage industry’s superstars! Join an energetic and passionate team to develop your skills and take your career to the next level.§ §Benefits include:§Very competitive salary - $70,000 + benefits§Long term career progression to advisor with referrals§Fun and energetic team that have a real passion for property§Office set within one of the most active suburbs of Auckland§Deal with high profile clients§Mentoring from a true industry expert§With a consistent flow of referrals that continues to grow, the team is expanding and an opportunity has come up for a loan writer to join the action.§Key responsibilities include but not limited to:§Corresponding between the lenders and clients§Sourcing and consolidating the supporting documents§Providing regular updates to all parties involved§Assisting with marketing§Servicing the existing book and working on referrals§You must have current NZ banking experience, although top rate mentoring will be provided to help you grow into a true expert.§If the above sounds attractive and you match the requirements please §APPLY TODAY§! This role is available immediately and do not come on the market often. §Alternatively, please call Adam Witherick§ on §021 280 9379.§§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50532692,https://www.seek.co.nz/job/50532692,"Finance Partner Job in Auckland - SEEK","VisionWest Community Trust","8 Sept 2020","Full Time","Auckland, Waitakere & West Auckland","Banking & Financial Services","Financial Planning",""," ","At least 7 years"," right to live and work ","TXT/50532692.txt	§Finance Partner§§More jobs from this company§§§§§§§§§§§Job Description§§Job Header§§Finance Partner§§Advertiser: §VisionWest Community Trust§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Sept 2020§§Location§§Auckland§, §Waitakere &amp; West Auckland§§Work Type§§Full Time§§Classification§§Banking &amp; Financial Services§, §Financial Planning§§§§§§Full-time — West Auckland§Are you looking for an opportunity to use your finance and accounting skills to support the work of an organisation making a real difference in the community?§The Finance Partner serves as the conduit between the Finance function and the rest of the organisation. The role has a clear focus on providing commercial and financial support to the Service areas of the organisation, including preparation of business cases, assistance with bids, RFPs and new contract opportunities; planning and forecasting; performing analysis and providing insights; and measuring, monitoring and driving performance in collaboration with Management. Our Finance Partners work in partnership with senior managers and their teams to support delivery of the finance strategy:§  §Provide financial analytics and insights§  §Define and deliver financial targets§  §Drive the most effective usage of resource and budgets§Skills and Experience §  §At least 7 years relevant working experience, preferably with some experience in a not-for-profit organisation;§  §Degree qualified, preferably in finance or accounting or commerce;§  §Sound understanding of financial management policies and methodologies; and§  §Experienced in distilling complex issues in order to convey simple stories for others to comprehend. §  §A financial qualification such as CA, CPA or CIMA is a distinct advantage§Benefits§  §Work in West Auckland and avoid the CBD §  §Further your Finance experience within a large organisation§  §Job security and career development§§VisionWest Community Trust is an award-winning, not-for-profit organisation with faith-based roots, that provides a range of services to communities in Auckland, Bay of Plenty, Waikato and Christchurch.§Aroha (Compassion) §Manaakitanga (Holistic Care) §Mana (Dignity) §Whanaungatanga (Authentic Relationships)§A commitment to the vision, mission and values of VisionWest Community Trust is essential§ §for this position, see www.VisionWest.org.nz/about-us§If this role appeals to you, then please apply now!§§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50536731,https://www.seek.co.nz/job/50536731,"Credit Operations Manager Job in Auckland - SEEK","Customise Talent Group","9 Sept 2020","Full Time","Auckland, Auckland Central","Banking & Financial Services",Credit,""," 021 280 2051","A minimum of 8 years"," right to live and work ","TXT/50536731.txt	§Credit Operations Manager§§More jobs from this company§§§§§§§§§§§Job Description§§Job Header§§Credit Operations Manager§§Advertiser: §Customise Talent Group§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Auckland§, §Auckland Central§§Salary§§Base Salary + Fantastic Benefits§§Work Type§§Full Time§§Classification§§Banking &amp; Financial Services§, §Credit§§§§§§We are on the hunt for an experienced Credit Operations Manager, from within the Automotive Finance industry. This role is an integral part of the company and forms the glue between several divisions, both internally and externally. We are looking for someone to take over and drive the operational management; with the focus on Lending and oversight for Collections, Customer Services and the Contract Payouts functions. §Key Responsibilities:§ §Overall day to day management of the Operations functions in accordance with the risk management annual plan and operational accountabilities. Management of the Collection’s functions, Customer Services functions and the Wholesale business functions§ §Management of Key Corporate Customers§ §Management of the Lending function including fleet, consumer, dealer &amp; general lending risk practices and approach including policy recommendation§ §Management of the Payouts functions§ §Staff development, Manage reporting staff to ensure they meet their key accountabilities and to provide an environment for staff development§ §Service Quality, Provide quality service to all customers, both internal and external§ §Continuous Improvement, Build on the improvement policy by identifying improvements and encouraging all staff to challenge the way they are carrying out their duties and to suggest change where considered appropriate§ §Manage the departmental costs within the budgeted levels.§ §Strategic Input in regard to, Departmental development, New development opportunities including products, pricing and distribution channels, Improvements to policy and procedures§ §Contribution as a member of the Management team to the overall strategic direction of the business§Experience and Qualifications required:§ §Business or finance related tertiary qualification§ §A minimum of 8 years’ experience in the finance industry with experience in lending/collections/sales and administration§ §Risk management and credit exposure knowledge§ §Knowledge of securities§ §Knowledge of vehicle financing products, in particular residual value management and market environment in general§ §Management experience with strong people management skills including delegation § §Highly analytical and detail orientated§ §Strong verbal / written communication with a customer focus§ §Well organised with strong administration skills and the ability to prioritise§ §Decision making and problem-solving skills§ §Good computer literacy skills§ §Ability to think strategically whilst having an eye for detail§ §Negotiation &amp; Public speaking skills are preferred§ §You must already reside in New Zealand with permenant residency§Above is just a snapshot of what this amazing role entails, if you know you are a great communicator and can lead by example, then I would like to talk to you more about this opportunity. Please apply with a covering letter and resume today, alternatively for a confidential chat please phone Melanie Hoffman at Customise Talent on 021 280 2051§APPLICATION ADVICE: Please apply today through this ad to ensure your information is captured effectively through our customised CRM. IMPORTANT: Applicants who progress may be required to agree to: Police background check, Credit history check, Assessments and provide original evidence of any qualifications stated on their resume. We look forward to doing our best to assisting in your next career step.§§§§The application form will include these questions:§§Please select the following employment options: §Residency Status:§Please select the locations you are seeking employment? §Please select your experience: §Please enter you mobile phone number? §§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50539522,https://www.seek.co.nz/job/50539522,"Chief Risk Officer Job in Auckland - SEEK","Robert Walters","9 Sept 2020","Full Time",Auckland,"Banking & Financial Services","Compliance & Risk","","  ","","","TXT/50539522.txt	§Chief Risk Officer§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Chief Risk Officer§§Advertiser: §Robert Walters§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Auckland§§Salary§§Competitive Salary§§Work Type§§Full Time§§Classification§§Banking &amp; Financial Services§, §Compliance &amp; Risk§§§§§§§§§  §    §    §Chief Risk Officer §    §      §        §An exciting opportunity has opened for an experienced risk and wholesale credit professional to lead the risk team at a multinational banking firm. §        §This organisation is one of the largest multinational banking firms in the world and is highly regarded both in the Auckland market and overseas. §        §About the role: §The purpose of this role is to lead and manage the bank’s team of dedicated risk management professionals. The Chief Risk Officer will also be responsible for overseeing and developing a comprehensive risk-management framework. §        §Key Responsibilities: §• Implement and maintain a sound Enterprise-wide Risk Management Framework, measuring risk and providing quantitative analytical support to the lines of business in risk measurement, modelling and reporting.§• Identify known and emerging risks, measure, monitor and report on the Bank’s risk profile to the Senior Management and the Board of Directors.§• Facilitate the maintenance of risk policies including credit risk, market risk, liquidity risk, etc.§• Bring strong local knowledge, lending assessment skills and experience to broaden the depth of credit and risk management of the bank.§        §Key Requirements:§• A minimum of ten years of financial services experience in risk oversight roles covering credit, counter-party, investment, market, liquidity and operational risk.§• Proven experience in implementing and managing Enterprise Risk Management strategy and governance, risk and compliance activities. §• Strong people management skills with proven leadership abilities that motivate both direct and indirect teams to perform at their best. §• Risk Management professional certification would be an asset.§• Good knowledge and grasp of banking practices, financial markets, Basel III, and products at a higher level and awareness of the country regulatory framework.§        §This is an exciting opportunity to make your mark in a world renowned banking organisation. §        §Robert Walters endeavours to review all applications in a maximum of five working days. If you have not received correspondence within this timeframe please do not hesitate to contact Joe Whitfield on §09 374 7340§.§      §      §      §    §    §  §§§An exciting opportunity has opened for an experienced risk and wholesale credit professional to lead the risk team at a multinational banking firm. §This organisation is one of the largest multinational banking firms in the world and is highly regarded both in the Auckland market and overseas. §About the role: §The purpose of this role is to lead and manage the bank’s team of dedicated risk management professionals. The Chief Risk Officer will also be responsible for overseeing and developing a comprehensive risk-management framework. §Key Responsibilities: §• Implement and maintain a sound Enterprise-wide Risk Management Framework, measuring risk and providing quantitative analytical support to the lines of business in risk measurement, modelling and reporting.§• Identify known and emerging risks, measure, monitor and report on the Bank’s risk profile to the Senior Management and the Board of Directors.§• Facilitate the maintenance of risk policies including credit risk, market risk, liquidity risk, etc.§• Bring strong local knowledge, lending assessment skills and experience to broaden the depth of credit and risk management of the bank.§Key Requirements:§• A minimum of ten years of financial services experience in risk oversight roles covering credit, counter-party, investment, market, liquidity and operational risk.§• Proven experience in implementing and managing Enterprise Risk Management strategy and governance, risk and compliance activities. §• Strong people management skills with proven leadership abilities that motivate both direct and indirect teams to perform at their best. §• Risk Management professional certification would be an asset.§• Good knowledge and grasp of banking practices, financial markets, Basel III, and products at a higher level and awareness of the country regulatory framework.§This is an exciting opportunity to make your mark in a world renowned banking organisation. §Robert Walters endeavours to review all applications in a maximum of five working days. If you have not received correspondence within this timeframe please do not hesitate to contact Joe Whitfield on §09 374 7340§.§§§§"
50539731,https://www.seek.co.nz/job/50539731,"Credit Writer Job in Auckland - SEEK","Franklin Smith Ltd","9 Sept 2020","Full Time","Auckland, Auckland Central","Banking & Financial Services",Other,"","021 280 9379",""," right to live and work ","TXT/50539731.txt	§Credit Writer§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Credit Writer§§Advertiser: §Franklin Smith Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Auckland§, §Auckland Central§§Salary§§Base &amp; Bonuses OTE $75,000+§§Work Type§§Full Time§§Classification§§Banking &amp; Financial Services§, §Other§§§§§§§§§  §    §    §      §Credit Writer §      §        §Take your home lending career to the next level by jumping on this opportunity with a team in the heart of the CBD. The role offers a fantastic environment to learn more, strong team mentality and great work/life balance. There will be no shortage of work as the referral system is supplied by an in-house accountancy firm. §        §Benefits include:§        §          §Substantial base salary &amp; bonus scheme - OTE $75,000+§          §Long term career progression to advisor with referral network§          §Fun and energetic team in the heart of the CBD§          §Stylish office with Mac computers§          §Work with a highly experienced broker§          §Healthy work life balance§          §No hunting required§        §        §With plans and financial backing to grow the mortgage team over the coming years, this is an opportunity to enter at an early stage, work for a genuinely great employer and alongside a true mortgage master.§        §Key responsibilities include but not limited to:§        §          §Entering data into the CRM§          §Corresponding between the clients and lenders§          §Sourcing and consolidating financial information§          §Servicing the existing book and working on referrals§          §Assisting with general ad-hoc tasks §        §        §We are searching for an energetic candidate with current NZ credit writing experience in the banking or brokerage sector. §        §If you enjoy working in a lively and fast paced mortgage office and the CBD lifestyle §APPLY TODAY§! This role is available immediately and does not come on the market often. §Alternatively, please call Adam Witherick§ on §021 280 9379.§      §    §    §www.franklinsmithgroup.co.nz§  §§§Take your home lending career to the next level by jumping on this opportunity with a team in the heart of the CBD. The role offers a fantastic environment to learn more, strong team mentality and great work/life balance. There will be no shortage of work as the referral system is supplied by an in-house accountancy firm. §Benefits include:§Substantial base salary &amp; bonus scheme - OTE $75,000+§Long term career progression to advisor with referral network§Fun and energetic team in the heart of the CBD§Stylish office with Mac computers§Work with a highly experienced broker§Healthy work life balance§No hunting required§With plans and financial backing to grow the mortgage team over the coming years, this is an opportunity to enter at an early stage, work for a genuinely great employer and alongside a true mortgage master.§Key responsibilities include but not limited to:§Entering data into the CRM§Corresponding between the clients and lenders§Sourcing and consolidating financial information§Servicing the existing book and working on referrals§Assisting with general ad-hoc tasks §We are searching for an energetic candidate with current NZ credit writing experience in the banking or brokerage sector. §If you enjoy working in a lively and fast paced mortgage office and the CBD lifestyle §APPLY TODAY§! This role is available immediately and does not come on the market often. §Alternatively, please call Adam Witherick§ on §021 280 9379.§§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50542704,https://www.seek.co.nz/job/50542704,"Workforce Management Analyst Job in Waikato - SEEK",BNZ,"10 Sept 2020","Full Time","Waikato, Hamilton","Banking & Financial Services","Analysis & Reporting","","  ",""," right to live and work ","TXT/50542704.txt	§Workforce Management Analyst§§More jobs from this company§§§§§§§§§§§Job Description§§Job Header§§Workforce Management Analyst§§Advertiser: §BNZ§§More jobs from this company§§§§Job Information§§Job Listing Date§§10 Sept 2020§§Location§§Waikato§, §Hamilton§§Work Type§§Full Time§§Classification§§Banking &amp; Financial Services§, §Analysis &amp; Reporting§§§§§§He Waka Eke Noa | Creating Great Together§Here at BNZ, it's about more than just banking. We believe in supporting our local communities and designing customer led solutions that change the way people manage their money. For our people this means we create an environment where you can try new things, deliver innovative solutions and be empowered to put your energy into being you.§This role requires flexibility with 37.5 hours to be worked between 8:00am - 8:00pm, Monday - Sunday.§Te Kaiurungi | About the Role§The WFM Analyst is a vital role in our future who will help us setup an Enterprise WFM team for BNZ who will be capable to support the Contact Centre and the Branch Network. The role will be scoping up the workforce requirement in developing an efficient set of schedules for the branch network based on the forecast provided.§Key responsibilities include:§Track all elements of staff shrinkage on an interval basis to be used in the development of the schedules§Identify all reasonable shift definitions that can be used to match the changing demand§Maintain a strong relationship with the operational team leaders, bankers and collaborate with them to identify opportunities for improvement in both efficiency and agent satisfaction§Work with our teams to ensure they understand the metrics and the staffing requirements§Identify and maintain compliance with any regulations, rules, or agreements that affect scheduling of personnel.§Ō Pūkenga | About You§We are looking for someone who has a strong analytical mind, with the ability to think outside the box and offer effective solutions that take into account all the data.§You will also have:§Strong knowledge about Workforce Management and Branch/ Contact Centre disciplines§An ability to effectively manage and prioritise your workload, including multiple requests from the leadership teams§Relevant experience in a Workforce Management role, in a banking or other commercial environment§A strong and sound decision-making ability§Proven MS Excel skills and familiarity of Workforce Management system such as IEX, Genesys, Impact360 or Aspect WFM.§Nau mai ki te Pēke o Aotearoa | Working at BNZ§At BNZ, we're passionate about building and sustaining a high-performance culture that motivates our people to deliver exceptional results. We know that every BNZer is unique, with a wide range of goals, ambitions, and lifestyles, so we offer a wide range of benefits and working styles to suit you.§Wellbeing: §Your wellbeing is important to us. When we're at our best, physically and mentally, in and out of work, we can truly create great things together. We're here to support you to be your best with a number of wellbeing initiatives.§Leave: §We all need a bit of time off every now and then. At BNZ we're proud to offer the generous leave options you need and deserve - whether it's for a special occasion, an unexpected event, or an extended vacation.§Flexibility: §We're big on helping you balance life and work. We offer a range of flexible working options that help you be your best, wherever you're based. Talk to us about how we can make this work for you.§Haere mai ki Te Peke o Aotearoa | Come to the Bank of New Zealand§If you're ready to join a supportive team of BNZers who are passionate about the work they do and the results they achieve, then apply now and let's create great together.§If you would like to know more about Life at BNZ and how you can help re imagine banking for our customers, please visit www.bnzcareers.co.nz or click the 'apply now' button to submit your confidential application.§§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
