jobId,jobUrl,jobTitle,advertiser,listingDate,workType,location,classification,subClassification,email,phone,experience,xenophobe,jobText
50189980,https://www.seek.co.nz/job/50189980,"Customer Service/Sales/Telemarketing Job in Auckland - SEEK","Window Treatments NZ Ltd","6 Aug 2020",Contract/Temp,"Auckland, Rodney & North Shore","Call Centre & Customer Service","Customer Service - Call Centre",cathryn.hughes@window-treatments.co.nz," ",""," right to live and work ","TXT/50189980.txt	§Customer Service/Sales/Telemarketing§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Customer Service/Sales/Telemarketing§§Advertiser: §Window Treatments NZ Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§6 Aug 2020§§Location§§Auckland§, §Rodney &amp; North Shore§§Work Type§§Contract/Temp§§Classification§§Call Centre &amp; Customer Service§, §Customer Service - Call Centre§§§§§§Mr Sparkel specialises in blind repair and cleaning. We currently require a Customer Service Person/Telemarketing based at our busy Wairau Park Showroom.§Duties include:§• Providing quotes to incoming customers, job booking/co-ordination,accounts, AND calling previous customers/telemarketing§ §• Organising/dispatching technician appointments and workload§• Showroom duties – assisting customers and maintaining a high standard within the showroom§• Handling telephone enquiries and customer service§• Invoicing and Credit control§You must have excellent computer literacy. A good typing speed is essential as well as excellent communication skills. Some experience in a Customer Service position is a must.§This role requires a high degree of professionalism, multi-tasking and customer service skills. Working hours are 8am to 5pm Monday to Friday.§If you believe you have what it takes and want to be part of a thriving and secure company please forward your CV and a covering letter to §cathryn.hughes@window-treatments.co.nz§ §Applicants for this position should have NZ residency or a valid NZ work visa.§ § §§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Do you have customer service experience?§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50295764,https://www.seek.co.nz/job/50295764,"Customer Service - Connect Coordinator Job in Auckland - SEEK","Universal Communications Group Pty Ltd","9 Sept 2020","Full Time","Auckland, Auckland Central","Call Centre & Customer Service","Customer Service - Call Centre","","    ",""," right to live and work ","TXT/50295764.txt	§Customer Service - Connect Coordinator§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Customer Service - Connect Coordinator§§Advertiser: §Universal Communications Group Pty Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Auckland§, §Auckland Central§§Work Type§§Full Time§§Classification§§Call Centre &amp; Customer Service§, §Customer Service - Call Centre§§§§§§§§§  §    §    §      §Customer Service - Connect Coordinator §      §        §The role:§        §Based at our head office in Penrose, you will liaise with our end customers and field technicians to ensure appointments are scheduled for their house or building to be connected to the UFB (Ultra-Fast Broadband) street network.§        §You will monitor jobs and service orders on our CRM system as well as update any information sent back from the Delivery Partners and keep our client's network records updated.§        §We are looking for a talented individual who has:§        §          §Previous experience dealing with customers and clients over the phone, with a high attention to detail and driven to perform at a high level.§          §Proven experience monitoring service orders and updating any information sent back in  a CRM system.§          §Experience scheduling work and working with local Fiber Internet companies would be an advantage. §        §        §The benefits of working at UCG include:§        §          §Competitive salary §          §Bonus plan§          §Employee assistance program§          §Social club and events§          §Outstanding performance awards§          §Flexible working options §          §Marram Community Trust membership§          §Great team environment§        §        §UCG:§        §UCG is one of New Zealand and Australia’s leading suppliers of network design, cabling, construction, maintenance, operations and contractor management services. Particularly for next generation cable and broadband networks, plus smart community infrastructure. UCG is at the forefront of where the telecommunications industry is heading today thanks to our experienced, highly innovative and respected team.§        §Our Values:§        §UCG and our team members are committed to our core company values of Performance, Respect, Innovation, Teamwork, Quality, Safety and Integrity. Our values are our promise to each other and are non-negotiable behaviours that underpin our company culture. §        §How to Apply:§        §If you feel you can positively contribute to UCG's company culture and you want to empower your career, click on the 'apply for this job' link and submit your application today.§        §Only persons with current work rights in New Zealand should apply. Whilst we thank all applicants, only those shortlisted will be will be contacted directly by our recruitment team.§        §Follow us on LinkedIn:§        §https://www.linkedin.com/company/universal-communications-group.§      §    §  §§§The role:§ §Based at our head office in Penrose, you will liaise with our end customers and field technicians to ensure appointments are scheduled for their house or building to be connected to the UFB (Ultra-Fast Broadband) street network.§ §You will monitor jobs and service orders on our CRM system as well as update any information sent back from the Delivery Partners and keep our client's network records updated.§ §We are looking for a talented individual who has:§ § §Previous experience dealing with customers and clients over the phone, with a high attention to detail and driven to perform at a high level.§ §Proven experience monitoring service orders and updating any information sent back in  a CRM system.§ §Experience scheduling work and working with local Fiber Internet companies would be an advantage. § §The benefits of working at UCG include:§ § §Competitive salary § §Bonus plan§ §Employee assistance program§ §Social club and events§ §Outstanding performance awards§ §Flexible working options § §Marram Community Trust membership§ §Great team environment§ §UCG:§ §UCG is one of New Zealand and Australia’s leading suppliers of network design, cabling, construction, maintenance, operations and contractor management services. Particularly for next generation cable and broadband networks, plus smart community infrastructure. UCG is at the forefront of where the telecommunications industry is heading today thanks to our experienced, highly innovative and respected team.§ §Our Values:§ §UCG and our team members are committed to our core company values of Performance, Respect, Innovation, Teamwork, Quality, Safety and Integrity. Our values are our promise to each other and are non-negotiable behaviours that underpin our company culture. § §How to Apply:§ §If you feel you can positively contribute to UCG's company culture and you want to empower your career, click on the 'apply for this job' link and submit your application today.§ §Only persons with current work rights in New Zealand should apply. Whilst we thank all applicants, only those shortlisted will be will be contacted directly by our recruitment team.§ §Follow us on LinkedIn:§ §https://www.linkedin.com/company/universal-communications-group.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Have you worked in a call centre before?§What&#x27;s your expected annual base salary?§How much notice are you required to give your current employer?§Are you available to work on a rotating roster?§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50387818,https://www.seek.co.nz/job/50387818,"Monitoring Centre Supervisor Job in Auckland - SEEK","Wilson Group","11 Sept 2020","Full Time","Auckland, Auckland Central","Call Centre & Customer Service","Supervisors/Team Leaders","","  ","How many years","Which of the following statements best describes your right to work in New Zealand?","TXT/50387818.txt	§Monitoring Centre Supervisor§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Monitoring Centre Supervisor§§Advertiser: §Wilson Group§§More jobs from this company§§§§Job Information§§Job Listing Date§§11 Sept 2020§§Location§§Auckland§, §Auckland Central§§Work Type§§Full Time§§Classification§§Call Centre &amp; Customer Service§, §Supervisors/Team Leaders§§§§§§§§§  §    §    §      §Monitoring Centre Supervisor §      §        §This is no ordinary call centre! Bring your level-headed attitude and leadership experience and we’ll train you on the rest§        § §        §FIRST Security provides a unique monitoring service contributing to the safety of our community.§        §The Monitoring team are specially trained agents who monitor, manage and support our field staff utilising hi-tech monitoring equipment.§        §Our role is to provide a timely response to alerts generated by the equipment, co-ordinating responses and communicating outcomes. We work to a defined set of specialised protocols and procedures 24 hours a day, 7 days a week.§        §Clear communication is key in a job like this, you will be working with a huge variety of people every day. Computer skills, attention to detail and following instructions are essential to this role.§        §This is an afternoon shift 1400 – 2300, flexibility to cover the occasional weekend is required§        §As a supervisor on the afternoon shift, you will be crucial to ensuring the smooth running of the shift, providing guidance regarding escalations and communicate directly with our clients and customers.§        §To be successful you will§        §          §Have supervisory experience and ability to develop the team on an ongoing basis§          §Must have experience of working in call centre environment.§          §Be able to pass a Criminal background check§          §Have intermediate to advanced computer skills§          §Have excellent attention to detail§          §Have a confident phone manner with a good command of the English language§        §        § §        §Our team loves to work with purpose - keeping our communities safe. They enjoy the team environment and the vibe that is encouraged (positivity and respect)§        §In return §        §          §You'll get 6 weeks full-time paid training, so you can learn the ins and outs of our systems, and what the challenges of our environment can be§          §Work with a friendly, positive and supportive team environment§          §Career Progression§        §        § If we’ve got you excited about this opportunity, send us your cover letter with a CV today!§      §      §        § Email: Please click the 'Apply Now' button below.§      §    §    §  §§§This is no ordinary call centre! Bring your level-headed attitude and leadership experience and we’ll train you on the rest§  § §  §FIRST Security provides a unique monitoring service contributing to the safety of our community.§  §The Monitoring team are specially trained agents who monitor, manage and support our field staff utilising hi-tech monitoring equipment.§  §Our role is to provide a timely response to alerts generated by the equipment, co-ordinating responses and communicating outcomes. We work to a defined set of specialised protocols and procedures 24 hours a day, 7 days a week.§  §Clear communication is key in a job like this, you will be working with a huge variety of people every day. Computer skills, attention to detail and following instructions are essential to this role.§  §This is an afternoon shift 1400 – 2300, flexibility to cover the occasional weekend is required§  §As a supervisor on the afternoon shift, you will be crucial to ensuring the smooth running of the shift, providing guidance regarding escalations and communicate directly with our clients and customers.§  §To be successful you will§ § §Have supervisory experience and ability to develop the team on an ongoing basis§ §Must have experience of working in call centre environment.§ §Be able to pass a Criminal background check§ §Have intermediate to advanced computer skills§ §Have excellent attention to detail§ §Have a confident phone manner with a good command of the English language§ § §  §Our team loves to work with purpose - keeping our communities safe. They enjoy the team environment and the vibe that is encouraged (positivity and respect)§  §In return § § §You'll get 6 weeks full-time paid training, so you can learn the ins and outs of our systems, and what the challenges of our environment can be§ §Work with a friendly, positive and supportive team environment§ §Career Progression§ § If we’ve got you excited about this opportunity, send us your cover letter with a CV today!§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§How many years of people management experience do you have?§Have you worked in a call centre before?§Do you have customer service experience?§§§"
50524714,https://www.seek.co.nz/job/50524714,"Trade Counter Sales - Electrical Job in Auckland - SEEK","J. A. Russell Ltd","7 Sept 2020","Full Time","Auckland, Rodney & North Shore","Call Centre & Customer Service","Customer Service - Customer Facing","","    ","","","TXT/50524714.txt	§Trade Counter Sales - Electrical§§More jobs from this company§§§§§§§§§§§Job Description§§Job Header§§Trade Counter Sales - Electrical§§Advertiser: §J. A. Russell Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Sept 2020§§Location§§Auckland§, §Rodney &amp; North Shore§§Work Type§§Full Time§§Classification§§Call Centre &amp; Customer Service§, §Customer Service - Customer Facing§§§§§§We are looking for an exceptional §Counter Sales§ person to work on the trade counter at our Silverdale Branch.§ § § §The successful applicant will be customer-focused and will share our passion for ensuring customers receive top service and the right product every time they walk through our doors.§ §You will be responsible for: § § §Exceptional customer service at our trade counter§ §Assisting customers with sales orders and returns§ §Answering phone queries§ §Assisting in the warehouse as required§ § § §Skills and experience requirements: § § §Customer focused with a real passion for customer service excellence§ §Excellent communication skills§ §A good level of computer literacy§ §A positive attitude and a willingness to learn§ §Initiative and excellent problem solving skills.§ § § §What’s on offer?§ § §Great career opportunities§ §Full-time, stable employment with an established brand§ §Opportunity to join an organisation that is committed to attracting, developing and retaining the right people who actively contribute to our long-term success.§ § § §How to apply: § §Apply now to get your career moving with a successful New Zealand owned and operated organisation. Simply click on ‘Apply for this job’, complete the application process and we’ll be in touch. § § § §About Us:§ §J. A. Russell Ltd is a proud New Zealand owned business that has been a trusted name to the electrical industry since 1951. Our experience and knowledge make us the go-to for wholesaler electrical contractors, maintenance electricians and project staff, to help provide them with sound product, services and business solutions. With over 700 staff across 75 branches nationwide, we employ the best people in the industry.§ § § §Find out more about us here: www.jarussell.co.nz § § §§§§"
50525766,https://www.seek.co.nz/job/50525766,"Customer Relations Specialist - Korean Speaker Job in Auckland - SEEK","Sitel New Zealand Limited","7 Sept 2020","Full Time","Auckland, Auckland Central","Call Centre & Customer Service","Customer Service - Call Centre","","     ","A minimum of 2 years","Which of the following statements best describes your right to work in New Zealand?","TXT/50525766.txt	§Customer Relations Specialist - Korean Speaker§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Customer Relations Specialist - Korean Speaker§§Advertiser: §Sitel New Zealand Limited§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Sept 2020§§Location§§Auckland§, §Auckland Central§§Work Type§§Full Time§§Classification§§Call Centre &amp; Customer Service§, §Customer Service - Call Centre§§§§§§§§§  §    §      §      §        §Customer Relations Specialist - Korean Speaker §        §          §Do you speak Korean? Do you have customer service experience and love working in a call centre?§          §Sitel is a global leader in business process outsourcing (BPO) in 28 countries and 150 sites.  Here is a fantastic opportunity to represent one of the world's leading consumer healthcare companies §Johnson &amp; Johnson Vision Care.§          §We are looking for individuals to work in our call centre for the role of Customer Relations Specialist to provide support to customers over the phone and email to support our client, Johnson &amp; Johnson Vision.§          §We need people fluent in Korean with high level written and verbal English skills.§          §Working for Sitel, main functions of this role will be assisting customers with a range of queries from product and quality queries through to medical complaints, with a particular focus on eye-care and contact lenses. With your passion for customer care you will monitor feedback activity using a complaint handling system and provide resolutions promoting customer satisfaction.§          §This role will be based in our call centre located in Onehunga with public transport links and free local parking.  Majority of your shifts will fall between 11.00 am – 9.00pm Monday to Friday working 40 hours per week.§          § §          §What are we looking for?§          §            §              §Immediate start§            §            §              §Fluency in Korean with strong written and verbal English skills.§            §            §              §A minimum of 2 years customer service experience ideally from retail, call centres or customer service support roles.§            §            §              §Experience in handling difficult customer queries and customer complaints.§            §            §              §Excellent telephone manner and communication skills.§            §            §              §A professional attitude.§            §            §              §Proficiency in Microsoft Office products.§            §            §              §Ability to multi-task and work in a fast-paced environment.§            §            §              §Strong attention to detail and accuracy.§            §            §              §Knowledge about contact lenses and eye care will be advantageous.§            §            §              §Previous contact centre experience is preferred.§            §          §          §Sitel offers you the opportunity to work on an exciting program for Johnson &amp; Johnson Vision care and a working environment that is supportive, team orientated and friendly. If you are up for the challenge then Apply Now!§        §        §        §      §    §  §§§Do you speak Korean? Do you have customer service experience and love working in a call centre?§ §Sitel is a global leader in business process outsourcing (BPO) in 28 countries and 150 sites.  Here is a fantastic opportunity to represent one of the world's leading consumer healthcare companies §Johnson &amp; Johnson Vision Care.§ §We are looking for individuals to work in our call centre for the role of Customer Relations Specialist to provide support to customers over the phone and email to support our client, Johnson &amp; Johnson Vision.§ §We need people fluent in Korean with high level written and verbal English skills.§ §Working for Sitel, main functions of this role will be assisting customers with a range of queries from product and quality queries through to medical complaints, with a particular focus on eye-care and contact lenses. With your passion for customer care you will monitor feedback activity using a complaint handling system and provide resolutions promoting customer satisfaction.§ §This role will be based in our call centre located in Onehunga with public transport links and free local parking.  Majority of your shifts will fall between 11.00 am – 9.00pm Monday to Friday working 40 hours per week.§ § § §What are we looking for?§ § § §Immediate start§ § § §Fluency in Korean with strong written and verbal English skills.§ § § §A minimum of 2 years customer service experience ideally from retail, call centres or customer service support roles.§ § § §Experience in handling difficult customer queries and customer complaints.§ § § §Excellent telephone manner and communication skills.§ § § §A professional attitude.§ § § §Proficiency in Microsoft Office products.§ § § §Ability to multi-task and work in a fast-paced environment.§ § § §Strong attention to detail and accuracy.§ § § §Knowledge about contact lenses and eye care will be advantageous.§ § § §Previous contact centre experience is preferred.§ § §Sitel offers you the opportunity to work on an exciting program for Johnson &amp; Johnson Vision care and a working environment that is supportive, team orientated and friendly. If you are up for the challenge then Apply Now!§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Have you worked in a call centre before?§Do you have customer service experience?§How would you rate your English language skills?§§§"
50527546,https://www.seek.co.nz/job/50527546,"Chinese Customer Service & Sales Representative Job in Auckland - SEEK","NOVA ENERGY T/A MEGATEL","8 Sept 2020","Full Time","Auckland, Rodney & North Shore","Call Centre & Customer Service","Customer Service - Call Centre","","     ","","Which of the following statements best describes your right to work in New Zealand?","TXT/50527546.txt	§Chinese Customer Service &amp; Sales Representative§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Chinese Customer Service &amp; Sales Representative§§Advertiser: §NOVA ENERGY T/A MEGATEL§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Sept 2020§§Location§§Auckland§, §Rodney &amp; North Shore§§Work Type§§Full Time§§Classification§§Call Centre &amp; Customer Service§, §Customer Service - Call Centre§§§§§§We are looking for a fluent speaker of §English§ and §Mandarin§ to join our Call Centre team at our Megatel Albany office. We want someone who is genuinely passionate about helping others and bringing positive changes to their everyday lives.§ § § § §Megatel§ is the first company in New Zealand to offer telecommunication and electricity services combined. We believe in providing values and convenience and want to become the only platform through which our customers can gain all the essential services. Your role will be to introduce our products and promptly provide assistance to our customers’ inquiries and needs.§ § § §You would be asked to cover for the shifts from Monday to Friday, either 9 am to 6 pm or 11 am to 8 pm. You will also be asked to work occasional Saturday shifts from 10 am to 3 pm and some holiday shifts. This will be rostered which will be provided to you in advance.§ § § §To be successful in this role you will need to have§ § §Excellent verbal and written skills in both English and Mandarin,§ §Attention to details,§ §An ability to adapt well to a fast-paced Call Centre environment,§ §Clear and effective communication skills§ §An ability to listen and understand customers’ needs,§ §Willingness to go the extra mile to provide satisfaction for our customers,§ §Patience and a positive attitude, and§ §Willingness to learn new skills and adapt them to everyday work.§ § § §If you are interested in this role and would like to apply, please submit both your CV and Cover Letter. We look forward to hearing from you.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Do you have customer service experience?§What&#x27;s your expected annual base salary?§How much notice are you required to give your current employer?§§§"
50528918,https://www.seek.co.nz/job/50528918,"Customer Service Representative - Dental Industry Job in Auckland - SEEK","Ivoclar Vivadent Pty Ltd","8 Sept 2020","Full Time","Auckland, Rodney & North Shore","Call Centre & Customer Service","Customer Service - Call Centre","","     ","","","TXT/50528918.txt	§Customer Service Representative - Dental Industry§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Customer Service Representative - Dental Industry§§Advertiser: §Ivoclar Vivadent Pty Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Sept 2020§§Location§§Auckland§, §Rodney &amp; North Shore§§Work Type§§Full Time§§Classification§§Call Centre &amp; Customer Service§, §Customer Service - Call Centre§§§§§§We are seeking a Customer Service Representative to join our team. Reporting to the Customer Service Manager, your proven customer service and organisational skills will be critical in providing exceptional service to our customers nationwide.  This role is full-time, working Monday-Friday 9.00am-5:30pm. We are looking for a team player who likes to be in a busy environment and has a sense of pride when helping others.§ §Location:§ Rosedale, Auckland§ §Your responsibilities:§ § §Participate in achievement of the sales budget by processing customer orders received by telephone, email, Webshop, CRM and over the counter.§ §Follow up on customer enquiries pertaining to product, deliveries, or supply shortages.§ §Handling of customer queries relating to company product or service.§ §Processing of return authorities through to credit note onto customer accounts.§ §Outbound calls to existing customer to promote special updates/offers.§ §Creation of new customer accounts and amendments.§ §Provide support to field sales team and other departments§ § §To be successful for this role, you will have:§ § §experience in customer service within the healthcare industry, preferably dental;§ §exceptional attention to detail; as well as accurate data entry;§ §the ability to prioritise and manage time;§ §excellent communication skills, both written and verbal;§ §ability to multi task in a fast paced, open office environment;§ §a resourceful and resilient approach to problem solving;§ §previous experience in SAP ERP &amp; SAP CRM systems or similar software. § §Join us on our journey to shape the future of dentistry.§ §Ivoclar Vivadent is one of the world's leading dental companies with approximately 3500 employees globally. We love innovation and we thrive on it. We are known for our long-standing experience and high quality. We are guided by our strong values and the company culture of a sustainably operated family-owned business with a long-term vision.§ §Our mission is making people smile§ §In order to achieve this goal, we are looking for people with good ideas, courage and exceptional drive: focused minds who share our passion. We offer a multifaceted work environment which is characterized by mutual respect and close collaboration. We translate words into action and continue to evolve. Become part of our team today.§ §If you believe you have the necessary skills for this position, we would like to hear from you by sending your resume and covering letter addressing the key selection criteria listed above.§ §We look forward to receiving your online application!§§§§"
50529050,https://www.seek.co.nz/job/50529050,"Resolutions Specialist - Billings Job in Auckland - SEEK","Hudson - Business Support","8 Sept 2020",Contract/Temp,"Auckland, Auckland Central","Call Centre & Customer Service",Other,"","   ","","Building relationships with large business clients and small residential customers","TXT/50529050.txt	§Resolutions Specialist - Billings§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Resolutions Specialist - Billings§§Advertiser: §Hudson - Business Support§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Sept 2020§§Location§§Auckland§, §Auckland Central§§Salary§§$50k - $60k Pro-Rata §§Work Type§§Contract/Temp§§Classification§§Call Centre &amp; Customer Service§, §Other§§§§§§§§§  §    §    §      §Resolutions Specialist - Billings §      §        §Hours, Location and Company§        §Based in Auckland CBD, this organisation is a well-known brand across NZ for providing us technology solutions day to day - so we can watch our favourite shows, dial into our zoom meetings and stay connected anywhere.§        §This position is starting ASAP and will be for approx. 10 months, working normal business hours Monday to Friday.§        §Your new team are a close-knit bunch who specialise in billing cases, with a welcoming and fun management team and passionate colleagues.§        §What you will be responsible for:§        §          §Managing cases where damages have been done to company property§          §Assessing and building a case/claim in the system§          §Working with the client/customer around recuperating costs§          §Building relationships with large business clients and small residential customers§          §Negotiating and closing cases where all parties involved are happy§        §        §What do you need for this role?§        §          §Previous resolutions, escalations or senior customer service experience§          §Knowledge about the telco sector is also a must (to understand all the tech jargon!)§          §Experience in billings, finance or recoveries would be ideal§          §Strong relationship building skills and enjoy dealing with clients/customers§          §Admin savvy too, as you will be updating systems and spreadsheets§          §Comfortable working with numbers§        §        §If you have previous customer service experience in the telecommunications sector, and have assisting with complaints and resolutions before, and are keen to get started in an in-depth, complex yet rewarding temp role ASAP, apply today using a Word CV!§        § §        §SK95252A§        § §      §      §      §    §    §      §        §          §            §jobs.hudson.com§            §            §Specialist Recruitment | Talent Management§          §        §      §    §  §§§Hours, Location and Company§Based in Auckland CBD, this organisation is a well-known brand across NZ for providing us technology solutions day to day - so we can watch our favourite shows, dial into our zoom meetings and stay connected anywhere.§This position is starting ASAP and will be for approx. 10 months, working normal business hours Monday to Friday.§Your new team are a close-knit bunch who specialise in billing cases, with a welcoming and fun management team and passionate colleagues.§What you will be responsible for:§Managing cases where damages have been done to company property§Assessing and building a case/claim in the system§Working with the client/customer around recuperating costs§Building relationships with large business clients and small residential customers§Negotiating and closing cases where all parties involved are happy§What do you need for this role?§Previous resolutions, escalations or senior customer service experience§Knowledge about the telco sector is also a must (to understand all the tech jargon!)§Experience in billings, finance or recoveries would be ideal§Strong relationship building skills and enjoy dealing with clients/customers§Admin savvy too, as you will be updating systems and spreadsheets§Comfortable working with numbers§If you have previous customer service experience in the telecommunications sector, and have assisting with complaints and resolutions before, and are keen to get started in an in-depth, complex yet rewarding temp role ASAP, apply today using a Word CV!§ §SK95252A§ §§§§"
50529063,https://www.seek.co.nz/job/50529063,"Customer Service Representative - Dental Industry Job in Canterbury - SEEK","Ivoclar Vivadent Pty Ltd","8 Sept 2020","Full Time","Canterbury, Christchurch","Call Centre & Customer Service","Customer Service - Call Centre","","     ","","","TXT/50529063.txt	§Customer Service Representative - Dental Industry§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Customer Service Representative - Dental Industry§§Advertiser: §Ivoclar Vivadent Pty Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Sept 2020§§Location§§Canterbury§, §Christchurch§§Work Type§§Full Time§§Classification§§Call Centre &amp; Customer Service§, §Customer Service - Call Centre§§§§§§Customer Service Representative Dental Industry§ §We are seeking a Customer Service Representative to join our team. The role's focus is being part of and supporting our Auckland based team while being situated in our Christchurch office.  Reporting to the Customer Service Manager, your proven customer service and organisational skills will be critical in providing exceptional service to our customers nationwide.  This role is full-time, working Monday-Friday 8:30am-5:00pm. We are looking for a team player who likes to be in a busy environment and has a sense of pride when helping others.§ §Location:§ Sydenham Christchurch§ §Your responsibilities:§ § §Participate in achievement of the sales budget by processing customer orders received by telephone, email, Webshop, CRM and over the counter.§ §Follow up on customer enquiries pertaining to product, deliveries, or supply shortages.§ §Handling of customer queries relating to company product or service.§ §Processing of return authorities through to credit note onto customer accounts.§ §Outbound calls to existing customer to promote special updates/offers.§ §Creation of new customer accounts and amendments.§ §Provide support to field sales team and other departments § §To be successful for this role, you will have:§ § §experience in customer service within a healthcare industry, preferably dental;§ §exceptional attention to detail; as well as accurate data entry;§ §the ability to prioritise and manage time;§ §excellent communication skills, both written and verbal;§ §ability to multi task in a fast paced, open office environment;§ §a resourceful and resilient approach to problem solving;§ §previous experience in SAP CRM system or similar software§ §Join us on our journey to shape the future of dentistry§ §Ivoclar Vivadent is one of the world's leading dental companies with approximately 3500 employees globally. We love innovation and we thrive on it. We are known for our long-standing experience and high quality. We are guided by our strong values and the company culture of a sustainably operated family-owned business with a long-term vision.§ §Our mission is making people smile§ §In order to achieve this goal, we are looking for people with good ideas, courage and exceptional drive: focused minds who share our passion. We offer a multifaceted work environment which is characterized by mutual respect and close collaboration. We translate words into action and continue to evolve. Become part of our team today.§ §If you believe you have the necessary skills for this position, we would like to hear from you by sending your resume and covering letter addressing the key selection criteria listed above.§ §We look forward to receiving your online application!§§§§"
50530312,https://www.seek.co.nz/job/50530312,"Field Collections / Debt Officer Job in Auckland - SEEK","Rebound LTD","8 Sept 2020","Full Time","Auckland, Auckland Central","Call Centre & Customer Service",Collections,"",0221238369,"","","TXT/50530312.txt	§Field Collections / Debt Officer§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Field Collections / Debt Officer§§Advertiser: §Rebound LTD§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Sept 2020§§Location§§Auckland§, §Auckland Central§§Salary§§$50,000 - $64,999§§Work Type§§Full Time§§Classification§§Call Centre &amp; Customer Service§, §Collections§§§§§§§§§  §    §    §      §Field Collections / Debt Officer §      §        §Who are we ?§Rebound Recovery is part of the Greenfield Global Group.§Who are we looking for ?§We are currently seeking an experienced Private Investigator / Field Collections / Debt Officer to join our team. This role will involve making and receiving collection related calls, visiting customers houses and providing flexible repayment options towards unpaid debt.§You will be contacting clients to inform them of their debts, negotiate repayment, and ensure payments are made as soon as possible.§You will be part of a collaborative team who will actively works towards one common goal.§Whilst training will be provided, the qualities we are seeking are:§        §          §Previous experience in a credit control/collections based role;§        §        §          §The ability to obtain a positive solution through negotiation;§        §        §          §Strong interpersonal skills with a resilient nature;§        §        §          §Exceptional time management and organisational skills;§        §        §          §High level of computer literacy and reporting ability;§        §        §          §A team player, driven to be successful and achieve targets.§        §        §          §Hunger to earn some serious cash. The more you collect, the more you will earn.§        §        §What to expect from this role ?§To be successful in this role, you will possess strong communication skills and understand the importance of obtaining a positive outcome for our clients.§This opportunity will suit a focused and self-driven professional who takes ownership of their database and works towards achieving targets.§We offer a unique opportunity to grow, maintain and reap the rewards from database. If you are an experienced collector you will be able to enjoy the fruits of recurring income from all the hard work you put in.§We offer a competitive salary and a generous incentive. In addition to this, we also offer special incentives on settlements.§What next ?§If you are seeking a challenging career with the opportunity to work with some great people in a company where you can go places, we would love to hear from you!§Apply now by clicking the link below and we will be in touch as soon as possible.§      §      §Oliver M§0221238369§ §    §  §§§Who are we ?§Rebound Recovery is part of the Greenfield Global Group.§Who are we looking for ?§We are currently seeking an experienced Private Investigator / Field Collections / Debt Officer to join our team. This role will involve making and receiving collection related calls, visiting customers houses and providing flexible repayment options towards unpaid debt.§You will be contacting clients to inform them of their debts, negotiate repayment, and ensure payments are made as soon as possible.§You will be part of a collaborative team who will actively works towards one common goal.§Whilst training will be provided, the qualities we are seeking are:§ § §Previous experience in a credit control/collections based role;§ §The ability to obtain a positive solution through negotiation;§ §Strong interpersonal skills with a resilient nature;§ §Exceptional time management and organisational skills;§ §High level of computer literacy and reporting ability;§ §A team player, driven to be successful and achieve targets.§ §Hunger to earn some serious cash. The more you collect, the more you will earn.§ §What to expect from this role ?§To be successful in this role, you will possess strong communication skills and understand the importance of obtaining a positive outcome for our clients.§This opportunity will suit a focused and self-driven professional who takes ownership of their database and works towards achieving targets.§We offer a unique opportunity to grow, maintain and reap the rewards from database. If you are an experienced collector you will be able to enjoy the fruits of recurring income from all the hard work you put in.§We offer a competitive salary and a generous incentive. In addition to this, we also offer special incentives on settlements.§What next ?§If you are seeking a challenging career with the opportunity to work with some great people in a company where you can go places, we would love to hear from you!§Apply now by clicking the link below and we will be in touch as soon as possible.§§§§The application form will include these questions:§§Do you have credit collections experience?§What&#x27;s your expected annual base salary?§Do you have a current New Zealand driver&#x27;s licence?§Do you own or have regular access to a car?§Which of the following days and times are you available to work?§§§"
