jobId,jobUrl,jobTitle,advertiser,listingDate,workType,location,classification,subClassification,email,phone,experience,xenophobe,jobText
50273690,https://www.seek.co.nz/job/50273690,"Hauraki Family Violence Intervention Network (HFVIN) Co-ordinator Job in Waikato - SEEK","Caps Hauraki","15 Sept 2020","Part Time","Waikato, Thames & Coromandel","Community Services & Development","Community Development",@capshauraki.co.nz,"     () ",""," right to live and work ","TXT/50273690.txt	§Hauraki Family Violence Intervention Network (HFVIN) Co-ordinator§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Hauraki Family Violence Intervention Network (HFVIN) Co-ordinator§§Advertiser: §Caps Hauraki§§More jobs from this company§§§§Job Information§§Job Listing Date§§15 Sept 2020§§Location§§Waikato§, §Thames &amp; Coromandel§§Work Type§§Part Time§§Classification§§Community Services &amp; Development§, §Community Development§§§§§§Hauraki Family Violence Intervention Network (HFVIN) Coordinator§  §30 hours per week - Two year fixed term§  §HFVIN is a well-established network of agencies and individuals working towards a shared vision of a Violence Free Hauraki. We are seeking to recruit an enthusiastic and energetic co-ordinator with an in-depth understanding of the dynamics related to family violence and the impacts it has on the individuals, families and communities who experience it.§  §As the HFVIN coordinator you will be responsible for the coordination of people, meetings and events, taking a lead role in the facilitation of collaborative conversations and supporting community led initiatives and needs–based projects focused on the prevention of family violence.§  §As a part of the HFVIN Team you will support the various administrative functions of the network across it’s range of projects and contracts, both as part of your core role or to support cover during staff leave as required.§  §This position is focused on strengthening responses to family violence by improving networking, collaboration, public awareness and service provision at a local level. The role involves facilitation, coordination, education and networking to support local services/groups and communities to build capacity to better respond to and prevent family violence.§  §The key skills required for this role are:§ § §A relevant tertiary qualification and/or extensive job related experience§ §Advanced understanding around the dynamics, impact and prevention of family violence§ §An understanding or primary prevention and community development processes§ §The ability to establish and maintain positive working relationships with key stakeholders§ §Excellent coordination and collaborative skills§ §Excellent verbal and written communication skills§ §Ability to work autonomously§ §Excellent time management and organisational skills§ §Ability to facilitate collaborative projects§ §A working knowledge of relevant legislation§ §Knoweldge of tikanga Maori that is consistent with local tikanga and kawa§ §Creativity, initiative, good judgement and flexibility§ §Experience designing and delivering primary prevention campaigns§ §A good sense of humour and commitment to safe, respectful and peaceful relationships in Hauraki / Coromandel.§ §You will be required to undergo and pass relevant NZ Police vetting as per the Vulnerable children’s Act§ §If this sounds like you, please contact us to register your interest by sending in your covering letter and C.V. to the address below.§  §HFVIN is hosted by CAPS Hauraki who offer a competitive salary package and a supportive team environment. §  §Please forward applications and queries to:§  §PO Box 552 or 732B Queen Street, Thames§Phone: §07 868-8644§ Fax: §07 868-8685§  §Email: Job§@capshauraki.co.nz§  § §§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50321410,https://www.seek.co.nz/job/50321410,"Key Support Worker Job in Hawkes Bay - SEEK","Presbyterian Support East Coast","25 Sept 2020","Part Time","Hawkes Bay, Napier","Community Services & Development","Aged & Disability Support",Caroline.Thompson@psec.org.nz,"  "," 12+ years","Which of the following statements best describes your right to work in New Zealand?","TXT/50321410.txt	§Key Support Worker§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Key Support Worker§§Advertiser: §Presbyterian Support East Coast§§More jobs from this company§§§§Job Information§§Job Listing Date§§25 Sept 2020§§Location§§Hawkes Bay§, §Napier§§Work Type§§Part Time§§Classification§§Community Services &amp; Development§, §Aged &amp; Disability Support§§§§§§Enliven Intensive Home Support, a service of Presbyterian Support East Coast, provides support services for older people so they can live and enjoy life as a valued part of our community. §  §Our experienced and dedicated team work alongside our clients and their families/whānau to provide individually tailored support programmes that allow older people to remain in their own home and be active in the community.§We currently have positions available for support workers across all our teams which include Napier, Taradale, Hastings and Havelock North.§At Enliven we believe in supporting and investing in our staff.§We provide:§ § §The support of a friendly, locally based support centre that knows the team and clients personally, and are there to support you§ §A comprehensive orientation programme  working alongside a qualified team member until you are confident in your role§ §Ongoing training to gain NZQA qualifications in Health and Well-being§ §Weekly paid team meetings§ §Guaranteed hours – minimum of 40 hours per fortnight§ §Competitive pay rates, and we reimburse you for travel costs:§ § &lt;3 years’ service OR Level 0 Qualification:§ $20.50 - $21.50 / hr§ § 3+ to 8 years’ service OR Level 2 Qualification:§ $21.50 - $23.00 / hr§ § 8+ to 12 years’ service OR Level 3 Qualification:§ $23.00 - $25.00 / hr§ § 12+ years’ service OR Level 4 Qualification:§ $25.50 - $27.00§ §You need to have:§ § §A positive and flexible outlook and good communication skills§ §Ability to work early mornings, evenings and weekends on rostered shifts§ §A full driver's licence, and a registered and insured vehicle§ §A genuine desire to make a positive difference to people's lives – no previous carer support experience is required§ §Eligibility to work in New Zealand.§ §This is a great opportunity to work for an organisation with a vision for communities reaching their potential.§  §E nanaiore ana te pito mata o ngā hāpori.§  §For more information contact Caroline on §06 281 2534§ or email §Caroline.Thompson@psec.org.nz§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§§§"
50345576,https://www.seek.co.nz/job/50345576,"Wider Wellington 24/7 male support worker - WW028 Job in Wellington - SEEK","Community Connections","29 Sept 2020","Full Time","Wellington, Wellington Central","Community Services & Development","Aged & Disability Support",bjorn.christensen@ccslt.org.nz,"  247     028","","We are a community based disability support provider that operates across much of the North Island. Our vision is of an inclusive New Zealand where people with disabilities are embraced as fully participating citizens, where barriers to inclusion are removed, and where all people are respected and valued for who they are.","TXT/50345576.txt	§Wider Wellington 24/7 male support worker - WW028§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Wider Wellington 24/7 male support worker - WW028§§Advertiser: §Community Connections§§More jobs from this company§§§§Job Information§§Job Listing Date§§29 Sept 2020§§Location§§Wellington§, §Wellington Central§§Salary§§$20.50 - $25.50 per hour§§Work Type§§Full Time§§Classification§§Community Services &amp; Development§, §Aged &amp; Disability Support§§§§§§We seek enthusiastic, creative male team members to fill full- and part-time roles supporting  a young man who is transitioning into a new service in the Porirua area.§  §About the role§ § §This is an exciting opportunity to help develop a varied and interesting program for this young person.§ §The role will include a variety of work including home help, community activities and goal setting.§ §The ideal candidate will§ § §Be a people person, able to build trusting and respectful relationships§ Be able to work creatively and problem-solve§ §Have good community knowledge and be able to develop networks§ §Have a level 3 qualification in Health and Wellbeing and a current first aid certificate (although training can be provided for the right person)§ §Have an understanding of bi-cultural practice in Aotearoa New Zealand and be willing to learn more§ §Be comfortable with technology – Community Connections has a cloud-based database and rostering system that staff need to access with their mobile devices§ §For 24/7 roles – full drivers licence essential§ §An understanding of Te Ao Maori and Tikanga Maori would be a welcome advantage§ §Benefits§ § §Pay rate is between $20.50 and $25.50 depending on qualifications and experience.§ §Flexible working options§ §Ongoing professional development§ §Supportive team environment§ §Making positive differences in people’s lives and in the community§ §How to apply§  §All applications must be made through our website - https://www.ccslt.org.nz/job/porirua-ft-247-ww028/ - Click on the “Apply for Job” tab, fill in the online form, and attach your CV and cover letter. Please note that as part of applying for this role we will ask you to fill out forms prior to an interview which we will send to the successful applicants.§  §For further information, contact Bjørn Christensen, service coordinator for 24/7 support Wellington at §bjorn.christensen@ccslt.org.nz§  §About Community Connections§  §We are a community based disability support provider that operates across much of the North Island. Our vision is of an inclusive New Zealand where people with disabilities are embraced as fully participating citizens, where barriers to inclusion are removed, and where all people are respected and valued for who they are.§  §We believe that people with disabilities can and should live the life they choose, on their own terms and within the community of their choice.§  §Community Connections is a member of the Equal Employment Opportunities Trust and actively encourages people with lived experience of disability to apply.§  § §§§§"
50520451,https://www.seek.co.nz/job/50520451,"Support Worker 24/7 services - Palmerston North - PLK002 Job in Manawatu - SEEK","Community Connections","30 Sept 2020","Full Time","Manawatu, Palmerston North","Community Services & Development","Aged & Disability Support","","  247      002","","We are a community based disability support provider that operates across much of the lower North Island. Our vision is of an inclusive New Zealand where people with disabilities are embraced as fully participating citizens, where barriers to inclusion are removed, and where all people are respected and valued for who they are.","TXT/50520451.txt	§Support Worker 24/7 services - Palmerston North - PLK002§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Support Worker 24/7 services - Palmerston North - PLK002§§Advertiser: §Community Connections§§More jobs from this company§§§§Job Information§§Job Listing Date§§30 Sept 2020§§Location§§Manawatu§, §Palmerston North§§Salary§§$20.50 - $25.50 per hour§§Work Type§§Full Time§§Classification§§Community Services &amp; Development§, §Aged &amp; Disability Support§§§§§§About the role§ § §Planning and delivering support to people in their homes and communities§ §Helping people connect with their communities, live the life they want and achieve their goals§ §Skills and experience§ §The ideal candidate will:§ § §Be a people person, able to build trusting and respectful relationships§ §Be able to work creatively and problem-solve§ §Have good community knowledge and be able to develop networks§ §Have a level 3 qualification in Health and Wellbeing and a current first aid certificate (although training can be provided for the right person)§ §Have an understanding of bi-cultural practice in Aotearoa New Zealand§ §Be comfortable with technology - Community Connections has a cloud-based database and rostering system that staff need to access with their mobile devices§ §Have a full drivers licence§ §Have experience with youth challenging behaviors and autism§ §Benefits§ § §Pay rate is between $20.50 and $25.50 depending on qualifications and experience§ §Flexible working options§ §Ongoing professional development§ §Supportive team environment§ §Making positive differences in people’s lives and in the community§ §How to apply§ §Applications are only accepted via our website.  Go to §https://www.ccslt.org.nz/job/pn-ft-casual-sw-24-7-services-plk002/§Click on the “Apply for Job” tab, fill in the online form, and attach your CV and cover letter.§ §About Community Connections § §We are a community based disability support provider that operates across much of the lower North Island. Our vision is of an inclusive New Zealand where people with disabilities are embraced as fully participating citizens, where barriers to inclusion are removed, and where all people are respected and valued for who they are.§ §We believe that people with disabilities can and should live the life they choose, on their own terms and within the community of their choice.§ §Community Connections is a member of the Equal Employment Opportunities Trust and actively encourages people with lived experience of disability to apply.§§§§"
50525024,https://www.seek.co.nz/job/50525024,"Pastor of Engagement and Equipping Job in Auckland - SEEK","Windsor Park Baptist Church","7 Sept 2020","Full Time","Auckland, Rodney & North Shore","Community Services & Development",Management,"","    ","How many years","Which of the following statements best describes your right to work in New Zealand?","TXT/50525024.txt	§Pastor of Engagement and Equipping§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Pastor of Engagement and Equipping§§Advertiser: §Windsor Park Baptist Church§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Sept 2020§§Location§§Auckland§, §Rodney &amp; North Shore§§Work Type§§Full Time§§Classification§§Community Services &amp; Development§, §Management§§§§§§About the business§ § § §Windsor Park Baptist Church is a large and effective church in the middle of Auckland's North Shore. Over the last 70 years we've developed into a wide faith-based group with speciality ministries in mental heath, the marketplace and in community care. Windsor Park is always changing as we seek to grow in effectiveness in an ever-changing post-Christian society.§ § § §About the role§ § § §This new role is a key pastoral leadership role and comes with all the opportunities key leadership roles have - the ability to implement change, try new ideas, and roll with creativity as you engage and equip people to help them grow in themselves and become active mission-minded participants in our community.§ § § §Benefits and perks§ § § §The leadership team at Windsor Park is always seeking new ways of being effective; you'll be empowered to work purposefully and creatively, and we do all that we can to help enable you to grow and develop.§ § § §Skills and experience§ § § §You'll be someone who has a demonstrated history of being a peoples-person; you'll love engaging with people and you'll have experience at leading teams. Having been part of a dynamic church environment is a distinct advantage, as well as proven effective communication skills.§ § §Tertiary qualifications in theology are definitely preferred, although exceptional circumstances could be discussed; however this would have to be something you would then undertake as part of the role.§ § §§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§How many years of people management experience do you have?§Do you have a current New Zealand driver&#x27;s licence?§What&#x27;s your expected annual base salary?§Do you have native or bilingual proficiency in any languages other than English?§§§"
50525433,https://www.seek.co.nz/job/50525433,"Social Worker Job in Manawatu - SEEK","ACROSS Te Kotahitanga O Te Wairua","7 Sept 2020","Full Time","Manawatu, Palmerston North","Community Services & Development","Youth & Family Services"," to discuss this opportunity further.  When applying for the position please send Cover Letter and CV. For a position description please email reception@across.org.nz.  Enquiries warmly welcomed.    "," ","","Which of the following statements best describes your right to work in New Zealand?","TXT/50525433.txt	§Social Worker§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Social Worker§§Advertiser: §ACROSS Te Kotahitanga O Te Wairua§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Sept 2020§§Location§§Manawatu§, §Palmerston North§§Work Type§§Full Time§§Classification§§Community Services &amp; Development§, §Child Welfare, Youth &amp; Family Services§§§§§§ACROSS, Te Kotahitanga O Te Wairua has a Social Worker vacancy.  If you enjoy working with whanau where you are part of empowering their solutions, where it is their voices that are heard and walk with our whanau on their transformation journey then ACROSS is where you need to be – “§making a difference”§.§  § §  §We offer our employees the environment of real whanau transformation through: § § §commitment to the highest standards of strength-based Social Work;§ §An opportunity to work alongside a cohesive, innovative and supportive team; and§ §On-going professional and personal development.§ §This position works with children and their whanau where you are able to facilitate client driven outcomes and work with other key stakeholders to enable these outcomes to be achieved.  We seek an experienced social worker that possesses the strong capabilities to work with our unique whanau in the community and connections with networks within local communities, service providers and agencies. §  §You must be registered and experienced Social Worker. You also will be required to undertake  police and working with children vetting. A clean drivers licence.  §  §We offer attractive remuneration and flexible working conditions. §  §How to Apply§  §Please contact Julie Holden, ACROSS Te Kotahitanga o te Wairua on §06 356 7486§   or §julie@across.org.nz§ to discuss this opportunity further.  When applying for the position please send Cover Letter and CV. For a position description please email reception@across.org.nz.  Enquiries warmly welcomed.    §Applications close on 5:00pm 25 September 2020§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§§§"
50525526,https://www.seek.co.nz/job/50525526,"Fundraising Team Leader Job in Auckland - SEEK","Mercy Hospice Auckland","7 Sept 2020","Full Time","Auckland, Auckland Central","Community Services & Development",Fundraising,fqian@mh.org.nz,"  ","How many years","Which of the following statements best describes your right to work in New Zealand?","TXT/50525526.txt	§Fundraising Team Leader§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Fundraising Team Leader§§Advertiser: §Mercy Hospice Auckland§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Sept 2020§§Location§§Auckland§, §Auckland Central§§Work Type§§Full Time§§Classification§§Community Services &amp; Development§, §Fundraising§§§§§§§§§  §    §    §      §Fundraising Team Leader §      §        §Mercy Hospice is a non-profit organisation based in Ponsonby.  Its mission is to ensure that those in our community facing life limiting illnesses are cared for with the utmost professional skill, compassion and quality of service.  Our values of dignity, compassion, respect, quality, advocacy and stewardship are integral to the Mercy Hospice culture and we are committed to practising these core values individually and as on organisation.§        §As Fundraising Team Leader you will have responsibility for leading the fundraising strategy for Mercy Hospice.  You will need to be a credible and passionate leader, who can inspire the fundraising team to contribute to Mercy Hospices mission and strategy.§        §Mercy Hospice services are free to patients and whanau and as such the Fundraising Team is accountable for raising over $2 million in revenue each year to ensure Mercy Hospice’s sustainability. To be considered for this position you will have demonstrable experience of income generation, with a proven track record of leading teams to deliver targets and continuously improve performance. You will have excellent experience of building high level relationships, developing funding propositions and securing significant funds.§        §Working collaboratively with the marketing team, you will be a key leader within the marketing and funding group.  Together you will promote a culture of fundraising and brand ambassadorship across the organisation.§        §In return, we can offer you the opportunity to take your career to the next level while making a tangible difference to those facing palliative care. Based in Ponsonby, you will work for a very special place with a strong history, mission, culture and values.§        §We are looking for;§        §          §3+ years proven experience managing a team of fundraisers§          §5+ years proven relevant generalist fundraising, including experience of managing several of the following areas – events, bequests, grants and/or community fundraising§          §Excellent communication skills – verbal and written§          §Highly organised with the ability to manage a busy and varied work load and meet conflicting deadlines§          §Ability to work collegially with multi-disciplinary teams – a professional people person!§        §        §This position is a full time (1.0 FTE) position, working Monday to Friday, plus events work.§        §For more information about the role, please email Fern Qian HR Administration for a copy of the position description, §fqian@mh.org.nz§        §Applications close 27 September 2020 or when a suitable applicant is found§        §Support Mercy Hospice’s Mission of caring for people facing life-limiting illnesses in accordance with the philosophy, mission and values of the Sisters of Mercy§      §      §      §    §  §§§Mercy Hospice is a non-profit organisation based in Ponsonby.  Its mission is to ensure that those in our community facing life limiting illnesses are cared for with the utmost professional skill, compassion and quality of service.  Our values of dignity, compassion, respect, quality, advocacy and stewardship are integral to the Mercy Hospice culture and we are committed to practising these core values individually and as on organisation.§  §As Fundraising Team Leader you will have responsibility for leading the fundraising strategy for Mercy Hospice.  You will need to be a credible and passionate leader, who can inspire the fundraising team to contribute to Mercy Hospices mission and strategy.§  §Mercy Hospice services are free to patients and whanau and as such the Fundraising Team is accountable for raising over $2 million in revenue each year to ensure Mercy Hospice’s sustainability. To be considered for this position you will have demonstrable experience of income generation, with a proven track record of leading teams to deliver targets and continuously improve performance. You will have excellent experience of building high level relationships, developing funding propositions and securing significant funds.§  §Working collaboratively with the marketing team, you will be a key leader within the marketing and funding group.  Together you will promote a culture of fundraising and brand ambassadorship across the organisation.§  §In return, we can offer you the opportunity to take your career to the next level while making a tangible difference to those facing palliative care. Based in Ponsonby, you will work for a very special place with a strong history, mission, culture and values.§  §We are looking for;§ § §3+ years proven experience managing a team of fundraisers§ §5+ years proven relevant generalist fundraising, including experience of managing several of the following areas – events, bequests, grants and/or community fundraising§ §Excellent communication skills – verbal and written§ §Highly organised with the ability to manage a busy and varied work load and meet conflicting deadlines§ §Ability to work collegially with multi-disciplinary teams – a professional people person!§ §This position is a full time (1.0 FTE) position, working Monday to Friday, plus events work.§  §For more information about the role, please email Fern Qian HR Administration for a copy of the position description, §fqian@mh.org.nz§  §Applications close 27 September 2020 or when a suitable applicant is found§  §Support Mercy Hospice’s Mission of caring for people facing life-limiting illnesses in accordance with the philosophy, mission and values of the Sisters of Mercy§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Do you have experience working in the not-for-profit sector?§Do you have experience in a role which requires relationship management experience?§How many years of project management experience do you have?§§§"
50526096,https://www.seek.co.nz/job/50526096,"Social Worker Job in Bay of Plenty - SEEK","Tuakiri Trust","8 Sept 2020","Full Time","Bay of Plenty, Rotorua","Community Services & Development","Youth & Family Services","Please apply online or contact Kere Mitai at kere.mitai@tuakiri.nz for job description and further details."," ","How many years","Which of the following statements best describes your right to work in New Zealand?","TXT/50526096.txt	§Social Worker§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Social Worker§§Advertiser: §Tuakiri Trust§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Sept 2020§§Location§§Bay of Plenty§, §Rotorua§§Work Type§§Full Time§§Classification§§Community Services &amp; Development§, §Child Welfare, Youth &amp; Family Services§§§§§§Tuakiri Charitable Trust is a Kaupapa Maori Care to Transition Service based in Rotorua. We operate a Transition to Independence Home and programme for young males aged between 13-17 years who are in the Custody of Oranga Tamariki. Our Home operates 24/7, 365 days a year.§ § § §Our Social Worker plays a pivotal role in our organisation, we are looking for a unique and special person who is honest, reliable and has a real and genuine passion for people, a person who has empathy, patience and the want and ability to build rapport with a variety of people. Our Social Worker is someone who has excellent communication skills and a ""can do"" attitude with the ability to manage risk and the confidence to make tough decisions on a day-day basis.§ § § § §This is a leadership position within our organisation, where you will be expected to role model best practice principles to the wider care team.§ §You will have excellent social work skills to carryout risk assessments, create individual care, activity and transition plans informed by Te Whare Tapa Wha. You will have a sound understanding of assessing and working with challenging behaviour, you will have excellent engagement skills and the ability to communicate with our young people, their whanau, and other professionals.§ §You will have well established networks and professional relationships within the Rotorua - Bay of Plenty region.§ §You will assess all referrals and complete individualised care, activity and transition plans, monitor and review the plan(s) for the duration of the placement.§ §You will engage with whanau and other professionals to ensure the appropriate supports are in place for all young people in our home.§ §You will have the ability to Identify and address the individual, social, educational and cultural needs of each young person that enters our whare.§ §This is a very rewarding position in a unique organisation that has a strong set of guiding values, if you genuinely want to make a positive difference in the lives of some of our most challenging, disadvantaged young people then this is the job for you!§ § § §This position is 40 Hours per week with flexibility of days.§ § § §What you will bring:§ § §Experience and sound understanding of complex behaviours, trauma informed care.§ §Sound judgement and organisational skills.§ §An energetic and resilient outlook§ §The ability to engage and build rapport with challenging, hard to reach young people and their whanau§ §A kind, caring, considerate disposition§ § § §You Must:§ § §Have a Qualification in Social Work§ §SWRB Registration with current APC§ §A minimum of 3 years social work experience§ §Demonstrate initiative and sound judgement with ability to ""think on your feet""§ §Have excellent time management skills§ §Resilient and flexible with a positive attitude and good sense of humour§ §Established community networks§ § § §We Offer:§ § § § §A competitive Salary§ §A unique working environment with a specialised service of care§ §A comprehensive Induction training package§ §Opportunities for further training and  professional development§ §A great team environment§ § § §Please apply online or contact Kere Mitai at kere.mitai@tuakiri.nz for job description and further details.§ § § § §§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§How many years&#x27; experience do you have as a social worker?§Do you have a current New Zealand driver&#x27;s licence?§Do you have a current Working With Children (WWC) Check?§Do you have experience in a role which requires relationship management experience?§§§"
50527906,https://www.seek.co.nz/job/50527906,"Key Worker Job in Otago - SEEK","St Clair Park Residential Centre","8 Sept 2020","Full Time","Otago, Dunedin","Community Services & Development","Housing & Homelessness Services",""," ","","Which of the following statements best describes your right to work in New Zealand?","TXT/50527906.txt	§Key Worker§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Key Worker§§Advertiser: §St Clair Park Residential Centre§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Sept 2020§§Location§§Otago§, §Dunedin§§Work Type§§Full Time§§Classification§§Community Services &amp; Development§, §Housing &amp; Homelessness Services§§§§§§Key Worker required for an Aging Mental Health Unit.  Level 4 Mental Health and Addiction certificate or equivalent qualification needed. Preference given to prior experience in a leadership role. This position involves providing a high level of quality care to a range of people with complex needs. Support with all ADL's and empowering independence at all levels of support. Guidance will be provided by the RN and Management team. Seeking a team player who is caring, reliable and respectful towards all people. Hours are on a rotating roster mornings and afternoons, 4 on 2 off. Must pass a police check and have a full clean drivers’ licence. §§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Do you have a current New Zealand driver&#x27;s licence?§§§"
50528024,https://www.seek.co.nz/job/50528024,"Support Worker Job in Manawatu - SEEK","Wise Group","8 Sept 2020","Full Time","Manawatu, Wanganui","Community Services & Development","Aged & Disability Support","",0278389140,"","","TXT/50528024.txt	§Support Worker§§More jobs from this company§§§§§§§§§§§Job Description§§Job Header§§Support Worker§§Advertiser: §Wise Group§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Sept 2020§§Location§§Manawatu§, §Wanganui§§Work Type§§Full Time§§Classification§§Community Services &amp; Development§, §Aged &amp; Disability Support§§§§§§Summary§ Are you the Support Worker we are looking for? Someone who is passionate about supporting people on their recovery journeys? If so, then keep reading.§ § We are looking for two people to fill a full-time (32-40hours) and a part-time role (16-24hours), working PM shifts in our Adult Respite Whanganui service- 2.30pm- 11.00pm.§ § Please specify in your cover letter if you are interested in full-time or part-time hours.§ § The permanent days of work can be negotiated for the preferred applicants. Please indicate your preference in your cover letter.§ § As a Support Worker you might be kept busy supporting people with budgeting and independent daily living skills, liaising with DHB clinicians and advocating for people. You might be assisting people to connect with their communities. You’ll need to be prepared to do whatever it takes to support our people - cleaning, cooking, gardening, or helping out with everyday household tasks.§ § §Pathways§ Creating mental health and wellness opportunities that enable people to live their dreams and flourish. At Pathways, that’s what we do; and who we are.§ § The Team§ Our Pathways Whanganui Adult Respite Services team is a service for high complex needs of 4 guests. You’ll be reporting to the Team Coach and working in a team of 6 Support Workers.§ § §You§ We are interested to hear from people who have a caring nature and work in a recovery focused way, mindfulness skills would also be a bonus. You will have impeccable attention to detail and be able to provide medication support for our people.§ §You must hold a current full driver’s licence.§Hold a current first aid certificate or be willing to obtain one.§Applicants must hold the New Zealand Certificate in Health and Wellbeing (NZCHW) or a recognised equivalent, or be currently studying towards this qualification or a recognised equivalent.§You’re compassionate and empathetic, the sort of person who will listen deeply to the people who use our services§You’re a fresh thinker and creative, using curiosity and imagination to generate new ideas§You’re energising, inspiring others with enthusiasm and a take action approach§You’re a communicator, the sort of positive person who loves working with people§The Benefits§ In this role, you can look forward to a great team around you every day working in an organisation that believes in its’ purpose. Be part of a supportive work environment where life balance is encouraged, people are valued, and new solutions are the norm!§ § §Closing Date:§ Sunday 27 September 2020. §Please note, this advert may close sooner if a suitable candidate is found.§ § §Position Description:§ https://www.wisegroup.co.nz/uploads/files/position-descriptions/SW_Respite.pdf§ § §Contact:§ Kristal Hartell, Team Coach, §0278389140§ § §For further information, visit our website www.pathways.co.nz§ § §**All new appointees into Pathways require background checking. Under the requirements of the Children's Act 2014, new employees that are identified as coming under this act are required to undergo further safety checks as part of the recruitment process.§§§§§"
