jobId,jobUrl,jobTitle,advertiser,listingDate,workType,location,classification,subClassification,email,phone,experience,xenophobe,jobText
50275674,https://www.seek.co.nz/job/50275674,"Intermediate Graphic Designer Job in Auckland - SEEK","Catch Consulting","9 Sept 2020","Full Time","Auckland, Auckland Central","Design & Architecture","Graphic Design",steph.townsend@catchconsulting.co.nz," 021 801 034","7 - 10 years","Which of the following statements best describes your right to work in New Zealand?","TXT/50275674.txt	§Intermediate Graphic Designer§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Intermediate Graphic Designer§§Advertiser: §Catch Consulting§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Auckland§, §Auckland Central§§Work Type§§Full Time§§Classification§§Design &amp; Architecture§, §Graphic Design§§§§§§§§§  §    §    §      §Intermediate Graphic Designer §      §        §Are you a talented designer capable of world-class creative design that will ensure our product presentation is exceptional? Are you creative and innovative? Do you enjoy learning about technical products? If so this could well be the opportunity you have been waiting for!§        §Our Client ""Vynco Industries"", are a leading distributor of electrical components and solutions both within New Zealand and abroad.  They are looking for a dynamic, motivated and creative Graphic Designer to be responsible for all advertising, product packaging, and design related activities. Innovation is a key company value and your ability to think outside of the box is crucial! This diverse role will explore areas such as environmental sustainability, the latest interior and architectural trends, and how best to highlight the importance of research and development.§        §Your day to day responsibilities will include:§        §          §Creating or updating product brochures, company profiles, price books and technical product documents§          §Creating templates for junior designers to work from§          §Reviewing and proofing design work§          §Pricebook creation and review§          §Designing artwork for external advertising§          §Liaising with external advertising channels§          §Managing company websites ensuring they are kept up to date including content management of images, brochures and text§          §Design of packaging for factory production and new product packaging design and coordination with overseas and local suppliers§        §        §To be successful in this role you will:§        §          §Hold a relevant design degree/qualification§          §7 - 10 years experience with a mix of job experience §          §Experienced in print media (vs digital)§          §Be someone ‘processes-minded’, who can help organise a department going through growth§          §Management experience not needed, but informal leadership experience welcome§          §Interested in the electrical industry or some kind of technical savvy (e.g. if someone has always worked in design for fashion probably not a good fit for us§          §Have excellent communication skills in all forms including written, oral, email, telephone and presentation§          §Strong comprehension of Adobe Photoshop, Illustrator and InDesign, as well as Microsoft Office skills (Vynco utilise PC System)§          §Web experience desirable although not essential§          §Be agile and flexible when working with shifting briefs always demonstrating excellent service to your clients§          §Target driven with the ability to take on board constructive criticism and work collaboratively to find solutions§          §Excellent organisational and time management skills, including file management§          §High degree of accuracy and attention to detail§          §A strategic thinker who is a confident and competent decision maker§        §        §This is a diverse role with an industry leader. If you think you have the skills, passion and drive to be successful in this role, we would love to hear from you!§        §This is a full-time role; however hours can be flexible working either 7.30am – 4.00pm or 8.30am -5.00pm. §        §Please apply online to Steph with a copy of your CV, a copy of your portfolio (either online or as PDF max.2MB) and a covering letter, or for an informal chat about the role please call Steph on 021 801 034.§      §      §Steph Townsend§021801034§steph.townsend@catchconsulting.co.nz§ §    §    §  §§§Are you a talented designer capable of world-class creative design that will ensure our product presentation is exceptional? Are you creative and innovative? Do you enjoy learning about technical products? If so this could well be the opportunity you have been waiting for!§  §Our Client ""Vynco Industries"", are a leading distributor of electrical components and solutions both within New Zealand and abroad.  They are looking for a dynamic, motivated and creative Graphic Designer to be responsible for all advertising, product packaging, and design related activities. Innovation is a key company value and your ability to think outside of the box is crucial! This diverse role will explore areas such as environmental sustainability, the latest interior and architectural trends, and how best to highlight the importance of research and development.§  §Your day to day responsibilities will include:§ § §Creating or updating product brochures, company profiles, price books and technical product documents§ §Creating templates for junior designers to work from§ §Reviewing and proofing design work§ §Pricebook creation and review§ §Designing artwork for external advertising§ §Liaising with external advertising channels§ §Managing company websites ensuring they are kept up to date including content management of images, brochures and text§ §Design of packaging for factory production and new product packaging design and coordination with overseas and local suppliers§ §To be successful in this role you will:§ § §Hold a relevant design degree/qualification§ §7 - 10 years experience with a mix of job experience § §Experienced in print media (vs digital)§ §Be someone ‘processes-minded’, who can help organise a department going through growth§ §Management experience not needed, but informal leadership experience welcome§ §Interested in the electrical industry or some kind of technical savvy (e.g. if someone has always worked in design for fashion probably not a good fit for us§ §Have excellent communication skills in all forms including written, oral, email, telephone and presentation§ §Strong comprehension of Adobe Photoshop, Illustrator and InDesign, as well as Microsoft Office skills (Vynco utilise PC System)§ §Web experience desirable although not essential§ §Be agile and flexible when working with shifting briefs always demonstrating excellent service to your clients§ §Target driven with the ability to take on board constructive criticism and work collaboratively to find solutions§ §Excellent organisational and time management skills, including file management§ §High degree of accuracy and attention to detail§ §A strategic thinker who is a confident and competent decision maker§ §This is a diverse role with an industry leader. If you think you have the skills, passion and drive to be successful in this role, we would love to hear from you!§  §This is a full-time role; however hours can be flexible working either 7.30am – 4.00pm or 8.30am -5.00pm. §  §Please apply online to Steph with a copy of your CV, a copy of your portfolio (either online or as PDF max.2MB) and a covering letter, or for an informal chat about the role please call Steph on 021 801 034.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§§§"
50405300,https://www.seek.co.nz/job/50405300,"Senior Architect Job in Wellington - SEEK","X4 Construction","28 Aug 2020","Full Time","Wellington, Wellington Central","Design & Architecture",Architecture,o.darvall@x4construction.co.nz," ","How many years","Which of the following statements best describes your right to work in New Zealand?","TXT/50405300.txt	§Senior Architect§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Senior Architect§§Advertiser: §X4 Construction§§More jobs from this company§§§§Job Information§§Job Listing Date§§28 Aug 2020§§Location§§Wellington§, §Wellington Central§§Salary§§$100,000 - $110,000§§Work Type§§Full Time§§Classification§§Design &amp; Architecture§, §Architecture§§§§§§I am currently seeking a §Senior Architect§ to join an Architectural practice based in Wellington.§  § §  §Due to a strong project pipeline they are looking for someone to come and join them. Working closely with the leadership team, this role and will see you responsible for project delivery (from initial briefing through to completion), client management, consultant co-ordination and business development.§  § §  §Key Responsibilities§ § §Proven experience across the entire project life cycle (concept design through to construction)§ §An architectural degree (ideally registered)§ §High competency in digital modelling§ §Knowledge of NZ standards and regulations§ §High level of fluency with Revit, Navisworks, Rhino and Adobe Creative Suite§ §Experience with residential/housing projects would be beneficial§ § §  §My client are looking to pay up to §$110,000§ for this position but have mentioned that there could be some flexibility for a highly skilled individual.§  § §  §Please get in touch with me directly if you would like to discuss further via this advert – or email §o.darvall@x4construction.co.nz§ / call §07 222 0236§.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§How many years&#x27; experience do you have as an architect?§Which of the following CAD software do you have experience with?§§§"
50430391,https://www.seek.co.nz/job/50430391,"New Home Consultant Job in Auckland - SEEK","G J Gardner Homes","17 Sept 2020","Full Time","Auckland, Papakura & Franklin","Design & Architecture",Architecture,"","  ",""," right to live and work ","TXT/50430391.txt	§New Home Consultant§§More jobs from this company§§§§§§§§Job Description§§Job Header§§New Home Consultant§§Advertiser: §G J Gardner Homes§§More jobs from this company§§§§Job Information§§Job Listing Date§§17 Sept 2020§§Location§§Auckland§, §Papakura &amp; Franklin§§Work Type§§Full Time§§Classification§§Design &amp; Architecture§, §Architecture§§§§§§G.J. Gardner Homes §-§ Franklin/Papakura - New Home Consultant§ § §Grow your sales career with New Zealand's favourite home builder§ §Great on target earning potential§ §Flexible schedule to maximise sales potential§ §This is a self employed position with uncapped commission§ § § §As New Zealand's favourite home builder, G. J. Gardner Homes Franklin and Papakura are looking to recruit a driven sales professional capable of enhancing our vision of having 'every customer recommend us to their closest friend'.§ § § §Are you our New Home Consultant?§ § §Develop your sales skillset with the unique 'G. J. Way of Selling'§ §Enhance your lifestyle with high potential on target earnings§ §Make a difference in your community by helping turn customer dreams in to reality§ § § §Based in our Takanini office the successful candidate will meet with prospective clients and utilise the G. J. Gardner Homes sales processes to help the client choose a package designed to suit their budget and lifestyle. The role offers flexible hours. Weekend and evening work is also required to be successful.§ § § §Experience in the construction or home design industry is preferable but not required. Training will be provided. You will be a sales hunter and not afraid to get out and generate business for yourself and the company.§ § § §If you believe you have the desire and commitment to become a high performing sales star with G. J. Gardner Homes, don't hesitate to forward your application now and start your exciting sales career with New Zealand's favourite home builder.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50518298,https://www.seek.co.nz/job/50518298,"Intermediate/Senior Graphic Designer Job in Auckland - SEEK","Portfolio Recruitment (Auckland) Limited","6 Oct 2020","Full Time","Auckland, Auckland Central","Design & Architecture","Graphic Design","","  ","How many years","Which of the following statements best describes your right to work in New Zealand?","TXT/50518298.txt	§Intermediate/Senior Graphic Designer§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Intermediate/Senior Graphic Designer§§Advertiser: §Portfolio Recruitment (Auckland) Limited§§More jobs from this company§§§§Job Information§§Job Listing Date§§6 Oct 2020§§Location§§Auckland§, §Auckland Central§§Work Type§§Full Time§§Classification§§Design &amp; Architecture§, §Graphic Design§§§§§§§§§  §    §    §      §Intermediate/Senior Graphic Designer §      §        §This independent design studio is looking for a high end intermediate to senior designer to join their busy team. Join a studio working across a varied range of clients – beauty, fashion, hospitality, corporate.§        § §        §You need to have experience in brand development, typography and also display a diverse skillet beyond that. Experience in web would be an advantage.§        §The role will see you work along side the Director and other designers with the ability to take charge of projects and flex your creative muscles!§        § §        §We’d love to see your CV and portfolio if it is filled with strong, beautiful work from a design studio background, and you’re looking for an opportunity to move into a role with loads of potential.§      §      §      §    §    §  §§§This independent design studio is looking for a high end intermediate to senior designer to join their busy team. Join a studio working across a varied range of clients – beauty, fashion, hospitality, corporate.§ § § §You need to have experience in brand development, typography and also display a diverse skillet beyond that. Experience in web would be an advantage.§ §The role will see you work along side the Director and other designers with the ability to take charge of projects and flex your creative muscles!§ § § §We’d love to see your CV and portfolio if it is filled with strong, beautiful work from a design studio background, and you’re looking for an opportunity to move into a role with loads of potential.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§How many years&#x27; experience do you have as a graphic designer?§Which of the following Adobe products are you experienced with?§§§"
50518332,https://www.seek.co.nz/job/50518332,"Intermediate Graphic Designer Job in Auckland - SEEK","Portfolio Recruitment (Auckland) Limited","6 Oct 2020","Full Time","Auckland, Auckland Central","Design & Architecture","Graphic Design","","  ","How many years","Which of the following statements best describes your right to work in New Zealand?","TXT/50518332.txt	§Intermediate Graphic Designer§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Intermediate Graphic Designer§§Advertiser: §Portfolio Recruitment (Auckland) Limited§§More jobs from this company§§§§Job Information§§Job Listing Date§§6 Oct 2020§§Location§§Auckland§, §Auckland Central§§Work Type§§Full Time§§Classification§§Design &amp; Architecture§, §Graphic Design§§§§§§§§§  §    §    §      §Intermediate Graphic Designer §      §        §This is an opportunity to work on incredible clients and use your design experience and skillset to help tell engaging stories.§        § §        §We are looking for:§A standout communicator and listener§Someone thoughtful and committed§Enthusiasm and authenticity§High end communication design experience§        § §        §As well as InDesign, Photoshop and Illustrator being familiar with CMS platforms and a basic understanding of HTML and CSS would be advantageous – as would experience using PowerPoint.§        § §        §This role offers an amazing team culture and safe place to learn and develop. Work with clients who are changemakers with social good based values and be constantly challenged alongside a genuinely passionate and supportive team.§        § §        §A role for a special sort of individual who can handle working on some sometimes-difficult topics but with hugely rewarding outcomes.§        § §        §If you have a minimum of three years design studio experience and are looking for a role that is full of challenges and rewards apply with your up-to-date CV and portfolio.§      §      §      §    §    §  §§§This is an opportunity to work on incredible clients and use your design experience and skillset to help tell engaging stories.§ § § §We are looking for:§A standout communicator and listener§Someone thoughtful and committed§Enthusiasm and authenticity§High end communication design experience§ § § §As well as InDesign, Photoshop and Illustrator being familiar with CMS platforms and a basic understanding of HTML and CSS would be advantageous – as would experience using PowerPoint.§ § § §This role offers an amazing team culture and safe place to learn and develop. Work with clients who are changemakers with social good based values and be constantly challenged alongside a genuinely passionate and supportive team.§ § § §A role for a special sort of individual who can handle working on some sometimes-difficult topics but with hugely rewarding outcomes.§ § § §If you have a minimum of three years design studio experience and are looking for a role that is full of challenges and rewards apply with your up-to-date CV and portfolio.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§How many years&#x27; experience do you have as a graphic designer?§Which of the following Adobe products are you experienced with?§§§"
50526455,https://www.seek.co.nz/job/50526455,"Architectural Technician / Graduate Job in Otago - SEEK","Sorted Architecure Ltd","8 Sept 2020","Full Time","Otago, Queenstown & Wanaka","Design & Architecture",Architecture,"If you think you are a good fit to become Sorted Architecture’s next Technician, please send apply on-line with a cover letter and CV. Following initial screening, a portfolio of your work may be requested so, please have this available. to jan@sortedarchitecture.co.nz. ","   ","How many years","Applicants for this position must have NZ residency or a valid NZ work visa.","TXT/50526455.txt	§Architectural Technician / Graduate§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Architectural Technician / Graduate§§Advertiser: §Sorted Architecure Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Sept 2020§§Location§§Otago§, §Queenstown &amp; Wanaka§§Work Type§§Full Time§§Classification§§Design &amp; Architecture§, §Architecture§§§§§§Sorted Architecture is an award-winning practice, based in the heart of Wanaka with an exciting opportunity for an experienced technician to join our team.§  §If you have a thorough understanding of the NZ building code, standards and construction practices and have a detailed, methodical approach to your work, this could be the position for you. §  §At Sorted Architecture, we like to foster a supportive professional environment and can provide ample opportunity for career development to the right applicant. As we are a busy practice, it is also important that you are confident in using your own initiative to complete tasks.§ §The ideal candidate will have:§ § §Relevant NZCAD qualifications and/or a BArch degree§ §A minimum of 3+ years of architectural experience in New Zealand.§ §Advanced knowledge of ArchiCad and BIM modelling experience is a prerequisite.§ §A proven ability to produce accurate detailed drawings within deadlines.§ §An in-depth understanding of New Zealand building code, standards, industry best practices and sound knowledge of general residential construction.§ §Design experience is beneficial.§ §You’ll be confident and motivated with the ability to work unsupervised.§Effective communication skills are essential as you will be required to communicate with our team, councils, engineers, subcontractors and clients. Effective time management and determination to meet deadlines is a must.§  §However, we also understand that life isn’t all about work! We are a flexible employer that values work/life balance so you’ll be able to take full advantage of Lake Wanaka, the ski fields, bike tracks and amazing weather on your doorstep!§ §  §If you think you are a good fit to become Sorted Architecture’s next Technician, please send apply on-line with a cover letter and CV. Following initial screening, a portfolio of your work may be requested so, please have this available. to jan@sortedarchitecture.co.nz. §  §Applicants for this position must have NZ residency or a valid NZ work visa.§  § §  § §  § §  § §  § §  § §§§§The application form will include these questions:§§How many years&#x27; experience do you have as an architectural technician?§Which of the following CAD software do you have experience with?§Have you completed a qualification in architecture?§Are you willing to relocate for this role?§§§"
50528009,https://www.seek.co.nz/job/50528009,"Architectural Designer Job in Bay of Plenty - SEEK",Twoticks,"8 Sept 2020","Full Time","Bay of Plenty, Tauranga","Design & Architecture",Architecture,"If you are interested in finding out more about this role please apply below or email us at enquiries@twoticks.co.nz"," ","3 years","The client is a dynamic architectural design studio, born in Tauranga, designed and built from Northland to Southland. Their services include: small to large scale residential Architectural Design, residential Developments / Master Planning, Multi-unit Housing / Apartments and Town Houses, and so much more.","TXT/50528009.txt	§Architectural Designer§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Architectural Designer§§Advertiser: §Twoticks§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Sept 2020§§Location§§Bay of Plenty§, §Tauranga§§Salary§§Competitive pay package, career progression§§Work Type§§Full Time§§Classification§§Design &amp; Architecture§, §Architecture§§§§§§§§§  §    §    §      §Architectural Designer §      §        §About the opportunity:§        §Our client is experiencing an increasing workload due to their ever growing clientele, and a great opportunity based at their Mount Maunganui office has come up for someone who is highly skilled in the residential sector of the New Zealand building industry.§        §Role description:§        §You will be involved in all aspects of design from the preliminary concept stage through to working drawings and consent documentation. As well as coordinating with consultants, liaising with local councils and providing support to contractors, you will provide support to junior staff members. Your strong organisational skills, proficiency in ArchiCAD, eye for detail and ability to build and maintain strong internal customer relationships will ensure success in this opportunity.§        §Responsibilities will include:§        §          §Use necessary physical and digital tools to create initial drafts§          §Work with team members/stakeholders to ensure accuracy of early design work§          §Review designs and make adjustments to designs as needed§          §Research and incorporate artistic elements into designs as needed§          §Ensure design specifics align to safety standards &amp; governmental regulations§          §Liaise with various professionals and departments to coordinate project details§        §        §This role will suit someone with the following background / experience / qualities:§        §          §3 years minimum working experience within New Zealand§          §High level of Archicad Knowledge§          §Skilled in high quality 3D rendering and modelling§          §An eye for detail, solid detailing skills and document accuracy.§          §Thorough understanding of the New Zealand building Code and NZS 3604§          §Ability to liaise with clients, engineers, builders and council§        §        §About the company:§        §The client is a dynamic architectural design studio, born in Tauranga, designed and built from Northland to Southland. Their services include: small to large scale residential Architectural Design, residential Developments / Master Planning, Multi-unit Housing / Apartments and Town Houses, and so much more.§        §What will they offer:§        §          §A competitive remuneration package based on experience§          §Career progression§          §Be part of an easy going and friendly team§          §Excellent team environment§          §Company subsidised kiwisaver§          §Internal &amp; External training to develop your career§          §Opportunity to gain LBP to any non LBP Registered applicants§        §        §To find out more:§        §If you are interested in finding out more about this role please apply below or email us at enquiries@twoticks.co.nz§        § §      §      §      §    §  §§§About the opportunity:§ §Our client is experiencing an increasing workload due to their ever growing clientele, and a great opportunity based at their Mount Maunganui office has come up for someone who is highly skilled in the residential sector of the New Zealand building industry.§  §Role description:§ §You will be involved in all aspects of design from the preliminary concept stage through to working drawings and consent documentation. As well as coordinating with consultants, liaising with local councils and providing support to contractors, you will provide support to junior staff members. Your strong organisational skills, proficiency in ArchiCAD, eye for detail and ability to build and maintain strong internal customer relationships will ensure success in this opportunity.§  §Responsibilities will include:§ §Use necessary physical and digital tools to create initial drafts§ §Work with team members/stakeholders to ensure accuracy of early design work§ §Review designs and make adjustments to designs as needed§ §Research and incorporate artistic elements into designs as needed§ §Ensure design specifics align to safety standards &amp; governmental regulations§ §Liaise with various professionals and departments to coordinate project details§ §This role will suit someone with the following background / experience / qualities:§ §3 years minimum working experience within New Zealand§ §High level of Archicad Knowledge§ §Skilled in high quality 3D rendering and modelling§ §An eye for detail, solid detailing skills and document accuracy.§ §Thorough understanding of the New Zealand building Code and NZS 3604§ §Ability to liaise with clients, engineers, builders and council§ §About the company:§ §The client is a dynamic architectural design studio, born in Tauranga, designed and built from Northland to Southland. Their services include: small to large scale residential Architectural Design, residential Developments / Master Planning, Multi-unit Housing / Apartments and Town Houses, and so much more.§  §What will they offer:§ §A competitive remuneration package based on experience§ §Career progression§ §Be part of an easy going and friendly team§ §Excellent team environment§ §Company subsidised kiwisaver§ §Internal &amp; External training to develop your career§ §Opportunity to gain LBP to any non LBP Registered applicants§ §To find out more:§ §If you are interested in finding out more about this role please apply below or email us at enquiries@twoticks.co.nz§  § §§§§"
50529038,https://www.seek.co.nz/job/50529038,"Kitchen Sales and Design Person Job in Bay of Plenty - SEEK","Hostess Joinery Ltd","8 Sept 2020","Full Time","Bay of Plenty, Tauranga","Design & Architecture","Interior Design","","    ",""," right to live and work ","TXT/50529038.txt	§Kitchen Sales and Design Person§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Kitchen Sales and Design Person§§Advertiser: §Hostess Joinery Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Sept 2020§§Location§§Bay of Plenty§, §Tauranga§§Work Type§§Full Time§§Classification§§Design &amp; Architecture§, §Interior Design§§§§§§Hostess Joinery specialise in Kitchen Design, Manufacture and Installation.§ §Our business has a long history and has been designing and building award winning kitchen joinery under the name Hostess since 1965. With a purpose built showroom and manufacturing facility in Hamilton and a showroom and factory at Mt Maunganui, we are able to offer opportunities for skilled and passionate people wanting to advance their careers in the kitchen industry.§ §We have an excellent team environment where we have combined the latest design and manufacture technology with traditional skills and passion. Due on-going growth, we currently have an opportunity for an experienced salesperson/CAD designer with drive and passion to join our team in Mt Maunganui.§ §You will need to have:§ §# A proven track record in kitchen design and/or sales with the ability to relate to and communicate with a broad range of clients including both retail customers and builders.§ §# CAD Computer design experience would be an advantage.§ §# NKBA qualifications would be an advantage but not essential.§ §# Good time management and a positive, outgoing personality.§ §# An understanding of house plans and construction.§ §As we will be interviewing shortlisted candidates, §if you are not resident in New Zealand with the right to work in New Zealand, please do not reply to this advert.§ We will not reply to applications from outside New Zealand.§ §Please apply in writing and send your C.V. to:§ § §§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§How much notice are you required to give your current employer?§Have you completed a qualification in design?§Do you have experience working on residential construction projects?§What&#x27;s your expected hourly rate?§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50529067,https://www.seek.co.nz/job/50529067,"Senior Architectural Technician Job in Bay of Plenty - SEEK","Thorne Group Architecture","8 Sept 2020","Full Time","Bay of Plenty, Tauranga","Design & Architecture","Architectural Drafting","","  ","Minimum of 5 years","Which of the following statements best describes your right to work in New Zealand?","TXT/50529067.txt	§Senior Architectural Technician§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Senior Architectural Technician§§Advertiser: §Thorne Group Architecture§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Sept 2020§§Location§§Bay of Plenty§, §Tauranga§§Work Type§§Full Time§§Classification§§Design &amp; Architecture§, §Architectural Drafting§§§§§§Thorne Group Architecture is a fun and dynamic ADNZ registered practice based in the amazing lifestyle location of Mount Maunganui.§ §We have completed a range of projects since inception and pride ourselves on a number of award winning projects.§ §We might be only six years young but our client base is growing year on year.  With a solid pipeline of forward work we are on the look out for a Senior Architectural Technician to join our practice and work across a diverse range of projects.§ §Working across a wide range of industry sectors, you will have the opportunity to be involved in interesting and challenging projects, providing your technical expertise to ensure that all work meets the company's very high and exacting standards.§ §You need to have:§ §Minimum of 5 years experience with a proven history of preparing working drawings and specifications§Excellent work ethic§An eye for detail and unrelenting standards for delivering quality drawings and models§Ability to meet strict deadlines, multitask and manage a number of projects at once§Broad knowledge base of various construction methods§A strong knowledge of NZBC and NZS3604§Be NZ Qualified with either B Arch / NZ CAD / Dip Arch Tech or similar§Proficiency using ArchiCAD§ §If you check all the boxes and can see yourself working with a fun, energetic and interesting group of people then apply online now!§ §Please include your CV along with a four-page portfolio highlighting key projects you have worked on and images demonstrating your design and technical ability.§ §We will be closing applications on 18th September 2020.§§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Which of the following CAD software do you have experience with?§What&#x27;s your expected annual base salary?§§§"
50532237,https://www.seek.co.nz/job/50532237,"Senior Technician Job in Auckland - SEEK","RTA Studio","8 Sept 2020",Contract/Temp,"Auckland, Auckland Central","Design & Architecture",Architecture,""," ","How many years"," right to live and work ","TXT/50532237.txt	§Senior Technician§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Senior Technician§§Advertiser: §RTA Studio§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Sept 2020§§Location§§Auckland§, §Auckland Central§§Work Type§§Contract/Temp§§Classification§§Design &amp; Architecture§, §Architecture§§§§§§RTA Studio is an award-winning architecture practice located in the heart of Ponsonby. We are a practice that focuses on delivering exceptional design with a considered and professional service.§We are seeking a Senior Technician with between 4-5 years New Zealand work experience post qualification.§Candidates will need to be expert Revit users and also competent with the following packages:§- Sketchup§- Indesign§We offer competitive remuneration, mentoring from experienced architects and technicians, opportunities to work on a wide variety of challenging, innovative and exciting projects, a supportive and fun team environment and regular social events.§ §We look forward to hearing from applicants with a thoroughness of approach, and a desire to be part of a progressive architectural team.§Find out more about us at www.rtastudio.co.nz§Applicants for this position should have NZ residency or a valid NZ work visa.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§What&#x27;s your expected annual base salary?§How much notice are you required to give your current employer?§Have you completed a qualification in architecture?§How many years&#x27; experience do you have as an architect?§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
