jobId,jobUrl,jobTitle,advertiser,listingDate,workType,location,classification,subClassification,email,phone,experience,xenophobe,jobText
50534020,https://www.seek.co.nz/job/50534020,"Commercial Broker Support Job in Waikato - SEEK","Rothbury Insurance Brokers","9 Sept 2020",Contract/Temp,"Waikato, Hamilton","Insurance & Superannuation",Brokerage,"","  ","How many years","Which of the following statements best describes your right to work in New Zealand?","TXT/50534020.txt	§Commercial Broker Support§§More jobs from this company§§§§§§§§§§§Job Description§§Job Header§§Commercial Broker Support§§Advertiser: §Rothbury Insurance Brokers§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Waikato§, §Hamilton§§Work Type§§Contract/Temp§§Classification§§Insurance &amp; Superannuation§, §Brokerage§§§§§§The Company§ §Rothbury is the largest majority New Zealand owned Insurance Broking Company with branches nationwide. As Insurance Brokers we have the vast experience and knowledge to be able to identify potential exposures that individuals themselves might not understand and ensure they get appropriate protection.§ §We offer a supportive, fun and inclusive culture where people enjoy coming to work and know they are valued.§ §The Role§ §This is a great fixed term opportunity that has opened up in our Waikato branch covering parental leave. Supporting a Commercial Broker, you will have a key role in the overall management of their commercial client portfolio, maximising new business opportunities and the retention of commercial clients.§ §Key responsibilities will include:§ § §Processing of renewals, new business, alterations and cancellations§ §Setting up new policies, processing finance agreements and sending out proposals§ §Ensuring premiums are collected within required timeframes§ §Resolving client queries and providing a high level of client service§ §Our Ideal Candidate§ §The ideal candidate will relish being part of a hardworking, professional and experienced team. You will have the following attributes:§ § §Experience within Fire and General insurance in New Zealand§ §Experience as a Broker Support preferable§ §A strong understanding of NZ insurance policies and wording§ §Strong communication and computer literacy§ §All applicants must be available for the entirety of the fixed term contract.§ §We are a company that prides itself on offering a collaborative, fun, inclusive culture. To register your interest in this role, please submit both your CV and covering letter today.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§How many years&#x27; experience do you have in the insurance industry?§§§"
50535096,https://www.seek.co.nz/job/50535096,"Commercial Broker Support Job in Auckland - SEEK","Rothbury Insurance Brokers","9 Sept 2020","Full Time","Auckland, Auckland Central","Insurance & Superannuation",Brokerage,"","  ","How many years","Which of the following statements best describes your right to work in New Zealand?","TXT/50535096.txt	§Commercial Broker Support§§More jobs from this company§§§§§§§§§§§Job Description§§Job Header§§Commercial Broker Support§§Advertiser: §Rothbury Insurance Brokers§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Auckland§, §Auckland Central§§Work Type§§Full Time§§Classification§§Insurance &amp; Superannuation§, §Brokerage§§§§§§The Company§ §Rothbury is the largest majority New Zealand owned insurance broking company with branches nationwide. As insurance brokers, we have the vast experience and knowledge to be able to identify potential exposures that individuals themselves might not understand and ensure they get appropriate protection.§ §We are a growing company committed to developing our people, offering new opportunities and supporting them in their journey. We offer a supportive, fun and inclusive culture where people enjoy coming to work and know they are valued. We offer:§ § §Competitive salary, KPIs, commission and profit sharing scheme§ §Wellness days§ §Company funded health insurance§ §Career and personal development opportunities§ §The Role§ §An opportunity has opened up for an experienced and motivated individual to join our Auckland Branch in a Commercial Broker Support position. Supporting our newly appointed Assistant Branch Leader, you will have a key role in the overall management of their commercial client portfolio, maximising new business opportunities and the retention of commercial clients.§ §Key responsibilities will include:§ § §Processing of renewals, new business, alterations and cancellations§ §Setting up new policies, processing finance agreements and sending out proposals§ §Ensuring premiums are collected within required timeframes§ §Resolving client queries and providing a high level of client service§ §Our Ideal Candidate§ §The ideal candidate will relish being part of a hardworking, professional and experienced team. You will have the following attributes:§ § §Experience within the Commercial Fire and General insurance market in New Zealand§ §Experience as a Broker Support§ §A strong understanding of NZ insurance policies and wordings§ §Strong communication and computer literacy skills§ §To register your interest in this role, please submit both your CV and covering letter.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§How many years&#x27; experience do you have in the insurance industry?§Do you have experience as a Broker Support in the New Zealand insurance market?§§§"
50541542,https://www.seek.co.nz/job/50541542,"Loss Adjustor Job in Auckland - SEEK","Gallagher Bassett","10 Sept 2020","Full Time","Auckland, Auckland Central","Insurance & Superannuation",Claims,""," ","Minimum 5 years","Only people with the right to work in this country will be considered for this position.","TXT/50541542.txt	§Loss Adjustor§§More jobs from this company§§§§§§§§§§§Job Description§§Job Header§§Loss Adjustor§§Advertiser: §Gallagher Bassett§§More jobs from this company§§§§Job Information§§Job Listing Date§§10 Sept 2020§§Location§§Auckland§, §Auckland Central§§Salary§§Competiitve salary with loads of benefits!§§Work Type§§Full Time§§Classification§§Insurance &amp; Superannuation§, §Claims§§§§§§ §Gallagher Bassett is New Zealand’s premier third party administrator (TPA).  We manage group insurance plans and claims on behalf of insurers, brokers, government bodies and self-insured organisations.  We are part of the leading global risk management and insurance group Arthur J Gallagher &amp; Co, and awarded one of the Top 15 Best Employers in the NZ Insurance Industry 2020.§ §Through a team geographically dispersed throughout New Zealand, GB provides a suite of claims management, risk management and related services out of offices located in Auckland, Christchurch, and Dunedin.§ § § § We are proud to be one of 124 companies from 19 countries on 5 continents, named on the Ethisphere Institute’s 2020 World’s Most Ethical Companies list for the ninth consecutive year.§ § § §The Role § § § §We have a fantastic opportunity for a Loss Adjuster within our General Insurance team. We are looking for someone who can assist with us with assessments across a range of New Zealand’s leading insurers. You will also have the opportunity to take an active role in the continuous improvement of processes within the business.§ § § §Responsibilities include but are not limited to:§ § §§Conduct onsite assessments to establish cause and quantum of insurance claims; including commercial, domestic and event.§Maintaining a full understanding of policies, processes and systems;§Be able to understand and interpret insurance policies across a range of products§Engage and manage specialists as and when required, including reviewing reports and providing instruction or progressing the claim§Compile high quality detailed scope of works, loss schedules and photographic evidence§Actively contributing to initiatives and driving growth or improvement, both personally and across the organisation;§The role is Auckland based within our CBD office. We are looking for someone with a commitment to high standards of customer service, has a sense of personal responsibility for resolving issues, empowering yourself and your colleagues to exceed customer expectations.§§ § §The Right Person § § § §Ideally, you will have:  § §§Experience in general insurance loss adjusting;§Minimum 5 years of work experience;§Experience/knowledge of the building/construction industry;§Understanding of Health &amp; Safety requirements§Communication effectiveness / demonstrated high-level interpersonal skills;§Demonstrated time-management, organisational and negotiation skills;§Demonstrated computer literacy i.e. Microsoft Office Suite; ability to learn new systems;§Enthusiasm and initiative, with the willingness to contribute to a dynamic, professional and positive team environment§§ §Benefits &amp; Culture§ §When you join the Gallagher Bassett team, you’ll be joining a culture of best practice, partnership, success and fun! Every member of our team is highly skilled, with a passion for what we do! We work collaboratively to deliver meaningful and relevant services to our clients, and to ensure a consistently high level of job satisfaction among our team members.§Life at Gallagher Bassett is often fast-paced, unpredictable and challenging. Our work is deeply rewarding, social and engaging.§ §Some of our benefits include:§ §Attractive remuneration package§Ongoing professional development§Employee referral incentive§Employee Wellness Program§Employee Assistance Program (for yourself and immediate family members)  § §If you’re looking to step into a great career with a progressive company – we look forward to hearing from you. § §Apply now! § §Click on Apply for this Job.§ §Only people with the right to work in this country will be considered for this position.§ §Applications from agencies will not be accepted.§ §§§§§"
50542629,https://www.seek.co.nz/job/50542629,"Temporary Domestic Broker Support Opportunities - ASAP start Job in Auckland - SEEK","Quinn Staff Recruiters","10 Sept 2020",Contract/Temp,Auckland,"Insurance & Superannuation",Brokerage,"","       ","","Which of the following statements best describes your right to work in New Zealand?","TXT/50542629.txt	§Temporary Domestic Broker Support Opportunities - ASAP start§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Temporary Domestic Broker Support Opportunities - ASAP start§§Advertiser: §Quinn Staff Recruiters§§More jobs from this company§§§§Job Information§§Job Listing Date§§10 Sept 2020§§Location§§Auckland§§Work Type§§Contract/Temp§§Classification§§Insurance &amp; Superannuation§, §Brokerage§§§§§§§§§  §    §    §      §Temporary Domestic Broker Support Opportunities - ASAP start §      §        §          §Various Auckland locations§          §Part time and Full time§          §Immediate starts§        §        §We have a number of fantastic Domestic Broker Support assignments available across Auckland! With both full-time and part time opportunities available, choose a role close to home and that fits in with you!§        §If you have:§        §          §Experience in a similar role, either in a broker support or underwriting support capacity§          §Experience with eGlobal would be ideal, although not essential§          §A flexible and willing attitude§          §Great attention to detail§        §        §You will be joining a great team in a role that will offer variety!§        §We also have great opportunities in:§        §          §Claims§          §Underwriting§          §Broker§          §Broker Support§          §Loss Adjusting§          §Customer Service§          §Administration / Data Processing§        §        §Great hourly rates on offer!§        §Apply now or call Rachel at Quinn for more information on §(09) 309 8821§. §      §      §      §    §  §§§ §Various Auckland locations§ §Part time and Full time§ §Immediate starts§ §We have a number of fantastic Domestic Broker Support assignments available across Auckland! With both full-time and part time opportunities available, choose a role close to home and that fits in with you!§ §If you have:§ § §Experience in a similar role, either in a broker support or underwriting support capacity§ §Experience with eGlobal would be ideal, although not essential§ §A flexible and willing attitude§ §Great attention to detail§ §You will be joining a great team in a role that will offer variety!§ §We also have great opportunities in:§ § §Claims§ §Underwriting§ §Broker§ §Broker Support§ §Loss Adjusting§ §Customer Service§ §Administration / Data Processing§ §Great hourly rates on offer!§ §Apply now or call Rachel at Quinn for more information on §(09) 309 8821§. §§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§§§"
50550353,https://www.seek.co.nz/job/50550353,"Claims Advisor Job in Auckland - SEEK","Zurich Financial Services Australia","11 Sept 2020","Full Time","Auckland, Auckland Central","Insurance & Superannuation",Claims,""," ","To be successful in this role you will have sound insurance knowledge and experience; knowledge relevant legislation and regulations governing General Insurance practices. Additionally, you will possess 2+ years","","TXT/50550353.txt	§Claims Advisor§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Claims Advisor§§Advertiser: §Zurich Financial Services Australia§§More jobs from this company§§§§Job Information§§Job Listing Date§§11 Sept 2020§§Location§§Auckland§, §Auckland Central§§Work Type§§Full Time§§Classification§§Insurance &amp; Superannuation§, §Claims§§§§§§§§§  §    §    §      §Claims Advisor §      §Claims Advisor – Financial Lines § §        §Are you an experienced Claims Advisor or Solicitor with a passion for delivering results? Do you thrive in an environment where your skills and expertise gains respect from your colleagues? If so, then this opportunity may be for you. § §        §The overall objective of the role is to ensure that claims are handled in the most efficient, effective way while delivering a customer-centric claims service. Reporting to the Financial Lines Claims Manager, the role will see you providing market leading, timely, effective and cost efficient management of a portfolio of Financial Lines Claims including claims relating to directors &amp; officers, crime, cyber, management liability, employment practices liability, and professional indemnity.§        §        §You will be required to manage claims, evaluate claims and defence costs reserves based on your analysis of liability and quantum. You will be working closely with underwriters, brokers and insured's to pursue the best possible resolution strategy. You would also be responsible for forging strong relationships with a number of stakeholders both within and outside of Zurich, therefore will possess superior communications skills, both written and verbal. §        §        §To be successful in this role you will have sound insurance knowledge and experience; knowledge relevant legislation and regulations governing General Insurance practices. Additionally, you will possess 2+ years legal experience, preferably in civil law litigation (particularly Directors &amp; Officers/PI) and/or 3+ years financial lines/specialty insurance experience such as directors &amp; officers, professional indemnity, employment practices, cyber, management liability, and crime insurance.§ §        §As a long-standing player in the insurance industry, we make every effort to address the career development needs and plans of our employees to ensure their success in the future.§ §        §So make a difference. Be challenged. Be inspired. Be supported. Love what you do. Work for us. Apply Today!§        § §      §      §        §        § Please click the 'Apply for this job' button below to submit your application§      §    §    §www.zurich.com.au§  §§§Claims Advisor – Financial Lines § §Are you an experienced Claims Advisor or Solicitor with a passion for delivering results? Do you thrive in an environment where your skills and expertise gains respect from your colleagues? If so, then this opportunity may be for you. § §The overall objective of the role is to ensure that claims are handled in the most efficient, effective way while delivering a customer-centric claims service. Reporting to the Financial Lines Claims Manager, the role will see you providing market leading, timely, effective and cost efficient management of a portfolio of Financial Lines Claims including claims relating to directors &amp; officers, crime, cyber, management liability, employment practices liability, and professional indemnity.§§You will be required to manage claims, evaluate claims and defence costs reserves based on your analysis of liability and quantum. You will be working closely with underwriters, brokers and insured's to pursue the best possible resolution strategy. You would also be responsible for forging strong relationships with a number of stakeholders both within and outside of Zurich, therefore will possess superior communications skills, both written and verbal. §§To be successful in this role you will have sound insurance knowledge and experience; knowledge relevant legislation and regulations governing General Insurance practices. Additionally, you will possess 2+ years legal experience, preferably in civil law litigation (particularly Directors &amp; Officers/PI) and/or 3+ years financial lines/specialty insurance experience such as directors &amp; officers, professional indemnity, employment practices, cyber, management liability, and crime insurance.§ §As a long-standing player in the insurance industry, we make every effort to address the career development needs and plans of our employees to ensure their success in the future.§ §So make a difference. Be challenged. Be inspired. Be supported. Love what you do. Work for us. Apply Today!§ § §§§§"
50557297,https://www.seek.co.nz/job/50557297,"Senior Marine Underwriter Job in Auckland - SEEK",Ando,"13 Sept 2020","Full Time","Auckland, Auckland Central","Insurance & Superannuation",Underwriting,"","  ","How many years","Which of the following statements best describes your right to work in New Zealand?","TXT/50557297.txt	§Senior Marine Underwriter§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Senior Marine Underwriter§§Advertiser: §Ando§§More jobs from this company§§§§Job Information§§Job Listing Date§§13 Sept 2020§§Location§§Auckland§, §Auckland Central§§Work Type§§Full Time§§Classification§§Insurance &amp; Superannuation§, §Underwriting§§§§§§§§§  §    §    §      §Senior Marine Underwriter §      §        §Get on board with ANDO Marine, we are making waves in the New Zealand market. §        §We’re looking for a highly motivated technical Senior Marine Underwriter to join our hard-working and fast-growing team. §        §You’ll have at least 5 years’ experience within the Marine commercial underwriting market, with a strong understanding of market conditions and emerging global trends. In conjunction with the Head of Marine you will work to achieve portfolio goals, and support and share industry knowledge and experience with the Marine and wider Ando team. §        §Helping our business grow and succeed, you will: §        §          §            §Manage the Underwriting and acceptance of New Business and Renewals. §          §        §        §          §            §Act as a referral point for risks from the Commercial Market Business Development Managers. §          §          §            §Provide Technical coaching and support. §          §          §            §Facilitate profitable growth of the Ando Marine portfolio via our Broking partners working together with members of the Specialty Trading Team. §          §        §        §Our customers are at the heart of everything we do at Ando. You’ll need a commitment to providing the highest level of customer satisfaction and a desire to make the complex world of Marine insurance seem simple. This role will give a great communicator with a sharp mind and strong technical knowledge the opportunity to provide first-class service and consistently add value to the business. §        §The environment at Ando is fast paced and ever changing, and great opportunities lie ahead for the right candidate. Are you up for the challenge? §        §To apply, submit your cover letter and CV via the Seek link. §      §      §      §    §    §  §§§Get on board with ANDO Marine, we are making waves in the New Zealand market. §  §We’re looking for a highly motivated technical Senior Marine Underwriter to join our hard-working and fast-growing team. §  §You’ll have at least 5 years’ experience within the Marine commercial underwriting market, with a strong understanding of market conditions and emerging global trends. In conjunction with the Head of Marine you will work to achieve portfolio goals, and support and share industry knowledge and experience with the Marine and wider Ando team. §  §Helping our business grow and succeed, you will: § § § §Manage the Underwriting and acceptance of New Business and Renewals. §  § § §Act as a referral point for risks from the Commercial Market Business Development Managers. §  § § §Provide Technical coaching and support. §  § § §Facilitate profitable growth of the Ando Marine portfolio via our Broking partners working together with members of the Specialty Trading Team. §  § §Our customers are at the heart of everything we do at Ando. You’ll need a commitment to providing the highest level of customer satisfaction and a desire to make the complex world of Marine insurance seem simple. This role will give a great communicator with a sharp mind and strong technical knowledge the opportunity to provide first-class service and consistently add value to the business. §  §The environment at Ando is fast paced and ever changing, and great opportunities lie ahead for the right candidate. Are you up for the challenge? §  §To apply, submit your cover letter and CV via the Seek link. §§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§How many years&#x27; experience do you have as an underwriter?§What&#x27;s your expected annual base salary?§§§"
50562019,https://www.seek.co.nz/job/50562019,"Underwriting Consultant Job in Auckland - SEEK","Hays Talent Solutions","14 Sept 2020","Full Time","Auckland, Auckland Central","Insurance & Superannuation",Underwriting,""," ",""," right to live and work ","TXT/50562019.txt	§Underwriting Consultant§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Underwriting Consultant§§Advertiser: §Hays Talent Solutions§§More jobs from this company§§§§Job Information§§Job Listing Date§§14 Sept 2020§§Location§§Auckland§, §Auckland Central§§Work Type§§Full Time§§Classification§§Insurance &amp; Superannuation§, §Underwriting§§§§§§§§§  §    §    §      §Underwriting Consultant §      §        §If you’re looking for a chance to grow your career in the financial services world with an organisation that is committed to recruiting and fostering talented people, then Suncorp New Zealand could be the place for you.§        §Your new role§        §We have several vacancies for experienced Insurance professionals to join our vibrant consumer insurance team and work with a team of motivated people to deliver excellent service and great outcomes. You will be expected to:§        §          §Provide a customer focused and profitable underwriting solution for existing and new business§          §Process quotes, new business, renewals, endorsements and cancellations to ensure the maintenance of profitable business and appropriate risk coverage for our customers§          §Handle queries from existing customers and partners regarding their Insurance policies§          §Provide excellent customer service by identifying and resolving any quoting, processing or underwriting issues§          §Being a supportive, collaborative and actively involved team player§          §Looking to contribute ideas and initiatives to continually improve our customer experience§        §        §To shine in this role, you will have:§        §          §Experience within the financial services industry – including underwriting and or credit assessment experience – mandatory§          §Ability to assess risk and make informed underwriting decisions§          §An engaging personality with a passion for interacting and learning about people§          §A drive to deliver an exceptional customer experience in every interaction§          §The self-motivation to achieve goals and objectives.§          §Effective communication, questioning and listening skills§          §A great work ethic with a positive attitude and outlook§        §        §What you’ll get in return§        §This is a fantastic opportunity to make a difference and grow in one of the most successful insurers in Australasia with over 9 million customers. We offer the freedom to work in a flexible environment, respect and encourage diversity and as an international company we offer opportunities for training and career advancement.§        §For a full range of our benefits please visit §https://www.suncorp.co.nz/careers.html§        §About Suncorp§        §Suncorp Group is home to some of Australia and New Zealand’s biggest and most trusted names in insurance, banking and superannuation including market leading brands §Vero§ and §Asteron Life§.§        §If this role sounds like the challenge you have been looking for please express your interest by applying today.§      §      §      §    §    §  §§§If you’re looking for a chance to grow your career in the financial services world with an organisation that is committed to recruiting and fostering talented people, then Suncorp New Zealand could be the place for you.§Your new role§We have several vacancies for experienced Insurance professionals to join our vibrant consumer insurance team and work with a team of motivated people to deliver excellent service and great outcomes. You will be expected to:§§Provide a customer focused and profitable underwriting solution for existing and new business§Process quotes, new business, renewals, endorsements and cancellations to ensure the maintenance of profitable business and appropriate risk coverage for our customers§Handle queries from existing customers and partners regarding their Insurance policies§Provide excellent customer service by identifying and resolving any quoting, processing or underwriting issues§Being a supportive, collaborative and actively involved team player§Looking to contribute ideas and initiatives to continually improve our customer experience§§To shine in this role, you will have:§§Experience within the financial services industry – including underwriting and or credit assessment experience – mandatory§Ability to assess risk and make informed underwriting decisions§An engaging personality with a passion for interacting and learning about people§A drive to deliver an exceptional customer experience in every interaction§The self-motivation to achieve goals and objectives.§Effective communication, questioning and listening skills§A great work ethic with a positive attitude and outlook§§What you’ll get in return§This is a fantastic opportunity to make a difference and grow in one of the most successful insurers in Australasia with over 9 million customers. We offer the freedom to work in a flexible environment, respect and encourage diversity and as an international company we offer opportunities for training and career advancement.§For a full range of our benefits please visit §https://www.suncorp.co.nz/careers.html§§About Suncorp§Suncorp Group is home to some of Australia and New Zealand’s biggest and most trusted names in insurance, banking and superannuation including market leading brands §Vero§ and §Asteron Life§.§If this role sounds like the challenge you have been looking for please express your interest by applying today.§§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50563427,https://www.seek.co.nz/job/50563427,"Junior Broker, SME Team - 12 Month fixed term Job in Wellington - SEEK","Aon New Zealand","14 Sept 2020","Full Time","Wellington, Wellington Central","Insurance & Superannuation",Brokerage,"","     12   ","Ideally you will have had a few years","","TXT/50563427.txt	§Junior Broker, SME Team - 12 Month fixed term§§More jobs from this company§§§§§§§§§§§Job Description§§Job Header§§Junior Broker, SME Team - 12 Month fixed term§§Advertiser: §Aon New Zealand§§More jobs from this company§§§§Job Information§§Job Listing Date§§14 Sept 2020§§Location§§Wellington§, §Wellington Central§§Work Type§§Full Time§§Classification§§Insurance &amp; Superannuation§, §Brokerage§§§§§§Responsibilities§ § § §The Opportunity § § § §Our Wellington SME Team is looking for a Junior Broker to join their dynamic team on a fixed term basis.  § § § §We are looking for a proactive individual who will take ownership of a SME book of business. With your ability to multi-task in a fast-paced environment you will also administer documentation between clients and insurers and prepare premium calculations. § § § §Ideally you will have had a few years’ experience in a similar role or industry where you have demonstrated the ability to perform under pressure and provide exceptional client service.  § § § § § §Furthermore, you will:  § §Provide professional, accurate and efficient response to client needs through liaison with clients and underwriters § §Provide professional, accurate documentation to both clients and insurers § §Maintain up-to-date client files § §From time to time may be required to perform other duties within the normal business activities of the company § § § §  § §About §Y§ou§ § §  § §To hit the ground running in this role you will need to come from a similar role where you have managed a book of business, and ideally have experience within the Insurance knowledge. There is lots of autonomy in this position, so you will be a proactive person who uses their initiative to always be one step ahead.  § §  § §Ideally you will have the following skillset: § §Prior insurance / broking experience within a similar role or area of insurance that provides a basic understanding of our industry § §Experience building and maintaining relationships with clients  § §Confidence being a point of contact when needed § §Strong written and verbal communication skills § §Hard working, a team player and have the ability to juggle multiple tasks.  § § §Aon Culture &amp; Benefits§ § § § § §At Aon, we provide colleagues with the support to make a positive impact together with ongoing opportunities for development, including the support of a team which will continually inspire you to achieve the best.  § §  § §We currently have approximately 850 employees in New Zealand. Globally, we have an employee base of 50,000 people, working across 120 countries. This allows us to build the best teams and gather the best thinking from around the world to deliver quality solutions and service locally. § §  § §To be eligible to apply you must have NZ working rights and be currently residing in New Zealand. § §  § §Aon is an equal opportunity employer and we invite you to be part of an organisation that has a diverse workplace, values continuous learning and supports many charities and environmental initiatives.§ § § §§§§"
50567449,https://www.seek.co.nz/job/50567449,"Broker Job in Auckland - SEEK","Quinn Staff Recruiters","15 Sept 2020","Full Time","Auckland, Auckland Central","Insurance & Superannuation",Brokerage,"","","","Which of the following statements best describes your right to work in New Zealand?","TXT/50567449.txt	§Broker§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Broker§§Advertiser: §Quinn Staff Recruiters§§More jobs from this company§§§§Job Information§§Job Listing Date§§15 Sept 2020§§Location§§Auckland§, §Auckland Central§§Work Type§§Full Time§§Classification§§Insurance &amp; Superannuation§, §Brokerage§§§§§§§§§  §    §    §      §Broker §      §        § §        §          §Your insurance skills are in demand§          §NZ owned Broker going from strength to strength§          §Be valued and part of a company that cares about the community, customers and you§        §        §Be mentored by the best in the business.§        §Investing in their staff is what this Brokerage does well.§        §Enjoy a great team culture with minimal staff turnover.§        §Your role:§        §You will be responsible for maintaining and developing relationships with domestic clients, managing the renewals process and quoting on new business. §        §This is your opportunity to make an real impact on a loyal client base and build your career within Broking! §        §What's in it for you? §        §Not only will you be joining an NZ owned Broker with a great rep in the market, you will also receive an attractive salary package + insurance benefits, as well as on-going development opportunities. §        §Whatever your insurance background we want to talk to you now. §        §Talk to Rebecca or Robbie - The Insurance Specialists - we find great insurance people great jobs. Apply now or call §(09) 309 8821§. §      §      §      §    §  §§§ § §Your insurance skills are in demand§ §NZ owned Broker going from strength to strength§ §Be valued and part of a company that cares about the community, customers and you§ §Be mentored by the best in the business.§  §Investing in their staff is what this Brokerage does well.§  §Enjoy a great team culture with minimal staff turnover.§  §Your role:§  §You will be responsible for maintaining and developing relationships with domestic clients, managing the renewals process and quoting on new business. §  §This is your opportunity to make an real impact on a loyal client base and build your career within Broking! §  §What's in it for you? §  §Not only will you be joining an NZ owned Broker with a great rep in the market, you will also receive an attractive salary package + insurance benefits, as well as on-going development opportunities. §  §Whatever your insurance background we want to talk to you now. §  §Talk to Rebecca or Robbie - The Insurance Specialists - we find great insurance people great jobs. Apply now or call §(09) 309 8821§. §§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§§§"
50572387,https://www.seek.co.nz/job/50572387,"Broker Support / Account Executive Job in Bay of Plenty - SEEK","O&#x27;Connor Warren Insurance Brokers","15 Sept 2020","Full Time","Bay of Plenty, Tauranga","Insurance & Superannuation",Brokerage,"","    ","How many years"," right to live and work ","TXT/50572387.txt	§Broker Support / Account Executive§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Broker Support / Account Executive§§Advertiser: §O&#x27;Connor Warren Insurance Brokers§§More jobs from this company§§§§Job Information§§Job Listing Date§§15 Sept 2020§§Location§§Bay of Plenty§, §Tauranga§§Work Type§§Full Time§§Classification§§Insurance &amp; Superannuation§, §Brokerage§§§§§§About the business§ § §O'Connor Warren Insurance Brokers is a family owned Tauranga based business. We provide fire &amp; general insurance broking services to a client base spread across the country. Put simply, we are nationally focussed, specialist insurance brokers with a passion for client service and satisfaction. Our experience and expertise in the industry segments in which we choose to do business are unrivalled.§ §We won the 2018 Small to Medium Broking Company of the Year and were runners up in the Young Insurance Profesionals Employer of the Year.§ § §About the role§ § §The role will involve working closely with the Director to service our most important clients and has a high degree of autonomy. The role is varied with opportunities to develop a wide skillset and build relationships with clients and within the sector. § §The successful candidate will become a registered financial advisor if they are not already Level 5 qualified under the new FMA scheme. Ongoing training opportunities are also provided by way of webinars and other industry specific training. For the right individual there is a genuine opportunity to progress in the company quickly.§ § §Benefits and perks§ § §We are a small and dynamic team, with a 'work hard, play hard' culture.  We encourage and support our team to have a healthy balanced lifestyle and offer a number of benefits to support this.   § §We work closely as a team.  The opportunity to learn and develop in this role is exponential.§ §We are based in the Tauranga CBD with great access to public transport.§ § §Skills and experience§ § §Whilst we would prefer you to have insurance experience, this may not be necessary dependent on your ability to learn on the job and any transferrable skills. § §It is very important that you demonstrate a strong work ethic, are passionate about your work, are motivated and have excellent relationship/communication skills including a great sense of humour!§ §Key attributes that we are looking for:§• Excellent communication skills – both written &amp; verbal§• Relationship building and communication skills – strong ability to connect with people§• To be nimble and be able to think on their feet§• An eye for detail§• Ability to work under pressure§• Excellent computer skills§• A 'work hard – play hard' attitude§• The applicant must have obtained a minimum of NCEA Level 2  an excellent high school attendance record§ § § §Please apply with your CV and Cover Letter. § §§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§How many years&#x27; experience do you have in the insurance industry?§Have you worked in a role which requires a sound understanding of claims management processes?§Do you have customer service experience?§What&#x27;s your highest level of education?§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
