jobId,jobUrl,jobTitle,advertiser,listingDate,workType,location,classification,subClassification,email,phone,experience,xenophobe,jobText
50382754,https://www.seek.co.nz/job/50382754,"Marketing Automation Specialist Job in Auckland - SEEK","Synergy Consulting Group 2008 Ltd","9 Sept 2020","Part Time",Auckland,"Marketing & Communications","Digital & Search Marketing",wendy@synergyconsult.co.nz,"  ","","Note to overseas enquiries and non-NZ residents:  we welcome international enquiries, however only applicants that are legally entitled to work in NZ and can make themselves available for interviews in NZ will be considered for this position.","TXT/50382754.txt	§Marketing Automation Specialist§§More jobs from this company§§§§§§§§§§§Job Description§§Job Header§§Marketing Automation Specialist§§Advertiser: §Synergy Consulting Group 2008 Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Auckland§§Work Type§§Part Time§§Classification§§Marketing &amp; Communications§, §Digital &amp; Search Marketing§§§§§§You may be based in Wellington or Auckland and our client is renowned for their continuing advancements in pharmaceuticals, with products that have changed the world.  This new position is initially offered as a 12 month contract for 3 days per week.§  §Your responsibility is to develop a strategy to deliver data driven creativity for our client. This will be achieved by using your skills in data analysis, direct marketing, customer journey mapping, marketing automation, customer acquisition and retention, web analytics, campaign management and working autonomously as well as part of the wider cross functional team.§You'll help drive the roadmap and be responsible for campaign implementation, working hands on with the Salesforce Marketing Cloud.§  §Responsibilities§ § §Gain a strong knowledge and become champion of the clients marketing automation and web platforms SFMC &amp; AEM§ §Build and manage customer journeys in SFMC§ §Proactively monitor digital campaigns and identify maintenance/quality improvements§ §Monitor and report on Google Analytics metrics§ §QA solutions in testing environments to ensure quality and customer experience is high.§ §What does the Ideal Candidate look like?§ § §Experience with the Salesforce Marketing Cloud platform including the journey and audience builder§ §Experience with HTML, CSS and building EDM § §Knowledge and understanding of Javascript/jQuery§ § CMS experience across AEM and Wordpress essential§ § Understanding of SEO and Google Analytics§ §Experience in designing across multiple digital channels including websites, eDMs, and social media.§ §Note to overseas enquiries and non-NZ residents:  we welcome international enquiries, however only applicants that are legally entitled to work in NZ and can make themselves available for interviews in NZ will be considered for this position.§  §Please forward your resume to Wendy Chrisp  §wendy@synergyconsult.co.nz§ or phone §09 3604802§ for a confidential discussion.§  §REF: 4522§  § §  §Synergy Consulting Group is the trusted recruitment and career advisor in the medical and pharmaceutical sectors in New Zealand. We are actively recruiting Sales Representatives, Product Specialists, Sales Management, Clinical Support and customer services roles§§§§"
50400602,https://www.seek.co.nz/job/50400602,"Digital Marketing Account Manager & Strategist Job in Auckland - SEEK","Flow Marketing","10 Sept 2020","Part Time","Auckland, Rodney & North Shore","Marketing & Communications","Digital & Search Marketing","","     ","","Which of the following statements best describes your right to work in New Zealand?","TXT/50400602.txt	§Digital Marketing Account Manager &amp; Strategist§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Digital Marketing Account Manager &amp; Strategist§§Advertiser: §Flow Marketing§§More jobs from this company§§§§Job Information§§Job Listing Date§§10 Sept 2020§§Location§§Auckland§, §Rodney &amp; North Shore§§Work Type§§Part Time§§Classification§§Marketing &amp; Communications§, §Digital &amp; Search Marketing§§§§§§Flow is an inbound marketing agency based in Takapuna. We create and implement end-to-end digital strategies for high-LTV clients.§  §Within Flow's work environment, each team member is doing only what they really enjoy or are great at. §  §This role exists to further increase our capacity to create and implement digital strategies for our clients. Some of these are done as a one-off project (following our existing templates and processes), but most are part of an ongoing retainer approach.§  §Our ideal candidate will have an understanding of digital marketing holistically (primarily paid social/SEO/SEM/organic social) alongside great interpersonal skills and general marketing/business acumen in order to make valid marketing suggestions to our clients.§  §You'll have full access to our specialists within FB ads/SEO/SEM/content creation/web dev/CRO etc to forge end-to-end campaigns and deliver strong results.§  §Partial remote work can be considered.§  §Ideally, we're looking for someone part-time between 20-30 hours per week depending on your availability - however we are open to considering full time candidates.§  §Our agency exists to do great work that helps businesses succeed.§  §---§  §Your main skills/responsibilities will be:§  §- To create and manage digital strategies for clients. We have an existing process for this, but ideally, you will already have some experience in marketing strategy or digital marketing, and can perpetually improve what we currently have. You'll have access to any relevant team members to assist you with achieving best results.§  §- Reporting and insights, as and when required.§  §- Managing &amp; reporting for ongoing digital strategies for some clients, and larger project-based strategies for others.§  §- Offering regular additional marketing insights that you uncover throughout working on each client's account.§  §- Digital marketing audits, when required.§  §- Attending occasional sales meetings.§  §- For the right candidate, we'd consider upskilling in all areas.§  § §  §Candidates with knowledge in implementing Facebook ads or content writing will be ideal.§  § §  §We look forward to meeting you. §  §www.flow.co.nz§  §instagram.com/flowmarketingnz§§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Have you worked in a role where you were responsible for budget management &amp; forecasting?§Do you have experience in a role which requires relationship management experience?§Which of the following online advertising methods do you have experience with?§How much notice are you required to give your current employer?§§§"
50474934,https://www.seek.co.nz/job/50474934,"Digital Performance Specialist Job in Auckland - SEEK","Brand Developers Ltd","11 Sept 2020","Full Time","Auckland, Rodney & North Shore","Marketing & Communications","Digital & Search Marketing","","  ","How many years","Which of the following statements best describes your right to work in New Zealand?","TXT/50474934.txt	§Digital Performance Specialist§§More jobs from this company§§§§§§§§§§§Job Description§§Job Header§§Digital Performance Specialist§§Advertiser: §Brand Developers Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§11 Sept 2020§§Location§§Auckland§, §Rodney &amp; North Shore§§Work Type§§Full Time§§Classification§§Marketing &amp; Communications§, §Digital &amp; Search Marketing§§§§§§Are you a technically and analytically minded digital marketer? Do you have a proven track record growing ROI’s and managing large media spend?  We have an opportunity for you to optimise and analyse our digital marketing channels and help drive sales.§ §Brand Developers trading as Thin Lizzy and TV Shop, is Australasia's leading Direct Response company selling high demand and well-known products through multi-channel distribution.§ §We are an extremely entrepreneurial business and have ever-growing e-commerce and digital sales channels for which we need sales focused staff who pay attention to detail, and who can help test and drive our revenue and profits.§ §We are a sales machine that is continually improving how we sell to our customers and understand that you need to advertise to do this but must also be able to measure everything we do.§ §You would be working in a fast-paced environment that is consistently testing, and trying new ideas with a skilled, friendly, upbeat team who work hard, produce exceptionally good work and focus on improving sales!§ §Skills &amp; Experience§ § §4 -5 years’ experience in digital marketing§ §Google Ads – comprehensive knowledge of Google ads network, campaigns, optimisation, and delivery§ §Experience in end to end implementation of digital marketing campaigns§ §Performance Optimisation - continual attention to optimising ROAS &amp; KPIs§ §Facebook – good understanding of Ads Manager and associated tools, pixels, audiences§ §Funnel - ability to visualise &amp; create conversion funnels from lead gen through to final sales§ §The ability to easily adapt from one task to another in a short period of time§ §History of taking ownership of role and initiating weekly improvement§ §Excellent written and verbal communication skills.§ §The Role &amp; You§ § §A high level of organisational skill, manage multiple campaigns across multiple platforms§ §A/B testing across digital channels to continuously drive lead generation efforts§ §Focus on ROAS and profitability across all aspects of digital media and ability to test new media quickly§ §Accurately monitoring - giving realtime feedback§ §Working with the marketing team to execute a world class marketing calendar and plan§ §Help to plan and define the scope of new projects§ §Onsite content and asset management§ §Being easy and enjoyable to work with§ §Having excellent attention to detail§ §Continually looking to innovate, and learn new technologies§ §If this sounds like the next challenge you are up for §please apply through BambooHR §https://branddevelopers.bamboohr.com/jobs/view.php?id=743 §attaching your CV and covering letter.  We look forward to hearing from you.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§How many years&#x27; experience do you have in digital marketing?§§§"
50475010,https://www.seek.co.nz/job/50475010,"Digital Marketing Lead Job in Auckland - SEEK","Brand Developers Ltd","11 Sept 2020","Full Time","Auckland, Rodney & North Shore","Marketing & Communications","Digital & Search Marketing","","  ","How many years","Which of the following statements best describes your right to work in New Zealand?","TXT/50475010.txt	§Digital Marketing Lead§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Digital Marketing Lead§§Advertiser: §Brand Developers Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§11 Sept 2020§§Location§§Auckland§, §Rodney &amp; North Shore§§Work Type§§Full Time§§Classification§§Marketing &amp; Communications§, §Digital &amp; Search Marketing§§§§§§§§§  §    §      §        §Digital Marketing Lead §        §          §If you have a passion for cosmetics and digital marketing, with a sales mentality this is an opportunity for you!§          §Brand Developers trading as Thin Lizzy and TV Shop, is Australasia's leading Direct Response company selling high demand and well-known products being sold through multi-channel distribution.§          §We are an extremely entrepreneurial business that has ever-growing e-commerce and digital sales channels for which we need sales focused staff who pay attention to detail and who can help test and drive our revenue and profits.§          §This role has been established as Digital Marketing Lead for New Zealand’s leading Cosmetic and Beauty Brand, Thin Lizzy.§          §You will own the eCommerce responsibilities focused on our Shopify Platforms, and related Tech Stacks for Thin Lizzy in New Zealand, Australia, and International.  You will be responsible for the overall day-to-day management and development of our Thin Lizzy websites.  §          §Skills &amp; Experience§          §            §4 -5 years’ experience in digital marketing§            §History of taking ownership of role and initiating weekly improvement§            §Experience in end to end implementation of digital marketing campaigns§            §Google Ads – comprehensive knowledge of Google ads network, campaigns, optimisation, and delivery§            §Performance Optimisation - continued attention to optimising ROAS &amp; KPIs§            §Facebook – good understanding of Ads Manager and associated tools, pixels, audiences§            §Experience with website builds§            §Funnel - ability to visualise &amp; create conversion funnels from lead gen through to final sales§            §Excellent written and verbal communication skills.§          §          §The Role &amp; You§          §            §A high level of organisational skill, manage multiple campaigns across multiple platforms§            §Continually looking to innovate, and learn new technologies§            §A/B testing across digital channels to continuously drive lead generation efforts§            §Focus on ROAS and profitability across all aspects of digital media and ability to test new media quickly§            §Accurately monitoring giving realtime feedback§            §The ability to easily adapt from one task to another in a short period of time.§            §Organised, forward thinking, and able to proactively define the scope of new projects§            §Onsite content and asset management§            §Teamwork - Build strong relationships with partners &amp; internal teams at all levels§            §Detail oriented - focus on attention to detail and quality assurance§            §Being easy and enjoyable to work with§          §          §If this sounds like the next challenge you are up for §please apply through BambooHR §https://branddevelopers.bamboohr.com/jobs/view.php?id=744§ §attaching your CV and covering letter.  We look forward to hearing from you.§        §        §        §      §      §    §  §§§If you have a passion for cosmetics and digital marketing, with a sales mentality this is an opportunity for you!§ §Brand Developers trading as Thin Lizzy and TV Shop, is Australasia's leading Direct Response company selling high demand and well-known products being sold through multi-channel distribution.§ §We are an extremely entrepreneurial business that has ever-growing e-commerce and digital sales channels for which we need sales focused staff who pay attention to detail and who can help test and drive our revenue and profits.§ §This role has been established as Digital Marketing Lead for New Zealand’s leading Cosmetic and Beauty Brand, Thin Lizzy.§ §You will own the eCommerce responsibilities focused on our Shopify Platforms, and related Tech Stacks for Thin Lizzy in New Zealand, Australia, and International.  You will be responsible for the overall day-to-day management and development of our Thin Lizzy websites.  § §Skills &amp; Experience§ § §4 -5 years’ experience in digital marketing§ §History of taking ownership of role and initiating weekly improvement§ §Experience in end to end implementation of digital marketing campaigns§ §Google Ads – comprehensive knowledge of Google ads network, campaigns, optimisation, and delivery§ §Performance Optimisation - continued attention to optimising ROAS &amp; KPIs§ §Facebook – good understanding of Ads Manager and associated tools, pixels, audiences§ §Experience with website builds§ §Funnel - ability to visualise &amp; create conversion funnels from lead gen through to final sales§ §Excellent written and verbal communication skills.§ §The Role &amp; You§ § §A high level of organisational skill, manage multiple campaigns across multiple platforms§ §Continually looking to innovate, and learn new technologies§ §A/B testing across digital channels to continuously drive lead generation efforts§ §Focus on ROAS and profitability across all aspects of digital media and ability to test new media quickly§ §Accurately monitoring giving realtime feedback§ §The ability to easily adapt from one task to another in a short period of time.§ §Organised, forward thinking, and able to proactively define the scope of new projects§ §Onsite content and asset management§ §Teamwork - Build strong relationships with partners &amp; internal teams at all levels§ §Detail oriented - focus on attention to detail and quality assurance§ §Being easy and enjoyable to work with§ §If this sounds like the next challenge you are up for §please apply through BambooHR §https://branddevelopers.bamboohr.com/jobs/view.php?id=744§ §attaching your CV and covering letter.  We look forward to hearing from you.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§How many years&#x27; experience do you have in digital marketing?§Do you have experience with multi-variate and A/B testing methodologies?§§§"
50500159,https://www.seek.co.nz/job/50500159,"Ad Monetization Manager Job in Auckland - SEEK","MyTona Ltd","2 Oct 2020","Full Time","Auckland, Rodney & North Shore","Marketing & Communications","Digital & Search Marketing","","  ","","","TXT/50500159.txt	§Ad Monetization Manager§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Ad Monetization Manager§§Advertiser: §MyTona Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§2 Oct 2020§§Location§§Auckland§, §Rodney &amp; North Shore§§Work Type§§Full Time§§Classification§§Marketing &amp; Communications§, §Digital &amp; Search Marketing§§§§§§MYTONA§ is a free-to-play mobile game developer and publisher. The company is made up of an awesome and friendly team of more than 1000 professionals.§ §Mytonians based in Singapore, Russia, and now in Auckland, New Zealand and we successfully compete with global free-to-play mobile game developers. § §Our team released 6 games: Seekers Notes, Cooking Diary, Ravenhill, Riddleside, Manastorm, and our brand new game Crooked Pines. Our most successful game Seekers Notes reached the Top-3 Grossing Mobile Games iPad USA. We are not standing still and our new projects ready to compete for a place in the Top 10.§ §Recently §MYTONA §has opened an office in §New Zealand. §We offer interesting tasks, a friendly team, a great opportunity to participate in the life of our company. § §What will you do?§ § §Monitoring and analyzing monetization KPIs (ARPU, Revenue, Conversion, Paying Share, LTV)§ §Ad waterfalls optimization§ §Communicating with ad networks§ §Adjusting ad monetization§ §Development of ideas and specs on unique offers (writing technical specification documents)§ §Creative control at all levels (text, art, conditions)§ §Launching and analyzing offers§ §Prompt reaction to changes in monetization KPIs§ §Liaising with game designers and the team on ad placement (user segment, display frequency, reward balance)§ §Liaising with QA engineers and programmers to implement and solve problems with offers, ad monetization§ §Who are we looking for?§ § §A bachelor’s degree§ §Experience of working in the game industry is welcome§ §Experience in ad monetization§ §SQL proficiency§ §Tableau experience§ §Ability to work with large amounts of data§ §Detail-oriented with an ability to work independently and manage multiple projects§ §We offer you:§ § §Be the part of professionals' team and affect on company's growth§ §Professional and career development§ §A modern office with an excellent work environment;§ §Office with ocean view§ §Interesting tasks§ §Decent salary§ §Events and major conferences§ §Benefits:§ § §Breakfast, tea, coffee, and snacks§ §Parking space near the office§ §Sports fees coverage§ §Health insurance§ §Desk chair coverage for the home. NEW!§ §Home exercise equipment. NEW!§  § §For more information you can check us out on: § §https://mytona.com/§ §Also, we invite you to visit our social media accounts:§ §https://www.facebook.com/mytona.official/§ §https://www.instagram.com/mytona/ § §https://twitter.com/mytona_official?lang=en §§§§"
50519482,https://www.seek.co.nz/job/50519482,"Mystery Shopper Job in Auckland - SEEK","Prime Mystery Shopping","4 Oct 2020",Casual/Vacation,"Auckland, Auckland Central","Marketing & Communications","Market Research & Analysis",admin@primemysteryshopping.com.au," ",""," right to live and work ","TXT/50519482.txt	§Mystery Shopper§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Mystery Shopper§§Advertiser: §Prime Mystery Shopping§§More jobs from this company§§§§Job Information§§Job Listing Date§§4 Oct 2020§§Location§§Auckland§, §Auckland Central§§Work Type§§Casual/Vacation§§Classification§§Marketing &amp; Communications§, §Market Research &amp; Analysis§§§§§§Automotive Car Mystery Shoppers Required:§  §- TXT available now§  §- No experience required§  §- Interesting work reviewing customer service skills and prices§  §- Prestige Automotive dealerships§  §- Review brief, visit dealership, make an enquiry, get a quote, test drive not required§  §- Well above industry rates from $105 per assignment§  §- Need to be confident, well presented and have good communications skills§  §- Flexible hours, interest in high-end sports cars preferred§  §- Must have a full drivers licence§  §Prime Automotive conducts automotive mystery shops in Australia and New Zealand§  §Register as a mystery shopper on www.primemysteryshopping.com.au or contact us on §admin@primemysteryshopping.com.au§.§§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50532399,https://www.seek.co.nz/job/50532399,"Intermediate Level Marketing Coordinator Job in Bay of Plenty - SEEK","Pablo Creative","8 Sept 2020","Part Time","Bay of Plenty, Tauranga","Marketing & Communications","Marketing Assistants/Coordinators","","   ","How many years","Which of the following statements best describes your right to work in New Zealand?","TXT/50532399.txt	§Intermediate Level Marketing Coordinator§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Intermediate Level Marketing Coordinator§§Advertiser: §Pablo Creative§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Sept 2020§§Location§§Bay of Plenty§, §Tauranga§§Work Type§§Part Time§§Classification§§Marketing &amp; Communications§, §Marketing Assistants/Coordinators§§§§§§If you are a skilled and enthusiastic Marketing Coordinator looking to work with an equally amazing creative team in the Bay then keep reading! §  §A little about us:§  §Pablo is a humble design agency with a well established client base throughout the North Island, we are based in Central Tauranga and after more than 6 years of rapid growth we are seeking another designer to join our creative team.§  §Benefits:§ § §Opportunity to work flexible hours, 3 - 4 days a week with the chance of the hours growing.§ §A knowledgeable, high achieving, experienced and fun team.§ §Amazing opportunity for career progression.§ §A chance to be apart of a rapidly growing design agency.§ §Work/Life/Creative balance.§ §You will have: § § §At least 3 years industry experience.§ §Exceptional knowledge in digital marketing.§ §Skilled in Word Press (CMS).§ §Understanding of Facebook Ads Manager. You will have a sound knowledge and experience of various digital marketing channels and can implement strategies to grow our client's revenue.§ §We are looking for somebody who wants to solve problems, learn, try new things and grow with us.§ §An understanding of Hubspot will give you extra brownie points.§ §Ability to use Adobe Suite would be a bonus.§ §The Hiring process:§ § §You read this ad.§ §It resonates with you.§ §You tell us you're interested (send us your epic one of a kind C.V to our email)§ §We like you, you come meet the team and feel your vibe against ours.§ §You tell everyone how amazing your life has become.§ §Word of advice:§  §Don't hesitate in applying, worse case scenario you meet us decide we make bad cups of tea and you're better off not working for us. §§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§How many years&#x27; experience do you have in a marketing role?§Which of the following Adobe products are you experienced with?§Which of the following content management systems (CMS) do you have experience with?§How many years of project management experience do you have?§§§"
50533875,https://www.seek.co.nz/job/50533875,"Digital Marketing Assistant Job in Auckland - SEEK","Succeed Online","9 Sept 2020","Part Time","Auckland, Manukau & East Auckland","Marketing & Communications","Digital & Search Marketing","","  ","How many years","Which of the following statements best describes your right to work in New Zealand?","TXT/50533875.txt	§Digital Marketing Assistant§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Digital Marketing Assistant§§Advertiser: §Succeed Online§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Auckland§, §Manukau &amp; East Auckland§§Work Type§§Part Time§§Classification§§Marketing &amp; Communications§, §Digital &amp; Search Marketing§§§§§§Succeed Online – Crafted Digital Marketing§Exciting new role§Part-time flexible hours (to expand to full-time)§Based in East Auckland§---§We are looking for a Marketing Assistant to join the team. The role will initially be part-time but are hoping to expand to full time in the near future. § §Our Core values§Create real value for our people and care about their businesses§Search for simple on the other side of complexity§Continual development – never stop learning§ §To be successful in this role you will be:§Creative§Super organised§Enjoy researching and proactively study online marketing strategies§Display a great, positive attitude, and be open to feedback and suggestions.§ §Here’s what you need (and some bonus skills):§As we’re looking for an ideal fit, our new Marketing Assistant will have:§At least 1-2 years of experience in digital marketing (SEO, SEM, Social, Website optimisation).§Excellent organisational skills and ability to prioritise workload.§A good understanding of Google Analytics to make data-driven suggestions to increase sales and suggest budget modifications etc.§It is a bonus to have the following (but is not necessary):§Capable with adobe suite and graphic design§Knowledge of HTML, CSS and Javascript§Degree in marketing or graphic design§Experience in Social Media§§ §Here’s what the successful candidate for this position will focus on:§Create, set up and manage digital strategies for clients (primarily Google Ads and SEO).§Report on digital marketing, complete audits and provide insights§Write awesome copy for various channels§Support Director with various ad hoc admin tasks§ §Please send your CV through Seek, and we look forward to meeting with you :-)§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Do you have experience with Search Engine Optimisation (SEO)?§Do you have experience with Search Engine Marketing (SEM)?§How many years&#x27; experience do you have in digital marketing?§What&#x27;s your expected hourly rate?§§§"
50534274,https://www.seek.co.nz/job/50534274,"Social Media Manager - Agency Job in Auckland - SEEK","Recruitment Ltd","9 Sept 2020","Full Time",Auckland,"Marketing & Communications","Digital & Search Marketing",rob@recruitmentnz.nz," 021 280 5000  ","","","TXT/50534274.txt	§Social Media Manager - Agency§§More jobs from this company§§§§§§§§§§§Job Description§§Job Header§§Social Media Manager - Agency§§Advertiser: §Recruitment Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Auckland§§Salary§§$70,000 - $90,000§§Work Type§§Full Time§§Classification§§Marketing &amp; Communications§, §Digital &amp; Search Marketing§§§§§§Our client is looking for a savvy Social Media Manager who enjoys delivering tailored solutions with a consultative approach.§ §Not only is our client ranked number one in NZ in their field, they too have the largest, most experienced and qualified team.§ §This agency has been established for over a decade now and is continuing to grow within the market. With a passionate management team lead by entrepreneurial CEO who work daily within the business, they are now looking for someone equally as passionate who can drive business forward.§ §The agency offers unique solutions, ranging from content creation, website audits and website code changes as well as and other advanced SEO techniques.§ §However, with this newly created role, they are adding another string to their bow by adding social media services to their repertoire.§ §So, we are looking for someone who enjoys finding the best outcome and solution for their clients.  Someone who can manage multiple campaigns across all social media platforms, Facebook, Instagram, LinkedIn etc.§ §You must be proven in your field and be able to demonstrate and give examples of the work you have done.  An agency background could be advantageous, as you would be used to servicing a number of clients at one time.  But there is always a door open to someone who is creative and passionate about their work.§ §If you feel you have the above prerequisites and are intrigued about my client, please submit your application or call Rob on 021 280 5000, email §rob@recruitmentnz.nz§.§ § §§§§"
50535406,https://www.seek.co.nz/job/50535406,"Communications Coordinator Job in Canterbury - SEEK","Multiple Sclerosis New Zealand","9 Sept 2020","Part Time","Canterbury, Christchurch","Marketing & Communications","Marketing Communications",amanda@msnz.org.nz," ","How many years","Which of the following statements best describes your right to work in New Zealand?","TXT/50535406.txt	§Communications Coordinator§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Communications Coordinator§§Advertiser: §Multiple Sclerosis New Zealand§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Canterbury§, §Christchurch§§Work Type§§Part Time§§Classification§§Marketing &amp; Communications§, §Marketing Communications§§§§§§The Organisation§  §Multiple Sclerosis New Zealand is the national body for MS societies nationally. Working with member organisations, MSNZ aims to meet the needs of people with Multiple Sclerosis, their families and carers through national leadership, advocacy, communication, and national and international collaboration.  §  § §  §The Role§  §Reporting to the National Manager, this part time position (20 hours per week) supports both the MSNZ and the New Zealand Multiple Sclerosis Research Trust to achieve their missions. The role will be a key conduit for information from MSNZ to key stakeholders internally and externally, improving the lives of people with MS through various communications mediums.§  § §  §The Communications Coordinator has a vital role telling the story of our organisations, our outcomes and the needs that we are meeting with the goal of increasing positive awareness and engagement.§  § §  §Key responsibilities include:§ § §Developing communications to tell the story of our organisations, what we are doing, the outcomes and impact we are making, driving positive awareness and growing the recognition of our organisation.§ §Writing unique articles to inform, inspire and educate a range of stakeholders about MS. Provide information that is well researched and engaging.§ §Manage MSNZ and the NZMSRTs websites and social media channels ensuring regular and timely updates to maintain and grow presence, perception and engagement.§ §Assisting the Fundraising Coordinator with the communications and marketing of campaigns such as MS Awareness Week, World MS Day, Kiss Goodbye to MS and donor appeals.§ §Keeping informed of developments on MS and MS Research§ § §  §Ideal Applicants §  §The ideal candidate will have at least 3 years’ experience in a communications or marketing role. The ideal candidate should have experience with social media, websites, and have exemplary written communication skills. The role is multi-faceted and varied and will require excellent time management. As it supports two independent organisations the ideal candidate will be well rounded in their skills and proficient at multi-tasking. §  § §  §A knowledge of Multiple Sclerosis, the not for profit sector, health and research is a bonus. Experience in sourcing relevant and trustworthy information/research and translating into more easily consumable information is ideal.§  § §  §The office is based in Christchurch with parking available. Working from home for part of the week can be discussed with the selected applicant.  Candidates should therefore be able to work both independently and as a team to achieve results. The role also involves supporting 18 independent regional societies and so the candidate should be willing to provide leadership, support and guidance with improving communications and marketing nationally.§  § §  §To Apply§  § §  §If this challenging and diverse role seems of interest to you please contact §amanda@msnz.org.nz§ for a copy of the Job Description.§  §Applicants must email an up-to-date CV and Cover Letter outlining how your skills and experience match our needs and why you would want to work for Multiple Sclerosis New Zealand.§  §  §  §Applications close Thursday 24th September at 5pm unless the position is filled prior.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§How many years&#x27; experience do you have in a marketing role?§Are you experienced with copy writing and content creation?§How much notice are you required to give your current employer?§§§"
