jobId,jobUrl,jobTitle,advertiser,listingDate,workType,location,classification,subClassification,email,phone,experience,xenophobe,jobText
50373023,https://www.seek.co.nz/job/50373023,"Real Estate Sales - unleash your potential Job in Wellington - SEEK",Harcourts,"7 Oct 2020","Full Time",Wellington,"Real Estate & Property","Residential Sales",""," 027 242 8244","","Which of the following statements best describes your right to work in New Zealand?","TXT/50373023.txt	§Real Estate Sales - unleash your potential§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Real Estate Sales - unleash your potential§§Advertiser: §Harcourts§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Oct 2020§§Location§§Wellington§§Work Type§§Full Time§§Classification§§Real Estate &amp; Property§, §Residential Sales§§§§§§We're looking for driven, passionate people to join our award-winning sales team at Harcourts Team Group. This is an opportunity to thrive in one of the leading Harcourts franchises in the world.§  §Harcourts provides the best training and support to build your business from day one. You will be mentored and coached by managers who work with you, and not against you. Our marketing team is available to assist you with creating and executing campaigns on various platforms. The friendly admin staff at Team Group provide support services throughout our company.§  §The ideal candidate would have:§  §The right to work and live in New Zealand§The desire to build a long-lasting career§A strong focus on customer satisfaction§Enthusiasm and a positive attitude§High levels of self-motivation, discipline and self-drive§A strong local network or the ability to build one quickly§  §For a confidential chat contact Holly Fordham on 027 242 8244§ §  § §  § §  § §  § §  § §§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Do you have experience in a sales role?§§§"
50532509,https://www.seek.co.nz/job/50532509,"Property Consultant Job in Wellington - SEEK",WSP,"8 Sept 2020","Full Time","Wellington, Wellington Central","Real Estate & Property",Other,""," ","","","TXT/50532509.txt	§Property Consultant§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Property Consultant§§Advertiser: §WSP§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Sept 2020§§Location§§Wellington§, §Wellington Central§§Work Type§§Full Time§§Classification§§Real Estate &amp; Property§, §Other§§§§§§§§§  §    §    §      §Property Consultant §    §    §      §WSP is a collaborative team of global experts who aspire every day to shape a better tomorrow.§With more than 49,000 people working in over 550 offices across 40 countries, we are one of the world’s leading engineering consultancy firms.§We value our people, our reputation, and our impact on the future. At WSP our role is to plan, design, manage and engineer our communities to thrive. We want our work to bring long-term improvements and to future proof our cities and environments.§The Role:§We are seeking a Property Consultant to join our growing team in Wellington­­­­­­­­­­ and work on projects of national significance in the North Island and beyond. Be part of a tight-knit, innovative group of specialist property consultants. Take advantage of all that WSP has to offer, whilst enjoying quality, career enhancing work.§You’ll get to be a key contributor to the disposal of land on behalf of the Crown under the provisions of the Public Works Act. You’ll also help provide property consultancy and advice to clients in the Crown, Government Agencies, Local Authority and corporate sectors. This is an excellent opportunity to build upon your experience and progress your career.§Skills and Experience:§·      A degree, or equivalent qualification §·      Up to 5 years’ experience in a property related field §·      Good knowledge of relevant NZ standards, legislation and practises, particularly the Public Work Acts and a general understanding of land law§·      Experience with Crown transactions, specifically the disposal of land§·      Confidence in dealing with a variety of property professionals on a regular basis including surveyors, valuers and accredited agents§·      Be confident in your ability to present ideas, information and advice in a way that is understandable by a range of audiences§How to Apply:§If this sounds like you, we want you to be part of what makes us great. Are you ready to be part of WSP? §For further information, please view the position description. To apply, just follow the link and apply online.§Why do you want to join us?§We’re future-focused experts who propose innovative ideas for our clients. It matters to us that our people come to work every day with curiosity, drive and a sense of purpose. Join us in doing purposeful, sustainable work that helps shape our communities and the future.§Stimulating, open working environments where everyone feels relevant, valued and supported is a catalyst for outstanding achievements in our opinion.§We know that, for everyone here, work is only one part of life, and making time for family, friends, hobbies and passions is vital. So, if working from home, working part-time or having a flexible start and finish to the day will help with this, we will try to make it happen. §Diversity of all kinds is extremely important, and so at WSP we embrace a diversity of perspectives. We welcome applications from individuals of all backgrounds, orientations, and identities.§He aha te mea nui o te ao. He tāngata, he tāngata, he tāngata.§What is the most important thing in the world? It is people, it is people, it is people.§        §§      §      §      §    §    §WSP - Creating what matters for future generations  |  wsp.com/nz§  §§§WSP is a collaborative team of global experts who aspire every day to shape a better tomorrow.§With more than 49,000 people working in over 550 offices across 40 countries, we are one of the world’s leading engineering consultancy firms.§We value our people, our reputation, and our impact on the future. At WSP our role is to plan, design, manage and engineer our communities to thrive. We want our work to bring long-term improvements and to future proof our cities and environments.§The Role:§We are seeking a Property Consultant to join our growing team in Wellington­­­­­­­­­­ and work on projects of national significance in the North Island and beyond. Be part of a tight-knit, innovative group of specialist property consultants. Take advantage of all that WSP has to offer, whilst enjoying quality, career enhancing work.§You’ll get to be a key contributor to the disposal of land on behalf of the Crown under the provisions of the Public Works Act. You’ll also help provide property consultancy and advice to clients in the Crown, Government Agencies, Local Authority and corporate sectors. This is an excellent opportunity to build upon your experience and progress your career.§Skills and Experience:§·      A degree, or equivalent qualification §·      Up to 5 years’ experience in a property related field §·      Good knowledge of relevant NZ standards, legislation and practises, particularly the Public Work Acts and a general understanding of land law§·      Experience with Crown transactions, specifically the disposal of land§·      Confidence in dealing with a variety of property professionals on a regular basis including surveyors, valuers and accredited agents§·      Be confident in your ability to present ideas, information and advice in a way that is understandable by a range of audiences§How to Apply:§If this sounds like you, we want you to be part of what makes us great. Are you ready to be part of WSP? §For further information, please view the position description. To apply, just follow the link and apply online.§Why do you want to join us?§We’re future-focused experts who propose innovative ideas for our clients. It matters to us that our people come to work every day with curiosity, drive and a sense of purpose. Join us in doing purposeful, sustainable work that helps shape our communities and the future.§Stimulating, open working environments where everyone feels relevant, valued and supported is a catalyst for outstanding achievements in our opinion.§We know that, for everyone here, work is only one part of life, and making time for family, friends, hobbies and passions is vital. So, if working from home, working part-time or having a flexible start and finish to the day will help with this, we will try to make it happen. §Diversity of all kinds is extremely important, and so at WSP we embrace a diversity of perspectives. We welcome applications from individuals of all backgrounds, orientations, and identities.§He aha te mea nui o te ao. He tāngata, he tāngata, he tāngata.§What is the most important thing in the world? It is people, it is people, it is people.§§§§"
50535357,https://www.seek.co.nz/job/50535357,"General Manager Job in Canterbury - SEEK","Quality Property Management Ltd","9 Sept 2020","Full Time","Canterbury, Christchurch","Real Estate & Property","Residential Leasing & Property Management",""," 027 2699 590","","Which of the following statements best describes your right to work in New Zealand?","TXT/50535357.txt	§General Manager§§More jobs from this company§§§§§§§§Job Description§§Job Header§§General Manager§§Advertiser: §Quality Property Management Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Canterbury§, §Christchurch§§Work Type§§Full Time§§Classification§§Real Estate &amp; Property§, §Residential Leasing &amp; Property Management§§§§§§About us§ § § §We are one of Christchurch's largest rental agencies, built on strong levels of integrity, customer service and sound reputation.§ § § §Qualifications &amp; experience§ § § §Minimum of 3 years Property Management experience.§A strong understanding of the Residential Tenancy Act.§Identifies, solves and monitors unique issues or problems that may occur within the organisation.§Proven record of providing vision, initiative, innovation and creativity in the development of new business/service.§Accepts accountability.§Committed to business goals and translates this effectively to enable targets to be met.§Use appropriate communication, constructive debate and joint problem solving processes at all times with staff to gain positive outcomes.§Ensures that procedures and policies are implemented to identify and mitigate risk to the organisation.§Is highly skilled in time and organisational management demonstrated by the ability to meet constantly changing demands.§Ability to operate under pressure and meet deadlines.§ § § §Tasks &amp; responsibilities§ § § §To oversee the running of our busy property management office.§To ensure that each property manager achieves business KPI'S such as revenue targets, profitability.§To ultimately grow the business in our office.§ § § §Benefits§ § § §Bonuses + car + phone will be included with this role. Please call Fiona Ireland to discuss the role further 027 2699 590§ § §§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§How many years&#x27; experience do you have as a general manager?§How many years of people management experience do you have?§What&#x27;s your expected annual base salary?§How much notice are you required to give your current employer?§§§"
50535948,https://www.seek.co.nz/job/50535948,"Property Strategy and Valuation (Valuer) Graduate + Summer Internship Job in Hawkes Bay - SEEK","Turley & Co Ltd | TCL","9 Sept 2020","Full Time","Hawkes Bay, Hastings","Real Estate & Property",Valuation,pat@turley.co.nz,"    ()  +  ","","Which of the following statements best describes your right to work in New Zealand?","TXT/50535948.txt	§Property Strategy and Valuation (Valuer) Graduate + Summer Internship§§More jobs from this company§§§§§§§§§§§Job Description§§Job Header§§Property Strategy and Valuation (Valuer) Graduate + Summer Internship§§Advertiser: §Turley &amp; Co Ltd | TCL§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Hawkes Bay§, §Hastings§§Work Type§§Full Time§§Classification§§Real Estate &amp; Property§, §Valuation§§§§§§Team Turley &amp; Co is seeking§ a new colleague to join our well-experienced and busy property professionals’ team.  Our increasingly strong workflows create an excellent career opportunity for an in studies or graduate property professional. §  § §  §Our training programmes deliver excellent personal and career leverage.  Mentoring is by very experienced property practitioners working on a variety of interesting property projects in Hawke’s Bay and NZ-wide for prime clients.  Our team is close-knit and workplace positive – we love property and our profession. §  § §  §You would be business integrated from day one and widely deployed, garnering more property experience and business operations insights than usual for bigger firms and typical graduate training. §  § §  §This cross-disciplines opportunity is not commonly offered.  Your land economy consultancy and valuation qualifications opportunity would be: Registered Valuer, Registered Property Consultant, and public land actions LINZ Accredited – leading to superior property career positioning and excellent renumeration.§  § §  §We propose a paid summer internship and a 2021 permanent graduate position.  The positions would suit a strongly motivated property degree studies person and ideally a 2020-21 property degree graduate.  We will most likely expand our team further in 2021.§  § §  §If you are already living in NZ and could join us by late 2020 or early 2021, please provide an expression of interest and your resume to §pat@turley.co.nz§ §  § §  §All communications will be treated as strictly confidential.  We will reply if you meet the property studies and NZ resident prerequisites. §  § §  §Applications will close on 9 October.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§§§"
50536340,https://www.seek.co.nz/job/50536340,"Facilities Coordinator Job in Wellington - SEEK","Try the SEEK app to find your dream job faster.","9 Sept 2020","Full Time","Wellington, Wellington Central","Real Estate & Property",Administration,""," ",""," right to live and work ","TXT/50536340.txt	§Facilities Coordinator§§Private Advertiser§§§§§§§§Job Description§§Job Header§§Facilities Coordinator§§Private Advertiser§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Wellington§, §Wellington Central§§Work Type§§Full Time§§Classification§§Real Estate &amp; Property§, §Administration§§§§§§§§§  §    §    §      §Facilities Coordinator §      §      §      §        §Wilson Parking delivers comprehensive car park management services nationwide. We are a family-owned business, and for over 50 years the success of the Wilson name has been associated with providing exceptional customer service.§        §We value and promote an environment which fosters open communication and teamwork.  We are committed to delivering on our promises to our customers, and providing an environment where you have opportunities to develop your career.§        §This is an entry level role and is intended that it will operate between the hours of 7am &amp; 7pm, Monday - Friday (40 hours) with some after-hours call back from time to time.  You will be based in our Wellington Office but be out and about checking on our car park sites ensuring that they are operational, and that site signage, presentation and safety are of a high standard. It is important you have excellent communications skills as you will be interacting with both parking personnel and customers. You will also be responsible for ad-hoc administrative tasks for branch operations.§        §You will receive hands on technical training to ensure that our equipment is always running perfectly so you will need to be a 'hands on' person.§        §This role will allow you to prove yourself and give you the opportunity to be noticed in a company that rewards both financially and in career advancement. A company phone, laptop and car will be provided for operational duties. §        §The ideal candidate is a motivated, hand's on individual with the customer service skills to match. Previous experience in multi-site operations would be desirable. Knowledge of MS office suite would be a definite advantage; as would a highly positive 'can do' attitude.§        §All applicants must be legally entitled to live and work in New Zealand indefinitely.§        §APPLY TODAY!!§      §      §      §    §  §§§Wilson Parking delivers comprehensive car park management services nationwide. We are a family-owned business, and for over 50 years the success of the Wilson name has been associated with providing exceptional customer service.§ §We value and promote an environment which fosters open communication and teamwork.  We are committed to delivering on our promises to our customers, and providing an environment where you have opportunities to develop your career.§ §This is an entry level role and is intended that it will operate between the hours of 7am &amp; 7pm, Monday - Friday (40 hours) with some after-hours call back from time to time.  You will be based in our Wellington Office but be out and about checking on our car park sites ensuring that they are operational, and that site signage, presentation and safety are of a high standard. It is important you have excellent communications skills as you will be interacting with both parking personnel and customers. You will also be responsible for ad-hoc administrative tasks for branch operations.§ §You will receive hands on technical training to ensure that our equipment is always running perfectly so you will need to be a 'hands on' person.§ §This role will allow you to prove yourself and give you the opportunity to be noticed in a company that rewards both financially and in career advancement. A company phone, laptop and car will be provided for operational duties. § §The ideal candidate is a motivated, hand's on individual with the customer service skills to match. Previous experience in multi-site operations would be desirable. Knowledge of MS office suite would be a definite advantage; as would a highly positive 'can do' attitude.§ §All applicants must be legally entitled to live and work in New Zealand indefinitely.§ §APPLY TODAY!!§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Which of the following Microsoft Office products are you experienced with?§Do you have customer service experience?§Do you have a current New Zealand driver&#x27;s licence?§What&#x27;s your expected annual base salary?§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50540178,https://www.seek.co.nz/job/50540178,"Real Estate Salesperson Job in Otago - SEEK","Edinburgh Realty Ltd MREINZ","9 Sept 2020",Contract/Temp,"Otago, Rest of Otago","Real Estate & Property","Residential Sales",peter@edinburgh.co.nz,"0274 327 489","","","TXT/50540178.txt	§Real Estate Salesperson§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Real Estate Salesperson§§Advertiser: §Edinburgh Realty Ltd MREINZ§§More jobs from this company§§§§Job Information§§Job Listing Date§§9 Sept 2020§§Location§§Otago§, §Rest of Otago§§Work Type§§Contract/Temp§§Classification§§Real Estate &amp; Property§, §Residential Sales§§§§§§We are looking for Central Otago people to sell Central Otago properties. Are you interested in joining our local team?§  §We are Otago’s largest independently owned real estate company, with offices in three high-profile locations; Cromwell, Dunedin and Mosgiel. §  §If you are a driven person who is focused on success and want to achieve financial independence, we can offer you a competitive remuneration package and a fun and supportive work environment.§  §Whether you’re new to real estate, been in the business for years or are interested in a career change, if you’re passionate about Central Otago, we want to speak to you.§  §If you’re interested in joining our Central Otago team, please call Mike or Peter for a chat.§  §Mike Elford §0274 342 220§mike@edinburgh.co.nz§Peter Wilson§ §0274 327 489§peter@edinburgh.co.nz§§§§"
50542879,https://www.seek.co.nz/job/50542879,"Real Estate Job in Wellington - SEEK","Villa Realty Ltd","10 Sept 2020","Full Time","Wellington, Porirua & Kapiti Coast","Real Estate & Property","Residential Sales",graham.barr@raywhite.com,"0274 480 847","","","TXT/50542879.txt	§Real Estate§§More jobs from this company§§§§§§§§§§§Job Description§§Job Header§§Real Estate§§Advertiser: §Villa Realty Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§10 Sept 2020§§Location§§Wellington§, §Porirua &amp; Kapiti Coast§§Work Type§§Full Time§§Classification§§Real Estate &amp; Property§, §Residential Sales§§§§§§Kick-Start a career in Real Estate§Here’s an opportunity to earn what you are really worth.  Join one of NZ’s leading Real Estate brands and build a lucrative career in Real Estate sales.  Whether you’re REA licensed and experienced, or looking to start your career in the exciting world of Real Estate, we’d like to talk to you. We are looking for salespeople to join our Ray White Porirua office.  Applicants should note that all remuneration is by way of commission earned.  This is your path to self-employment and an income to match your talents and efforts.§Successful applicants will be offered:§Excellent training and individual mentoring§Ongoing support and resources§An opportunity to maximise earnings with a company that offers competitive remuneration§A fantastic supportive team environment§New trainees may qualify for a Real Estate training scholarship.§All new trainees will be mentored through their qualifications§Call or email to arrange a chat about how you might join our new office in Kilkerran Place Porirua§Contact: Graham Barr, Principal Ray White Porirua §0274 480 847§ §graham.barr@raywhite.com§§§§"
50543053,https://www.seek.co.nz/job/50543053,"Asset Manager Job in Auckland - SEEK","Franklin Smith Ltd","10 Sept 2020","Full Time",Auckland,"Real Estate & Property","Leasing & Property Mgmt",jason@franklinsmithgroup.co.nz,092812862,"","","TXT/50543053.txt	§Asset Manager§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Asset Manager§§Advertiser: §Franklin Smith Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§10 Sept 2020§§Location§§Auckland§§Work Type§§Full Time§§Classification§§Real Estate &amp; Property§, §Commercial Sales, Leasing &amp; Property Mgmt§§§§§§§§§  §    §    §      §Asset Manager §      §        §THE CLIENT§        §My client is an established firm who strive to achieve maximum results for their investors by adding value not only to the assets they invest in, but to the communities. In this role you will have the chance to grow your practical property experience, receive an attractive salary and grow within the business§ §        §WHAT YOU WILL NEED TO SUCCEED§        §Minimum 3 years of previous experience in Asset Management§        §Extensive understanding of Commercial Real Estate§        §Substantial experience in Commercial Negotiations (Leasing)§        §Setting up and managing all financials§        §Exposure in acquisitions and divestment processes§        §Ability to think critically and work autonomously§        §Willingness to take on all tasks whether big or small§        §Strong contract management and leadership skills.§        §Preferred tertiary qualification, ideally in property or related.§        §Ability to manage the day to day tenant relationships and being the key point of contact.§        § §        §WHAT YOU WILL GET IN RETURN§        §Fantastic commercial, industrial and retail portfolio§        §Vibrant and highly experienced team§        §Annual company weekend away.§        §Exposure to a national property giant§        §Strategic asset management§        §Highly competitive remuneration with bonus.§        §Auckland central location§        § §        § §        §To learn more or to see a full job description, please submit your interest via the link above, or alternatively for a confidential discussion please contact Jason Goodson at Franklin Smith Group on §092812862§ or email your CV to §jason@franklinsmithgroup.co.nz§        § §      §    §    §www.franklinsmithgroup.co.nz§  §§§THE CLIENT§My client is an established firm who strive to achieve maximum results for their investors by adding value not only to the assets they invest in, but to the communities. In this role you will have the chance to grow your practical property experience, receive an attractive salary and grow within the business§ §WHAT YOU WILL NEED TO SUCCEED§Minimum 3 years of previous experience in Asset Management§Extensive understanding of Commercial Real Estate§Substantial experience in Commercial Negotiations (Leasing)§Setting up and managing all financials§Exposure in acquisitions and divestment processes§Ability to think critically and work autonomously§Willingness to take on all tasks whether big or small§Strong contract management and leadership skills.§Preferred tertiary qualification, ideally in property or related.§Ability to manage the day to day tenant relationships and being the key point of contact.§ §WHAT YOU WILL GET IN RETURN§Fantastic commercial, industrial and retail portfolio§Vibrant and highly experienced team§Annual company weekend away.§Exposure to a national property giant§Strategic asset management§Highly competitive remuneration with bonus.§Auckland central location§ § §To learn more or to see a full job description, please submit your interest via the link above, or alternatively for a confidential discussion please contact Jason Goodson at Franklin Smith Group on §092812862§ or email your CV to §jason@franklinsmithgroup.co.nz§ §§§§"
50547402,https://www.seek.co.nz/job/50547402,"Facilities Manager Job in Auckland - SEEK","Hays Facilities Management","10 Sept 2020","Full Time","Auckland, Auckland Central","Real Estate & Property","Body Corporate & Facilities Management",eli.dacruz@hays.net.nz," ","","","TXT/50547402.txt	§Facilities Manager§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Facilities Manager§§Advertiser: §Hays Facilities Management§§More jobs from this company§§§§Job Information§§Job Listing Date§§10 Sept 2020§§Location§§Auckland§, §Auckland Central§§Salary§§$85k to $95k per annum + benefits§§Work Type§§Full Time§§Classification§§Real Estate &amp; Property§, §Body Corporate &amp; Facilities Management§§§§§§§§§  §    §    §      §        §Facilities Manager §        §Call us today for more information §        §          §Great package and benefits on offer §          §Genuine opportunity for personal and career development §          §A support team ready to help and ensure you succeed in this role §        §        §          §Your new company§Our client’s purpose is to enhance the value and productivity of New Zealand’s horticultural, arable, seafood and food and beverage industries as they contribute to economic growth and the environmental and social prosperity of New Zealand.§ § §Your new role§ You will be responsible for the day-to-day management of several key buildings within this single-site portfolio. The role of the Facilities Manager is to ensure all premises are maintained to a high standard, ensuring the comfort and safety of all staff and customers is maintained at all times. The role has overall responsibility for ensuring all aspects of planned and reactive maintenance is completed within agreed timeframes.§ § §What you'll need to succeed§ To succeed in this role, you will have relevant and recent industry experience; and previous exposure to an engineering/trades environment will see you rise as the preferred candidate. You will also need to have:§ §          §            §At least five years’ experience in engineering and/or 10 years in facilities management with proven hands-on experience plant and equipment maintenance§            §A tertiary qualification in property management, engineering or trade qualification in a building related trade such as mechanical/electrical/HVAC engineering§            §Familiarity and understanding of the Building Act§            §Good written and verbal communication skills§            §Proven project management skills and ability to see a job through to completion§            §Experience with Computarised Maintenance Management Systems (CMMS)§          §          § §What you'll get in return§          §            §A competitive and realistic salary package§            §The security of working for one of New Zealand’s safest and most desired employer§            §A friendly, flexible team-based work environment supporting career development§            §Excellent benefits including health insurance and generous employer contributions to superannuation§            §Free car parking on site in their award-winning facilities§          §          § §What you need to do now§ If you’re interested, click ‘apply now’ or if this position is not for you but you would like to find out more about other positions in the Property &amp; Facilities Management sector, please contact Eli DaCruz on §09 884 1507§ or e-mail CV to §eli.dacruz@hays.net.nz§          § At Hays, we value diversity and are passionate about placing people in a role where they can flourish and succeed. We actively encourage people from diverse backgrounds to apply.§        §        §        §Reference Number: 2413539 §        §        §To apply please click§ the 'Apply' button below.§ §      §    §  §§§Your new company§Our client’s purpose is to enhance the value and productivity of New Zealand’s horticultural, arable, seafood and food and beverage industries as they contribute to economic growth and the environmental and social prosperity of New Zealand.§ § §Your new role§ You will be responsible for the day-to-day management of several key buildings within this single-site portfolio. The role of the Facilities Manager is to ensure all premises are maintained to a high standard, ensuring the comfort and safety of all staff and customers is maintained at all times. The role has overall responsibility for ensuring all aspects of planned and reactive maintenance is completed within agreed timeframes.§ § §What you'll need to succeed§ To succeed in this role, you will have relevant and recent industry experience; and previous exposure to an engineering/trades environment will see you rise as the preferred candidate. You will also need to have:§ §At least five years’ experience in engineering and/or 10 years in facilities management with proven hands-on experience plant and equipment maintenance§A tertiary qualification in property management, engineering or trade qualification in a building related trade such as mechanical/electrical/HVAC engineering§Familiarity and understanding of the Building Act§Good written and verbal communication skills§Proven project management skills and ability to see a job through to completion§Experience with Computarised Maintenance Management Systems (CMMS)§ §What you'll get in return§A competitive and realistic salary package§The security of working for one of New Zealand’s safest and most desired employer§A friendly, flexible team-based work environment supporting career development§Excellent benefits including health insurance and generous employer contributions to superannuation§Free car parking on site in their award-winning facilities§ §What you need to do now§ If you’re interested, click ‘apply now’ or if this position is not for you but you would like to find out more about other positions in the Property &amp; Facilities Management sector, please contact Eli DaCruz on §09 884 1507§ or e-mail CV to §eli.dacruz@hays.net.nz§ At Hays, we value diversity and are passionate about placing people in a role where they can flourish and succeed. We actively encourage people from diverse backgrounds to apply.§§§§"
50548083,https://www.seek.co.nz/job/50548083,"Experienced Property Manager Job in Auckland - SEEK","REAP Recruitment","11 Sept 2020","Full Time","Auckland, Waitakere & West Auckland","Real Estate & Property","Residential Leasing & Property Management","","021 32 1115 ","","","TXT/50548083.txt	§Experienced Property Manager§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Experienced Property Manager§§Advertiser: §REAP Recruitment§§More jobs from this company§§§§Job Information§§Job Listing Date§§11 Sept 2020§§Location§§Auckland§, §Waitakere &amp; West Auckland§§Salary§§RENTAL HQ§§Work Type§§Full Time§§Classification§§Real Estate &amp; Property§, §Residential Leasing &amp; Property Management§§§§§§§§§  §    §      §Experienced Property Manager §    §    §      §A rare opportunity has arisen at this fun, professional and progressive Property Management company, Rental HQ Limited (RHQ), Based in Te Atatu Peninsula, RHQ is seeking an §experienced Property Manager§, with a proven track record in the real estate/property management industry, who can take full charge of an existing portfolio of properties in the Auckland region.  You will be comfortable working in a busy, multi-tasking position working closely with an outstanding team.§ §This RHQ opportunity offers:§        §          §A generous remuneration package (including mobile and car)§          §A high quality working environment (with own office)§          §A team that endorses hard work and has each other’s backs§          §The opportunity to work remotely§          §Regular training and on-going support from Tenancy Practice Services (TPS)§        § §Primary responsibilities include:§        §          §360° role§          §Liaising with owners, tenants and suppliers§          §Conducting viewings, and performing ingoing and outgoing inspections§          §Assisting with rent arrears§          §Assisting with tribunal applications and hearing§          §Lodging highly accurate administration documentation and files§        § §Can you?...§        §          §Take sole charge of an existing portfolio across Auckland§          §Go above and beyond the call of duty for your Owners and Tenants§          §Showcase ambition and drive§          §Bring profound people skills that engender high quality relationships between you and your clients§          §Provide outstanding problem-solving skills and the ability to identify and resolve issues at the lowest level§          §Be professionally presented, as well as confident with a 'can do' attitude.§        § §You will need to have:§        §          §Experience in a similar role§          §Knowledge of the Residential Tenancies Act§          §Excellent written and verbal communications skills (English or English/Mandarin)§          §A professional image, presentation and personal appearance§          §The ability to work in a fast-paced environment§          §To deal effectively with multiple, simultaneous deadlines and tasks§          §A current New Zealand Drivers Licence§        § Rental HQ is a progressive property management company that is based in a high quality working environment in Te Atatu Peninsula. The working environment is fun and professional.§  § §This role is being managed by REAP Recruitment on behalf of Rental HQ Limited.  Please apply on-line below to be considered for this role.  All applications will remain confidential to REAP Recruitment &amp; Rental HQ Limited and will only be forwarded on to others with your consent.§      §      §Matt Hunter§021 32 1115 §    §    §  §§§A rare opportunity has arisen at this fun, professional and progressive Property Management company, Rental HQ Limited (RHQ), Based in Te Atatu Peninsula, RHQ is seeking an §experienced Property Manager§, with a proven track record in the real estate/property management industry, who can take full charge of an existing portfolio of properties in the Auckland region.  You will be comfortable working in a busy, multi-tasking position working closely with an outstanding team.§ §This RHQ opportunity offers:§ § §A generous remuneration package (including mobile and car)§ §A high quality working environment (with own office)§ §A team that endorses hard work and has each other’s backs§ §The opportunity to work remotely§ §Regular training and on-going support from Tenancy Practice Services (TPS)§ § §Primary responsibilities include:§ § §360° role§ §Liaising with owners, tenants and suppliers§ §Conducting viewings, and performing ingoing and outgoing inspections§ §Assisting with rent arrears§ §Assisting with tribunal applications and hearing§ §Lodging highly accurate administration documentation and files§ § §Can you?...§ § §Take sole charge of an existing portfolio across Auckland§ §Go above and beyond the call of duty for your Owners and Tenants§ §Showcase ambition and drive§ §Bring profound people skills that engender high quality relationships between you and your clients§ §Provide outstanding problem-solving skills and the ability to identify and resolve issues at the lowest level§ §Be professionally presented, as well as confident with a 'can do' attitude.§ § §You will need to have:§ § §Experience in a similar role§ §Knowledge of the Residential Tenancies Act§ §Excellent written and verbal communications skills (English or English/Mandarin)§ §A professional image, presentation and personal appearance§ §The ability to work in a fast-paced environment§ §To deal effectively with multiple, simultaneous deadlines and tasks§ §A current New Zealand Drivers Licence§ § Rental HQ is a progressive property management company that is based in a high quality working environment in Te Atatu Peninsula. The working environment is fun and professional.§  § §This role is being managed by REAP Recruitment on behalf of Rental HQ Limited.  Please apply on-line below to be considered for this role.  All applications will remain confidential to REAP Recruitment &amp; Rental HQ Limited and will only be forwarded on to others with your consent.§§§§"
