jobId,jobUrl,jobTitle,advertiser,listingDate,workType,location,classification,subClassification,email,phone,experience,xenophobe,jobText
50456853,https://www.seek.co.nz/job/50456853,"Customer Care Administrator Job in Auckland - SEEK","Harvey Furnishings","25 Sept 2020","Full Time","Auckland, Auckland Central","Administration & Office Support","Client & Sales Administration","","  ","","Which of the following statements best describes your right to work in New Zealand?","TXT/50456853.txt	§Customer Care Administrator§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Customer Care Administrator§§Advertiser: §Harvey Furnishings§§More jobs from this company§§§§Job Information§§Job Listing Date§§25 Sept 2020§§Location§§Auckland§, §Auckland Central§§Work Type§§Full Time§§Classification§§Administration &amp; Office Support§, §Client &amp; Sales Administration§§§§§§Want to work for a wholly owned NZ business that is as passionate about its people as it is about creating amazing customer experiences?§ §As a Customer Care Administrator with Harvey Furnishings, the primary focus for this role will be data entry and servicing our customers.  You will be a self-starter, enjoy variety in your work, want to grow your career with us and have a passion for delivering amazing customer experiences.§ §Your key responsibilities will include:§ § §CIN7/SFS/Xero based data entry§ §Invoicing via Xero§ §Internal and external stakeholder communication§ §Assist with workflow management § §Taking phone calls (back up)§ §Taking ownership and accountability for delivering to our customer deadlines efficiently and effectively§ §Recommending improvements to our systems, processes and practices§ §Collaborating with your team to achieve§ §Ideally, you will have a data entry and/or customer contact center background, be technically savvy, have excellent communications skills, proficiency in MS Office, basic bookkeeping/finance experience, excellent attention to detail and good problem-solving skills. You will be solutions focused and have good time management skills. § §In return, we offer:§ § §A great team environment and culture§ §Opportunity to grow and develop your career with us – within the broader team, or cross-functionally into other sales, retail and/or head office roles.§ §If you are interested, send your CV together with a cover letter confirming how you meet the requirements of the role.  Immediate start available.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Do you have customer service experience?§What&#x27;s your expected hourly rate?§§§"
50489648,https://www.seek.co.nz/job/50489648,"Admin/Reception - permanent role Job in Wellington - SEEK","Hutt City Health Centres","20 Sept 2020","Full Time","Wellington, Hutt Valley","Administration & Office Support",Receptionists,"","   ","How many years","Which of the following statements best describes your right to work in New Zealand?","TXT/50489648.txt	§Admin/Reception - permanent role§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Admin/Reception - permanent role§§Advertiser: §Hutt City Health Centres§§More jobs from this company§§§§Job Information§§Job Listing Date§§20 Sept 2020§§Location§§Wellington§, §Hutt Valley§§Work Type§§Full Time§§Classification§§Administration &amp; Office Support§, §Receptionists§§§§§§Do you have:§ § §Previous reception experience preferably in the medical field§ §An understanding of the importance of providing high quality customer experience§ §The ability to work well under pressure while maintaining a cool, calm and collected presence at reception or on the phone§ §High accuracy and attention to detail§ §Advanced skills in MS Office§ §A professional attitude with strong written and spoken communication§ §Resiliance, maturity and previous experience working with the public§ §Required:§ § §Previous reception experience§ §Excellent English skills§ §A clean driver's licence§ §The team work in both our clinics on rotation and a late night clinic (up to 8.30 pm on Tuesdays and Wednesdays).  § §We are Cornerstone accredited and are a health care home practice.§ §Must be eligible to work in New Zealand.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Which of the following Microsoft Office products are you experienced with?§Do you have experience in an administration role?§Do you have customer service experience?§How many years&#x27; experience do you have as a receptionist?§§§"
50524788,https://www.seek.co.nz/job/50524788,"Administrator Job in Southland - SEEK","Enterprise Recruitment","7 Sept 2020",Contract/Temp,"Southland, Invercargill","Administration & Office Support","Contracts Administration",keir.morrison@enterprise.co.nz,"","","","TXT/50524788.txt	§Administrator§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Administrator§§Advertiser: §Enterprise Recruitment§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Sept 2020§§Location§§Southland§, §Invercargill§§Salary§§Competitive§§Work Type§§Contract/Temp§§Classification§§Administration &amp; Office Support§, §Contracts Administration§§§§§§§§§  §    §enterprise.co.nz§    §Administrator §    §      §We have an expected 3 month assignment for a capable customer service motivated Administrator.§Working in a dynamic team environment with multiple deadlines and pressures, this role will suit someone technically capable who thrives on a challenge and learning new systems quickly. §Duties include:§        §          §Providing general administrative services to consultants, and processing, applications and data.§          §Answering and directing calls to both internal and external customers§          §Word processing &amp; data entry§          §Email and correspondence§          §General administrative support scanning, digital and manual filing§          §Using electronic databases and other software§          §Learning technical aspects and compliance requirements§        §You will:§        §          §Have strong customer service and communication skills §          §Be software savvy and have worked in differing systems §          §Be accurate and uncompromising on quality §          §Pick up and retain new skills and processes quickly§          §Have initiative and good instincts§          §Be an energetic, positive and engaged team player §        §Hours are full time 8am-5pm, this could be an ongoing assignment for the right candidate.§Please apply now below to Keir Morrison with your cover letter and CV outlining your skills and suitability.§      §      §Keir Morrison§(03) 218 3146§keir.morrison@enterprise.co.nz§ §    §    §  §§§We have an expected 3 month assignment for a capable customer service motivated Administrator.§Working in a dynamic team environment with multiple deadlines and pressures, this role will suit someone technically capable who thrives on a challenge and learning new systems quickly. §Duties include:§Providing general administrative services to consultants, and processing, applications and data.§Answering and directing calls to both internal and external customers§Word processing &amp; data entry§Email and correspondence§General administrative support scanning, digital and manual filing§Using electronic databases and other software§Learning technical aspects and compliance requirements§You will:§Have strong customer service and communication skills §Be software savvy and have worked in differing systems §Be accurate and uncompromising on quality §Pick up and retain new skills and processes quickly§Have initiative and good instincts§Be an energetic, positive and engaged team player §Hours are full time 8am-5pm, this could be an ongoing assignment for the right candidate.§Please apply now below to Keir Morrison with your cover letter and CV outlining your skills and suitability.§§§§"
50524844,https://www.seek.co.nz/job/50524844,"Weighbridge Administrator Job in Auckland - SEEK","Oji Fibre Solutions Pulp and Paper","7 Sept 2020","Full Time","Auckland, Auckland Central","Administration & Office Support",Other,""," ","","","TXT/50524844.txt	§Weighbridge Administrator§§More jobs from this company§§§§§§§§§§§Job Description§§Job Header§§Weighbridge Administrator§§Advertiser: §Oji Fibre Solutions Pulp and Paper§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Sept 2020§§Location§§Auckland§, §Auckland Central§§Work Type§§Full Time§§Classification§§Administration &amp; Office Support§, §Other§§§§§§Fullcircle is a division of Oji Fibre Solutions (NZ) Ltd and is a market leader specialising in the collection of kerbside and commercial waste paper for supply to our New Zealand Pulp &amp; Paper Mills and export customers. Here at Oji Fibre Solutions we are committed to delivering innovative, sustainable products, and developing solutions that add value to our customers' businesses.§  §We are seeking a permanent §Weighbridge Administrator§ to join our Fullcircle team in Penrose, Auckland. Reporting to the Finance Manager, this position is responsible for the daily management of the weighbridge database, Salesforce.§  §Key responsibilities:§ § §Timely tracking of all key entries, ensuring data sets are accurate and complete§ §Daily manual entry of dockets and transporter records into the database§ §Reviewing and checking automated transactions and updating as required§ §Effective and efficient month end reporting for data validation for stakeholders and audit purposes§ §Professional handling of calls and resolution of queries from stakeholders, both internal and external§ §Skills and experience:§ § §Ideally qualified in bookkeeping, a business course, database management or with suitable experience§ §Solid ability to work with numbers, preferably minimum NZCEA Level 1§ §Understanding of key accounting principles, experienced in Accounts Payable/Receivable§ §Proven user of Microsoft suite (word/excel) with capable excel reporting skills§ §Clear and concise communicator, both verbal and written§ §Understand the importance of meeting deadlines and expectations§ §Positive team contributor and enjoy problem solving§ §Benefits:§ § §Positive, supportive and professional work environment§ §Competitive salary§ §Enhanced superannuation, subsidised medical insurance, disability and life insurance§ §Penrose location with free onsite car parking§ §Monday to Friday, 40-hour week§ §In accordance with company policy, applicants are required to undergo a pre-employment Ministry of Justice criminal history check, credit check and medical examination and drug testing. Oji Fibre Solutions will meet these expenses.§  §Please apply via the below link with an up to date cover letter and CV: https://ojifs.careercentre.net.nz/Job/Weighbridge-Administrator/Auckland/3966§  §Applications close Friday, 9 October 2020.§§§§"
50524865,https://www.seek.co.nz/job/50524865,"Temporary Office Roles Job in Waikato - SEEK","Asset Recruitment Ltd","7 Sept 2020",Contract/Temp,"Waikato, Hamilton","Administration & Office Support","Administrative Assistants",@assetrec.co.nz,"  ","To be successful you must have a solid work ethic, a can-do attitude and be a team player. You will also have high level attention to detail, and strong organisational and time management skills. Experience with Microsoft Office is essential, as well as at least 2 years","","TXT/50524865.txt	§Temporary Office Roles§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Temporary Office Roles§§Advertiser: §Asset Recruitment Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Sept 2020§§Location§§Waikato§, §Hamilton§§Salary§§Competitive hourly rates $$§§Work Type§§Contract/Temp§§Classification§§Administration &amp; Office Support§, §Administrative Assistants§§§§§§§§§  §    §    §      §Temporary Office Roles §      §      §      §        §Join the Asset Recruitment temping team today! §        §Temping is a great way to expand your skills and experience. Many of these roles often lead to permanent positions. We have a number of temporary roles to fill and are looking for great, skilled candidates who will hit the ground running.§        §          §Office administration and support§          §            §Accounts -  debtors, creditor§          §          §            §Payroll§          §          §            §Customer Service/Call Centre§          §          §            §Accountants§          §          §            §Procurement§          §          §            §Logistics§          §        §        §To be successful you must have a solid work ethic, a can-do attitude and be a team player. You will also have high level attention to detail, and strong organisational and time management skills. Experience with Microsoft Office is essential, as well as at least 2 years’ experience.§        §If this sounds like you, then we would love to hear from you today.§        §If this sounds like you contact Carmel on carmel§@assetrec.co.nz§ or apply now.§      §      §      §    §    §  §§§Join the Asset Recruitment temping team today! § §Temping is a great way to expand your skills and experience. Many of these roles often lead to permanent positions. We have a number of temporary roles to fill and are looking for great, skilled candidates who will hit the ground running.§ § §Office administration and support§ § §Accounts -  debtors, creditor§ § § §Payroll§ § § §Customer Service/Call Centre§ § § §Accountants§ § § §Procurement§ § § §Logistics§ § §To be successful you must have a solid work ethic, a can-do attitude and be a team player. You will also have high level attention to detail, and strong organisational and time management skills. Experience with Microsoft Office is essential, as well as at least 2 years’ experience.§ §If this sounds like you, then we would love to hear from you today.§ §If this sounds like you contact Carmel on carmel§@assetrec.co.nz§ or apply now.§§§§"
50525046,https://www.seek.co.nz/job/50525046,"Executive/ Personal Assistant Job in Auckland - SEEK","Hays Office Support","7 Sept 2020","Full Time","Auckland, Rodney & North Shore","Administration & Office Support","EA & Secretarial",Isabelle.Vye@hays.net.nz,"  ","","","TXT/50525046.txt	§Executive/ Personal Assistant§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Executive/ Personal Assistant§§Advertiser: §Hays Office Support§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Sept 2020§§Location§§Auckland§, §Rodney &amp; North Shore§§Salary§§Competitive salary + phone + parking!§§Work Type§§Full Time§§Classification§§Administration &amp; Office Support§, §PA, EA &amp; Secretarial§§§§§§§§§  §    §    §      §        §Executive/ Personal Assistant §        §Seeking an exciting role to make your own? §        §          §Takapuna location- role comes with parking! §          §A company with a BIG projects, play a pivotal part! §          §Join a growing, stable, leading company! §        §        §          §We are seeking an experienced EA to join a busy Construction company on the Shore!§ § Your new company§ Our client has gone from strength to strength with projects based around Auckland. Their office team has almost doubled in the last couple of months and they are now seeking an additional EA to support the GM and Director!§ § This is a newly established role so we are seeking an experienced EA who is confident with establishing and developing a position and also familiar working within the construction industry.§ § Your new role§ §          §            §Support the General Manager and Director§            §Calendar management§            §Preparing board papers§            §Minute taking§            §Event planning§            §Ordering office supplies§          §          § § What you'll need to succeed§ §          §            §Ability to be assertive when needed§            §Ability to communicate with people in all levels of construction§            §Flexibility to assist multiple departments in secretarial support§            §Ability to use initiative§            §We need someone confident to make this role their own§            §Ability to cope in a fast paced, growing company§            §Experience supporting multiple members of a management team§            §Ability to handle multiple tasks at once§            §**Must have construction experience!!**§          §          § What you'll get in return§ §          §            §Flexible working hours§            §Laid back company culture§            §Variety, no day is the same!§            §Bright, new office!§            §Opportunity to mold the role§            §BUSY position§            §This role will play a pivotal part, feel valued and a team player!§            §Work by the beach!!§          §          § §          §What you need to do now§ If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV §Isabelle.Vye@hays.net.nz§          § §        §        §        §Reference Number: 2415270 §        §        §To apply please click§ the 'Apply' button below.§ §      §    §  §§§We are seeking an experienced EA to join a busy Construction company on the Shore!§ § Your new company§ Our client has gone from strength to strength with projects based around Auckland. Their office team has almost doubled in the last couple of months and they are now seeking an additional EA to support the GM and Director!§ § This is a newly established role so we are seeking an experienced EA who is confident with establishing and developing a position and also familiar working within the construction industry.§ § Your new role§ §Support the General Manager and Director§Calendar management§Preparing board papers§Minute taking§Event planning§Ordering office supplies§ § What you'll need to succeed§ §Ability to be assertive when needed§Ability to communicate with people in all levels of construction§Flexibility to assist multiple departments in secretarial support§Ability to use initiative§We need someone confident to make this role their own§Ability to cope in a fast paced, growing company§Experience supporting multiple members of a management team§Ability to handle multiple tasks at once§**Must have construction experience!!**§ What you'll get in return§ §Flexible working hours§Laid back company culture§Variety, no day is the same!§Bright, new office!§Opportunity to mold the role§BUSY position§This role will play a pivotal part, feel valued and a team player!§Work by the beach!!§ §What you need to do now§ If you're interested in this role, click 'apply now' to forward an up-to-date copy of your CV §Isabelle.Vye@hays.net.nz§ §§§§"
50525646,https://www.seek.co.nz/job/50525646,"Church Administrator Job in Canterbury - SEEK","Lincoln Baptist Church","7 Sept 2020","Part Time","Canterbury, Rest of Canterbury","Administration & Office Support","Administrative Assistants",pastorchip@thelink.nz," ","","We will only be considering applications from NZ citizens or those with permanent residency.","TXT/50525646.txt	§Church Administrator§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Church Administrator§§Advertiser: §Lincoln Baptist Church§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Sept 2020§§Location§§Canterbury§, §Rest of Canterbury§§Work Type§§Part Time§§Classification§§Administration &amp; Office Support§, §Administrative Assistants§§§§§§Church Administrator§ §Permanent, part-time role in Lincoln§Excellent training and support provided§Potential to grow the role as the Church grows§We are presently seeking a skilled Administrator for Lincoln Baptist Church.§This is a permanent part-time role working 20 hours per week from Tuesday-Friday 8.30 am-2:00 pm with a 30 minute lunch break. You will be the sole office administrator but will have the support of the Senior Pastor and the Children's Ministry Worker. §Your duties and responsibilities will be varied, including typical office administration tasks, communications, financial administration, and facilities/property administration. Further details about this role can be obtained from §pastorchip@thelink.nz§To be successful in this role, you will ideally:§Demonstrate excellent interpersonal and leadership skills.§Display strong verbal and written communication skills.§Pay close attention to detail and have excellent record keeping abilities.§Be highly competent mathematically and consistently accurate.§Possess strong technological abilities and has knowledge of computer programs such as Microsoft Word, Excel, PowerPoint and Access.§Have the ability to operate standard office equipment.§Demonstrate knowledge of and is able to apply standard bookkeeping skills and accepted accounting practices.§Possess the ability to skillfully coordinate the work of a large group of volunteers.§Have knowledge of and support the Lincoln Baptist Church’s mission statement, beliefs and commitment.§Be able to pass a Ministry of Justice criminal background check (essential)§ §Please apply by emailing a cover letter outlining why you think you would be a good fit for this role, along with your CV, to §pastorchip@thelink.nz§ .§We will only be considering applications from NZ citizens or those with permanent residency.§§§§"
50525790,https://www.seek.co.nz/job/50525790,"Temporary Office Administrators Job in Wellington - SEEK","Forté Recruitment Ltd","4 Oct 2020",Casual/Vacation,Wellington,"Administration & Office Support","Administrative Assistants","","  ","","Which of the following statements best describes your right to work in New Zealand?","TXT/50525790.txt	§Temporary Office Administrators§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Temporary Office Administrators§§Advertiser: §Forté Recruitment Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§4 Oct 2020§§Location§§Wellington§§Salary§§$20 - $30 per hour§§Work Type§§Casual/Vacation§§Classification§§Administration &amp; Office Support§, §Administrative Assistants§§§§§§§§§  §    §    §      §Temporary Office Administrators §      §        §Do you have the skills and ability to hit the ground running?  We are eager to hear from experienced administrators who are available for both short and long term assignments.§        §We are looking for candidates with the following:§        §          §Knowledge and experience of Microsoft Office (Word, Excel and Outlook) and strong keyboard skills§          §Excellent communication skills - both written and verbal§          §Well presented, professional and personable§          §Relevant office administration experience§          §Flexible and reliable with a positive attitude§        §        §If you are in-between roles or simply prefer the flexibility temping offers, please apply online or email through your CV today.§      §      §      §      §Permanent Recruitment | Temporary Placements §        § www.forterecruitment.co.nz§      §    §  §§§Do you have the skills and ability to hit the ground running?  We are eager to hear from experienced administrators who are available for both short and long term assignments.§  §We are looking for candidates with the following:§ § §Knowledge and experience of Microsoft Office (Word, Excel and Outlook) and strong keyboard skills§ §Excellent communication skills - both written and verbal§ §Well presented, professional and personable§ §Relevant office administration experience§ §Flexible and reliable with a positive attitude§ §If you are in-between roles or simply prefer the flexibility temping offers, please apply online or email through your CV today.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§§§"
50525850,https://www.seek.co.nz/job/50525850,"Manager Alliance Française Christchurch Job in Canterbury - SEEK","Alliance Francaise de Christchurch","7 Sept 2020","Full Time","Canterbury, Christchurch","Administration & Office Support",Other,president@afchristchurch.org.nz,"   ","You are also a New Zealand citizen or resident (or hold a valid New Zealand work visa for a minimum of two years","Which of the following statements best describes your right to work in New Zealand?","TXT/50525850.txt	§Manager Alliance Française Christchurch§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Manager Alliance Française Christchurch§§Advertiser: §Alliance Francaise de Christchurch§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Sept 2020§§Location§§Canterbury§, §Christchurch§§Work Type§§Full Time§§Classification§§Administration &amp; Office Support§, §Other§§§§§§About Us:§  §Alliance Française is a worldwide network of non-profit associations dedicated to the promotion of the French language and the culture of Francophone countries around the world.  Founded in 1959, Alliance Francaise Christchurch (AFC) prides itself on a tradition of excellence in French language tuition and promotion of cultural activities.  Find out more from our website at www.afchristchurch.org.nz§  § §  §About the role:§  §Starting in January 2021, we have a fantastic opportunity for a full time, permanent role of §Manager Alliance Française Christchurch (fluent in both French and English) §to lead our team based in central Christchurch. With the support of the Executive Committee, this role is pivotal to our success and takes overall responsibility for the day to day leadership and management of the staff, students, members, facilities and activities of Alliance Française Christchurch; the second biggest Alliance Française in New Zealand.§  §Key responsibilities include:§ § §Provide oversight and strategy to all staff to achieve AFC’s goals after consultation with the President and the Executive Committee§ §Develop and manage all AFC staff – teachers, administrative support, interns§ §Plan, organise and oversee the implementation of the activities of AFC which include: § §French Language classes and workshops§ §A diverse programme of Social and Cultural activities§ § § §Responsible for the marketing and communications of AFC to drive sustained increases in student and member numbers§ §Raise the profile of AFC, via the effective promotion of the language and cultural activities, fostering links with businesses and French diplomatic circles, developing partnerships with educational and cultural organisations§ §Manage administration and financial matters; including developing policy and procedures, budgeting and financial planning§ §Take responsibility for the health and safety of AF staff and customers by maintaining a safe and healthy work environment§ §You are a confident, highly organised leader who is totally at ease wearing the different hats this varied role requires (people management, marketing and communications, finance, events organisation etc).  You have proven skills in managing relationships at all levels with diplomacy and professionalism. You have an approachable, unflappable and friendly disposition that will immediately put both customers and colleagues at ease and build great morale. You lead by example, demonstrating personal drive &amp; motivation, flexibility, attention to detail, excellent customer service and plenty of common sense; if you don’t know the answer, you take the initiative to draw support from those with the specialist knowledge to help you.§  §Role Requirements:§ § §Post secondary qualification (Diplôme (Fr), Licence (Fr), Tertiary Degree or other) required.§ §Relevant experience of leading a business unit and team highly desired.§ §Fluent in French and English§ §Demonstrated ability to lead a team; recruit, manage and develop talent effectively§ §Highly organised &amp; detail orientated with sound financial acumen§ §Excellent customer service, marketing and communication skills§ §Proactive and have proven effective networking skills§ §You are also a New Zealand citizen or resident (or hold a valid New Zealand work visa for a minimum of two years remaining), and possess a valid driver’s license§ § §  §How to Apply:§  §If this sounds like you and you want to be a part of this exciting and growing charitable society, send your CV and covering letter to §president@afchristchurch.org.nz§.  §Closing date for applications is 23 September, 2020.§  §Applicants should currently be in New Zealand and hold a current work visa / residency or NZ citizenship, also a NZ driver’s licence.§  §Please note: we do not always work to fixed closing dates and may start considering applications as they are received so we encourage you to apply early.§  §Please note that all applications are reviewed but only shortlisted candidates will be contacted. If you have any questions about your application please feel free to send an email to §president@afchristchurch.org.nz§.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§What&#x27;s your expected annual base salary?§§§"
50525990,https://www.seek.co.nz/job/50525990,"Chief Organiser Job in Otago - SEEK","Ahika Consulting","8 Sept 2020","Full Time","Otago, Dunedin","Administration & Office Support","Administrative Assistants",""," ","","","TXT/50525990.txt	§Chief Organiser§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Chief Organiser§§Advertiser: §Ahika Consulting§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Sept 2020§§Location§§Otago§, §Dunedin§§Salary§§$50,000 - $64,999§§Work Type§§Full Time§§Classification§§Administration &amp; Office Support§, §Administrative Assistants§§§§§§§About us§Join a small purpose-driven business that is committed to helping create sustainable futures.  §Ahikā is a Māori word relating to sustaining the fire and keeping the home fires burning. For us, it means sustaining and enhancing our place and our communities.  We work in areas significant to community well-being, including biodiversity and conservation; carbon, waste and energy management, and community development.  §We believe that by working together, we shape places where nature and communities thrive forever.  We bring vision and leadership to every stage of our projects and with our skilled team’s multi-disciplinary approach, we will uncover the richness in every client's project.§§Qualifications &amp; experience§§Be highly organised, energetic and capable.§High attention to detail, and ability to fill in the gaps.§Enjoy working in a small, agile team and alongside key clients (both NGOs and corporate), whilst also being able to drive projects autonomously.§Be fantastic at developing high trust relationships with a wide range of stakeholders.§Have a broad understanding of the conservation, environmental and sustainability sectors (technical knowledge or experience is a bonus).§Be excited about creating ideas for sustainable futures, and getting projects going.§Have a broad base of project management skills - use Office 365, Xero, WorkFlow Max, manage spreadsheets, payroll systems.§Familiar at working with external contractors and clients closely.§§§Tasks &amp; responsibilities§§Project and organisational management, both within Ahikā and some priority projects.§Contract management, reporting to project sponsors and clients.§Supporting our Managing Director to deliver quality outcomes.§Office support and administration.§Managing key projects &amp; contractors.§Information management.§Bookkeeping, budgeting &amp; reporting.§Payroll and employee contract management.§§§Benefits§§Join a small purpose-driven team that is committed to helping create sustainable futures.  §Flexible hours and place of work though ideally working from our Dunedin office 3-4 days per week.§12-month initial contract with the potential to extend to an ongoing position.§§§§§"
