jobId,jobUrl,jobTitle,advertiser,listingDate,workType,location,classification,subClassification,email,phone,experience,xenophobe,jobText
50365725,https://www.seek.co.nz/job/50365725,"Tutor Health and Well-being (Advanced Care and Support, Level 4) Job in Auckland - SEEK","Future Skills","6 Sept 2020","Full Time","Auckland, Manukau & East Auckland","Education & Training","Teaching - Vocational","","    (     4)","Minimum of 3 years","Which of the following statements best describes your right to work in New Zealand?","TXT/50365725.txt	§Tutor Health and Well-being (Advanced Care and Support, Level 4)§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Tutor Health and Well-being (Advanced Care and Support, Level 4)§§Advertiser: §Future Skills§§More jobs from this company§§§§Job Information§§Job Listing Date§§6 Sept 2020§§Location§§Auckland§, §Manukau &amp; East Auckland§§Work Type§§Full Time§§Classification§§Education &amp; Training§, §Teaching - Vocational§§§§§§Future Skills Academy is a NZQA Category 1 rated private tertiary education provider located in Manukau, Royal Oak and Auckland city, specializing in foundation and vocational training from Level 3 to Level 6.  § §Our School of Health and Community Support Services is seeking a dynamic and engaging programme tutor to teach and deliver the New Zealand Certificate in Health and well-being (Advanced Care and Support level 4).  The qualification will teach learners who have significant experience as a caregiver/support workers who want to gain additional knowledge and skills in senior care-giving support worker role. § §The position is based in Manukau Campus and is a full-time and permanent position involving class-room and practicum placement delivery. § §The ideal candidate would have had at least 3 years experience in the health care and support services working with age related disease such as dementia, head injury, diabetes.  The candidate will have a passion for teaching and coaching people to ensure those studying this level 4 qualification are work-ready.  § §You will have:§ § §Minimum of 3 years clinical experience working in the health care and support § §Diploma or bachelor degree in health and allied health or health related qualifications.§ §Experience in assessment and resource development for the programme  § §Excellent time management skills§ §Superior, proven coaching/mentoring abilities§ §Professional, personable and friendly§ §Excellent ability to be firm but fair and can set professional boundaries with ease§ §Understanding of Te Tiriti o Waitangi§ § The key responsibilities of the role include:§ § §To develop assessment and course material for the programme § §To provide learning opportunities within diverse learning contexts, which enhance student achievement and assist students to develop as independent learners.§ §To use a variety of effective teaching and learning methods.§ §To apply assessment practices, to facilitate and determine the effectiveness of student learning.§ §To support learners into workplace practicum and assess on location where required.§ §Liaise with workplace practicum supervisors to ensure that students are meeting their agreed learning outcomes§ §To participate in the review, design and development of courses and materials.  § § To manage learners and work load to meet TEC funding requirements and course completion targets. § §Preferably, you would have achieved, or be willing to achieve a tertiary adult teaching qualification (level 5 or above).§ §If a change in career path appeals to you, we’d love for you to get in touch and join our awesome team! Please respond with your CV and cover letter by applying now. §Applications close when suitable candidates are identified.§ § §§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§§§"
50365734,https://www.seek.co.nz/job/50365734,"Tutor/Mental Health and Addiction Support level 4 Job in Auckland - SEEK","Future Skills","6 Sept 2020","Full Time","Auckland, Auckland Central","Education & Training","Teaching - Tertiary","","      4","Minimum of 3 years","Which of the following statements best describes your right to work in New Zealand?","TXT/50365734.txt	§Tutor/Mental Health and Addiction Support level 4§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Tutor/Mental Health and Addiction Support level 4§§Advertiser: §Future Skills§§More jobs from this company§§§§Job Information§§Job Listing Date§§6 Sept 2020§§Location§§Auckland§, §Auckland Central§§Work Type§§Full Time§§Classification§§Education &amp; Training§, §Teaching - Tertiary§§§§§§Future Skills Academy is a NZQA Category 1 rated private tertiary education provider located in Manukau, Royal Oak and Auckland city, specializing in foundation and vocational training from Level 3 to Level 6.  § §Our School of Health and Community Support Services is seeking a dynamic and engaging programme tutor to teach and deliver the New Zealand Certificate in Mental Health and Addiction Support (level 4) at our Royal Oak Campus.§ §This is a full-time, permanent positions.  Practicum visits for assessment and observations during students placements are flexible.  § §The ideal candidate would have had at least 3 years clinical experience working with people in a mental health or addiction support service who has a passion for teaching and coaching people to ensure those studying this level 4 qualification are work-ready.  The candidate will preferably be well grounded in Maori cultural practices supporting the care of Tangata Whai Ora with  wide  experience in work practice and teaching in the areas of mental health and addiction.  § §You will have:§ § §Minimum of 3 years clinical experience working in a mental health/addiction support service§ §Excellent time management skills§ §Superior, proven coaching/mentoring abilities§ §Professional, personable and friendly§ §Excellent ability to be firm but fair and can set professional boundaries with ease§ §Understanding of Te Tiriti o Waitangi§ § The key responsibilities of the role include:§ § §To develop and provide learning opportunities within diverse learning contexts, which enhance student achievement and assist students to develop as independent learners.§ §To use a variety of effective teaching and learning methods.§ §To apply assessment practices, to facilitate and determine the effectiveness of student learning.§ §To support learners into workplace practicum and assess on location where required.§ §Liaise with workplace practicum supervisors to ensure that students are meeting their agreed learning outcomes§ §To participate in the review, design and development of courses and materials.  § § To manage learners and work load to meet TEC funding requirements and course completion targets. § §Preferably, you would have achieved, or be willing to achieve a tertiary adult teaching qualification (level 5 or above). A bachelor degree in health, allied health or health-related qualification is desirable. Preference will be given to candidates with a background in Health Services, Occupational Therapy, Social Work or Nursing.§If a change in career path appeals to you, we’d love for you to get in touch and join our awesome team! Please respond with your CV and cover letter by applying now. §Applications close when suitable candidates are identified.§ § §§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§§§"
50430905,https://www.seek.co.nz/job/50430905,"First Aid Instructor - Part Time Job in Auckland - SEEK","A1 First Aid (2009) Ltd","17 Sept 2020","Part Time","Auckland, Waitakere & West Auckland","Education & Training","Workplace Training & Assessment","","     ","How many years"," right to live and work ","TXT/50430905.txt	§First Aid Instructor - Part Time§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§First Aid Instructor - Part Time§§Advertiser: §A1 First Aid (2009) Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§17 Sept 2020§§Location§§Auckland§, §Waitakere &amp; West Auckland§§Work Type§§Part Time§§Classification§§Education &amp; Training§, §Workplace Training &amp; Assessment§§§§§§A1 First Aid is a Category 1 Provider, registered Private Training Establishment (PTE) with New Zealand Qualifications Authority (NZQA). We are looking for a dynamic, energetic and highly motivated First Aid Instructor with a passion for sharing their knowledge of First Aid, delivering First Aid courses to the highest standard in the Auckland area.§  §The successful candidate will have;§ § §Strong communication and interpersonal skills§ §Excellent presentation skills§ §The ability to teach a wide range of audiences§ §Excellent work ethic§ §Experience within the First Aid/Health sector§ §Computer skills§ §Be well presented§ §Great health§ §Time management skills§ §New Zealand residency§ §A full driver's license§ §Flexibility§ §The following qualifications are required for this role;§ § §First Aid Certificate 6400, 6401,6402 or 26551 and 26552§ §NZQA unit standard 4098 to assess candidates performance§ §Pre Hospital Emergency Care (PHEC)§ §New Zealand Resuscitation Council Emergency Care Level 2 (ECI2)§ §A certificate in adult education would be an advantage§ §Criminal record vetting§ §The position as a First Aid Instructor will be Part Time with Flexible hours, you will need to be available for Saturday work and occasional evening work.§  §www.a1firstaid.co.nz§  §If you are interested in this position please apply in writing via the link above or send an enquiry via our web site/address below.§  §Please note that only short-listed candidates will be contacted.§  § §§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Do you have a current New Zealand driver&#x27;s licence?§Do you have experience providing pre-hospital emergency care?§How many years&#x27; experience do you have as a tutor?§What&#x27;s your expected hourly rate?§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50467870,https://www.seek.co.nz/job/50467870,"Manager, Educational Delivery Job in Bay of Plenty - SEEK","H2R Consulting","21 Sept 2020","Full Time","Bay of Plenty, Tauranga","Education & Training","Management - Universities",""," 021 063 8511    26236","","","TXT/50467870.txt	§Manager, Educational Delivery§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Manager, Educational Delivery§§Advertiser: §H2R Consulting§§More jobs from this company§§§§Job Information§§Job Listing Date§§21 Sept 2020§§Location§§Bay of Plenty§, §Tauranga§§Work Type§§Full Time§§Classification§§Education &amp; Training§, §Management - Universities§§§§§§§§§  §    §      §      §        §Manager, Educational Delivery §        §          §            §Maintain the integrity of academic deliverables§            §Provide leadership and support to kaimahi (staff)§            §Based in Tauranga or Hamilton§          §          §Our client is looking for a registered (or in the process of being) social worker, with experience in adult teaching to help guide a team of 11 to plan and project manage the delivery of an academic programme.§          §We’re looking for strong communication skills to allow you to build relationships with internal and external stakeholders.  A proven leader, you will be asked to provide guidance to your team in technical and performance matters.§          §Working within a Kaupapa Māori organisation, we will look for you to bring a willingness to understand āhuatanga Māori (values, culture and tikanga).§          §If you have the qualifications required, please apply online now.  For further information, you can contact Rachael O'Sullivan on 021 063 8511, quoting reference number 26236.§        §        §        §      §    §  §§§ §Maintain the integrity of academic deliverables§ §Provide leadership and support to kaimahi (staff)§ §Based in Tauranga or Hamilton§ §Our client is looking for a registered (or in the process of being) social worker, with experience in adult teaching to help guide a team of 11 to plan and project manage the delivery of an academic programme.§ §We’re looking for strong communication skills to allow you to build relationships with internal and external stakeholders.  A proven leader, you will be asked to provide guidance to your team in technical and performance matters.§ §Working within a Kaupapa Māori organisation, we will look for you to bring a willingness to understand āhuatanga Māori (values, culture and tikanga).§ §If you have the qualifications required, please apply online now.  For further information, you can contact Rachael O'Sullivan on 021 063 8511, quoting reference number 26236.§§§§"
50478467,https://www.seek.co.nz/job/50478467,"Relief Teachers - ECE/Casual Job in Auckland - SEEK","ACG Education Limited","27 Sept 2020",Casual/Vacation,"Auckland, Papakura & Franklin","Education & Training","Teaching - Early Childhood","","   ","An opportunity has arisen for casual qualified or non-qualified relieving staff at ACG Strathallan preschool.  Our children enjoy a rich environment where teachers are passionate about interweaving literacy, numeracy, art and music into the curriculum.  We love messy play and have lots of fun in our mud kitchen!  As part of the ACG Strathallan campus, we are treated to the use of the college gymnasium, tennis courts, fields and facilities.  If you have a natural affinity with children and love making mud pies and would like to gain more experience working with children aged from 3 months to 5 years","Applicants for this position should have NZ residency or a valid NZ work visa.","TXT/50478467.txt	§Relief Teachers - ECE/Casual§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Relief Teachers - ECE/Casual§§Advertiser: §ACG Education Limited§§More jobs from this company§§§§Job Information§§Job Listing Date§§27 Sept 2020§§Location§§Auckland§, §Papakura &amp; Franklin§§Work Type§§Casual/Vacation§§Classification§§Education &amp; Training§, §Teaching - Early Childhood§§§§§§§§§  §    §    §      §Relief Teachers - ECE/Casual §      §        §Located in Karaka, Auckland, ACG Strathallan Preschool offers exceptional early childhood education where children aged three months to five years can grow and develop in our nurturing environment. Our teachers benefit from a highly–resourced, modern teaching environment and competitive remuneration.§        §An opportunity has arisen for casual qualified or non-qualified relieving staff at ACG Strathallan preschool.  Our children enjoy a rich environment where teachers are passionate about interweaving literacy, numeracy, art and music into the curriculum.  We love messy play and have lots of fun in our mud kitchen!  As part of the ACG Strathallan campus, we are treated to the use of the college gymnasium, tennis courts, fields and facilities.  If you have a natural affinity with children and love making mud pies and would like to gain more experience working with children aged from 3 months to 5 years of age this is the position for you! §        §We have a team of fully qualified and registered teachers (plus some amazing in–training student teachers) who provide high-quality care and learning experiences for our children.  The ACG Strathallan campus offers a beautiful, natural environment which complements our ethos of instilling a life–long love of learning in our students. Why commute to the city?§        §For further information about ACG Strathallan please visit www.acgedu.com.§        §Applicants for this position should have NZ residency or a valid NZ work visa.§        §Please apply online by visiting: https://hr.acgedu.com/positions/9207§      §      §      §    §  §§§Located in Karaka, Auckland, ACG Strathallan Preschool offers exceptional early childhood education where children aged three months to five years can grow and develop in our nurturing environment. Our teachers benefit from a highly–resourced, modern teaching environment and competitive remuneration.§ §An opportunity has arisen for casual qualified or non-qualified relieving staff at ACG Strathallan preschool.  Our children enjoy a rich environment where teachers are passionate about interweaving literacy, numeracy, art and music into the curriculum.  We love messy play and have lots of fun in our mud kitchen!  As part of the ACG Strathallan campus, we are treated to the use of the college gymnasium, tennis courts, fields and facilities.  If you have a natural affinity with children and love making mud pies and would like to gain more experience working with children aged from 3 months to 5 years of age this is the position for you! § §We have a team of fully qualified and registered teachers (plus some amazing in–training student teachers) who provide high-quality care and learning experiences for our children.  The ACG Strathallan campus offers a beautiful, natural environment which complements our ethos of instilling a life–long love of learning in our students. Why commute to the city?§ §For further information about ACG Strathallan please visit www.acgedu.com.§ §Applicants for this position should have NZ residency or a valid NZ work visa.§ §Please apply online by visiting: https://hr.acgedu.com/positions/9207§§§§"
50517563,https://www.seek.co.nz/job/50517563,"Teacher/Tutor - Maths Job in Auckland - SEEK","ACG Education Limited","7 Oct 2020","Full Time","Auckland, Papakura & Franklin","Education & Training","Teaching - Secondary","","  ","","Applicants for this position should have NZ residency or a valid NZ work visa.","TXT/50517563.txt	§Teacher/Tutor - Maths§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Teacher/Tutor - Maths§§Advertiser: §ACG Education Limited§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Oct 2020§§Location§§Auckland§, §Papakura &amp; Franklin§§Work Type§§Full Time§§Classification§§Education &amp; Training§, §Teaching - Secondary§§§§§§§§§  §    §    §      §Teacher/Tutor - Maths §      §        §We are looking for an outstanding permanent/ full time Mathematics teacher to join our motivated and vibrant team at ACG Strathallan, position commences Term 1 2021.§        §Experience of teaching the Cambridge curriculum would be an advantage but not essential.  Applicants should be suitably qualified and prepared to play an active part in the co-curricular and professional life of the school.  §        §Located in Karaka, Auckland, ACG Strathallan is a leading, independent, coeducational school. Our teachers benefit from a highly resourced and modern teaching environment and competitive remuneration.  §        §For further information about ACG Strathallan please visit www.acgedu.com.§        §Applicants for this position should have NZ residency or a valid NZ work visa.§        §Please apply online by visiting: https://hr.acgedu.com/positions/9236§      §      §      §    §  §§§We are looking for an outstanding permanent/ full time Mathematics teacher to join our motivated and vibrant team at ACG Strathallan, position commences Term 1 2021.§ §Experience of teaching the Cambridge curriculum would be an advantage but not essential.  Applicants should be suitably qualified and prepared to play an active part in the co-curricular and professional life of the school.  § §Located in Karaka, Auckland, ACG Strathallan is a leading, independent, coeducational school. Our teachers benefit from a highly resourced and modern teaching environment and competitive remuneration.  § §For further information about ACG Strathallan please visit www.acgedu.com.§ §Applicants for this position should have NZ residency or a valid NZ work visa.§ §Please apply online by visiting: https://hr.acgedu.com/positions/9236§§§§"
50524818,https://www.seek.co.nz/job/50524818,"Workplace Trainer - First Aid Job in Auckland - SEEK","Besafe Training Ltd","7 Sept 2020",Contract/Temp,"Auckland, Rodney & North Shore","Education & Training","Workplace Training & Assessment","","    ","How many years"," right to live and work ","TXT/50524818.txt	§Workplace Trainer - First Aid§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Workplace Trainer - First Aid§§Advertiser: §Besafe Training Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Sept 2020§§Location§§Auckland§, §Rodney &amp; North Shore§§Work Type§§Contract/Temp§§Classification§§Education &amp; Training§, §Workplace Training &amp; Assessment§§§§§§Are you looking for a contract training position with a professional training organisation who deliver high quality training to a range of industries?§ §We are a growing category 1 Private Training Establishment, specialising in Health and Safety training for industry.§ §We are looking for somebody with experience in the emergency services sector to deliver engaging and interactive first aid training to industry. § §You will have the drive to build strong relationships and a natural ability to deliver training material suitable to a diverse audience.§ § § §Role:§ § §Delivery of first aid training, theoretical and practical exercises§ §Assessment of candidates § §Ongoing support and training received§ §Training is based in Auckland but there will also be a requirement to travel outside of Auckland § § § §You will need:§ § §To be passionate about training and developing peoples knowledge and skills.§ §To be approachable and enjoy interacting with people§ §To be a confident and clear communicator§ §To have proven organisational and planning skills§ §To hold or be working towards unit standard 4098 or equivalent qualifications or experience (desirable)§ §To hold PHEC (Pre-hospital emergency care)§ § §§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Are you available to travel for this role when required?§What&#x27;s your expected annual base salary?§How many years&#x27; experience do you have in a training &amp; development role?§Do you have experience working for a registered training organisation (RTO)?§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50525009,https://www.seek.co.nz/job/50525009,"Early Childhood Centre Manager Job in Auckland - SEEK","Li&#x27;l Champs Early Learning and Montessori Centre","7 Sept 2020","Full Time","Auckland, Manukau & East Auckland","Education & Training","Teaching - Early Childhood",punita@lilchamps.co.nz,0212630412,"","","TXT/50525009.txt	§Early Childhood Centre Manager§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Early Childhood Centre Manager§§Advertiser: §Li&#x27;l Champs Early Learning and Montessori Centre§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Sept 2020§§Location§§Auckland§, §Manukau &amp; East Auckland§§Salary§§$65,000 - $74,999§§Work Type§§Full Time§§Classification§§Education &amp; Training§, §Teaching - Early Childhood§§§§§§This is an exciting opportunity for a role of a Centre Manager in an established ECE center which is managed by specialists educators and learning experts.§ §We are looking for a:§ §1. Passionate individual who can work with people, families, lead a supportive team§ §2. A person who has reasonable knowledge of ECE regulations and guidelines§ §3 Who holds current ECE Registration with teachers council.§ §4. Who has good business acumen, good administrative skills, good leadership skills and motivating communication abilities.§ §In addition we prefer if a candidate has:§ §1. Current NZ Driving license.§ §2. has a reasonable knowledge of Te Whariki and ECE regulations.§ §3. has reasonable abilities to work on computers and technology.§ §4. Has had some managerial experience in ECE sector of NZ.§ §We take pride in the performance of our center and are happy with growing trajectory of it.§ §Please note that staff is a happy group of people with excellent cordial working relationship.§ §If you feel confident that you are suited for the job then click apply button and email to §punita@lilchamps.co.nz§ or give her a call at §0212630412§.§ §.§ § §§§§"
50525076,https://www.seek.co.nz/job/50525076,"Teacher Aide Job in Auckland - SEEK","Prospect School","8 Sept 2020","Part Time","Auckland, Waitakere & West Auckland","Education & Training","Teaching Aides & Special Needs",""," ","How many years","","TXT/50525076.txt	§Teacher Aide§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Teacher Aide§§Advertiser: §Prospect School§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Sept 2020§§Location§§Auckland§, §Waitakere &amp; West Auckland§§Work Type§§Part Time§§Classification§§Education &amp; Training§, §Teaching Aides &amp; Special Needs§§§§§§§About us§Prospect School is a high-achieving, multicultural primary school of approximately 350 children from years 1 to 6. We are located in the West Auckland suburb of Glen Eden.§§Qualifications &amp; experience§§Background working with children§Background in health/medical field§Experience in special needs§Experience preferred in the above areas§§§Tasks &amp; responsibilities§§Supporting students with special needs§Works with students under teacher supervision on a set variety of standardised and specific tasks §Health and Safety of a student/s and may perform simple tasks related to feeding, personal hygiene and/or monitoring and observing these students§Form, develop and maintain positive, professional and  productive relationships with students, staff, education professionals and community members§§§§§The application form will include these questions:§§How many years&#x27; experience do you have as a teacher aide?§Do have experience working with people with autism spectrum disorder?§Do you have experience working with children?§Do you have experience working with young people with complex needs?§§§"
50525576,https://www.seek.co.nz/job/50525576,"Te Reo Maori Teacher Job in Auckland - SEEK","Prospero Group Ltd","7 Sept 2020","Full Time",Auckland,"Education & Training","Teaching - Secondary",nz@prosperoteaching.co.nz,"   ","How many years","Which of the following statements best describes your right to work in New Zealand?","TXT/50525576.txt	§Te Reo Maori Teacher§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Te Reo Maori Teacher§§Advertiser: §Prospero Group Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Sept 2020§§Location§§Auckland§§Work Type§§Full Time§§Classification§§Education &amp; Training§, §Teaching - Secondary§§§§§§§§§  §    §    §      §Te Reo Maori Teacher §      §        §Prospero Teaching NZ are currently working with a welcoming and forward thinking area school located within a tight-knit community in central Auckland.§        §Our client school is seeking a passionate NZ Registered Te Reo Maori Teacher who has Tamariki in the heart of everything they do to join their supportive team to commence in either Term 4 or January 2021.§        §The school will offer the successful candidate:§-    Dedicated and supportive staff and senior leadership team§-    Professional and career development opportunities§-    A friendly, collaborative and respectful environment, fostered by both staff and pupils, where everyone’s differences are celebrated§        §The school are looking for someone who: §-    Holds a relevant teaching qualification i.e. Bachelor’s, Master’s or Post Graduate Diploma§-    Holds NZ Teacher’s Registration§-    Possesses a genuine passion for teaching and leading children§-    Creates a safe and engaging learning environment where children are encouraged to reach their full potential§-    Has a willingness to participate in extra-curricular activities§        § §      §      §If the above sounds like the opportunity for you, Prospero Teaching would love to hear from you. CV applications for this role can be emailed to: §nz@prosperoteaching.co.nz§ or ring us on 0800 1AUSNZ to speak to one of our consultants §    §    §  §§§Prospero Teaching NZ are currently working with a welcoming and forward thinking area school located within a tight-knit community in central Auckland.§ §Our client school is seeking a passionate NZ Registered Te Reo Maori Teacher who has Tamariki in the heart of everything they do to join their supportive team to commence in either Term 4 or January 2021.§ §The school will offer the successful candidate:§-    Dedicated and supportive staff and senior leadership team§-    Professional and career development opportunities§-    A friendly, collaborative and respectful environment, fostered by both staff and pupils, where everyone’s differences are celebrated§ §The school are looking for someone who: §-    Holds a relevant teaching qualification i.e. Bachelor’s, Master’s or Post Graduate Diploma§-    Holds NZ Teacher’s Registration§-    Possesses a genuine passion for teaching and leading children§-    Creates a safe and engaging learning environment where children are encouraged to reach their full potential§-    Has a willingness to participate in extra-curricular activities§ § §§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§How many years&#x27; experience do you have as a teacher?§How much notice are you required to give your current employer?§§§"
