jobId,jobUrl,jobTitle,advertiser,listingDate,location,workType,classification,subClassification,email,phone,experience,xenophobe,jobText
"","","404 - Not Found",&#57488;,"Jobs/.html	","Jobs/.html	","Jobs/.html	","Jobs/.html	","Jobs/.html	",TXT/.html,"","","","TXT/.html	§§                 §    §§    §§§    §404 - Not Found§    §§  (function() {§    var lsValue = 'houston-reload';§    var houstonTrafficSize = 100;§    var isHoustonPath = /(\/|\/jobs.+)$/i.test(window.location.pathname);§    function reloadHouston(inTrial) {§      if (localStorage.getItem(lsValue) || !inTrial) {§        return;§      }§      function getCookieValue(name) {§        var match = document.cookie.match('(^|;)\\s*' + name + '\\s*=\\s*([^;]+)');§        return match ? match.pop() : '';§      }§      function getSegmentFrom(value) {§        return parseInt(value.match(/[^:]+$/)[0], 10);§      }§      function redirect() {§        var prefix = window.location.search ? '&' : '?';§        window.location.search = window.location.search + prefix + 'classicfirstvisit=true';§      }§      var segment = getSegmentFrom(getCookieValue('responsive-trial'));§      if (segment §§        §    §    §    §    §    §§    §§    §    §    §§    §§    §    §    §§    §    §    §§    §§    §        §    §§    §    §    §§//§§ §§    §        var matchTabletUA = false;§        ;§    §§    §§    §    §§    §    §§§var s_account = 'seekglobalprod,seekemployment';§§                §§    §        §&#57488;§        §                §        §    §§§    §     §   §   §   §   §   §   §   §   §  §    §§§§§§(function (w, d, s, l, i) {§w[l] = w[l] || []; w[l].push({§'gtm.start':§new Date().getTime(), event: 'gtm.js'§}); var f = d.getElementsByTagName(s)[0],§j = d.createElement(s), dl = l != 'dataLayer' ? '&l=' + l : ''; j.async = true; j.src =§'https://www.googletagmanager.com/gtm.js?id=' + i + dl; f.parentNode.insertBefore(j, f);§})(window, document, 'script', 'dataLayer', 'GTM-W8TTSW');§§    §        §§    §        §            §                §TXT§                §                §                    §Courses§                §                §                    §                    §Businesses for sale§                §                §                    §Volunteering§                §            §            §                §                §NZ§AU§                §            §        §    §§    §        §            §§    §    §SEEK homepage§    §§            §    §        §Employer site§    §    §            §                §Sign in§                or§                §Register§            §    §§        §    §        §§    §    §        §            §Job Search§            §Profile§            §              §Career Advice§            §            §        §    §    §§§§    §§  §  §  §  §    §    §§    §        §Whoopsie daisy&hellip;§    §§§    §The page you are looking for is no longer available.§    §        §            §Try these tips to help get you back on track:§            §                §Check the URL, there may be a typo.§                §Try going §back§ to the previous page.§            §        §    §§    §            §        §        §        §    §        §§    §        §            §Tools§            §            §Job search§            §Profile§            §Recommended jobs§            §Saved searches§            §Saved jobs§            §Applied jobs§            §Career Advice§            §            §Download apps§                           §                 §            §                §                §                    §iOS§                §                    §Android§                §            §            §SEEK sites§                           §                 §            §                §                §                    §Employer site§                    §SEEK AU§                    §Courses§                    §Businesses for sale§                    §Volunteering§                §                §            §          §        §        §            §Company§            §            §About SEEK§            §Newsroom§            §Investors§            §International partners§                      §            §            §                §                    §Bdjobs§ &#8211; Bangladesh§                    §BrighterMonday§ &#8211; Kenya§                    §Catho§ &#8211; Brazil§                    §Jobberman§ &#8211; Nigeria§                    §jobsDB§ &#8211; SE&nbsp;Asia§                    §JobStreet§ &#8211; SE&nbsp;Asia§                    §Jora§ &#8211; Worldwide§                    §OCC Mundial§ &#8211; Mexico§                    §Workana§ &#8211; Latin America§                    §Zhaopin§ &#8211; China§                    §Jora§ &#8211;§                         §                                New Zealand§                            §                    §                §            §§                 §Partner services§                           §                 §                 §                     §                        §                            §Sidekicker§                        §                     §                 §             §        §        §            §Connect§            §              §Help centre§              §Contact us§              §Work for SEEK§              §Product &amp; Tech Blog§              §                    §SEEK videos§                §              §Social§                        §              §            §                §                    §                    §Facebook§                    §Twitter§                    §Google+§                    §YouTube§                    §Instagram§                    §                §            §            §        §        §            §Employers§            §              §Register for free§ §              §Post a job ad§              §Products &amp; prices§              §Customer service§              §Hiring Advice§&nbsp;&nbsp;§New§              §Market Insights§&nbsp;&nbsp;§New§              §Recruitment software partners§            §        §        §            §Privacy§            §Terms & Conditions§            §Protect yourself online§            §&copy; SEEK.  All rights reserved.§        §    §§§{""@context"":""http://schema.org"",""@type"":""Organization"",""url"":""https://www.seek.co.nz/"",""legalName"":""Seek Limited"",""logo"":""https://www.seek.com.au/content/images/logos/seek-logo-positive.svg"",""sameAs"":[""https://www.facebook.com/SEEK/"",""https://en.wikipedia.org/wiki/Seek_Limited"",""https://www.youtube.com/user/SEEKTXT"",""https://www.instagram.com/seeknz/"",""https://twitter.com/seekjobsnz"",""https://plus.google.com/+seeknz"",""https://nz.linkedin.com/company/seek""],""contactPoint"":[{""@type"":""ContactPoint"",""telephone"":""+64-0508-733-569"",""contactType"":""customer service"",""contactOption"":""TollFree""}]}§§§    $('.mod-parent-menu').click(function (e) {§        e.preventDefault();§        $(this).next().toggle();§        $(this).toggleClass('menu-expanded');§    });§    /* --------------------------------- */§    /*    Send Omniture tracking info    */§    /* --------------------------------- */§    $('[data-omniture]').on('click', function() {§        var omniture = $(this).data('omniture');§        s.clearValues();§        if (s && s.tl && omniture) {§            s.tl(this, 'o', omniture);§        }§        return true;§    });§§    §§    §    §                §                §    §    §§    §    //§§        §§§"
50556646,https://www.seek.co.nz/job/50556646,"Supervisor  Job in Hawkes Bay - SEEK","Charles Street Takeaway","13 Sept 2020","Full Time","Hawkes Bay, Napier","Hospitality & Tourism",Management,""," ","How many years","Which of the following statements best describes your right to work in New Zealand?","TXT/50556646.txt	§Supervisor §§More jobs from this company§§§§§§§§§§§Job Description§§Job Header§§Supervisor §§Advertiser: §Charles Street Takeaway§§More jobs from this company§§§§Job Information§§Job Listing Date§§13 Sept 2020§§Location§§Hawkes Bay§, §Napier§§Salary§§You will be given a competitive wage. §§Work Type§§Full Time§§Classification§§Hospitality &amp; Tourism§, §Management§§§§§§§About us§Westshore's local Takeaway. A lively, modern fish &amp; chip shop in Westshore. We are reinventing the way Kiwi's in Hawke's Bay do traditional fish &amp; chips. The trendiest takeaway in the Bay. §§Qualifications &amp; experience§§Hospitality or management experience looked at but not necessary - personality is key.§§§Tasks &amp; responsibilities§§Managing all junior staff (roughly 15-20)§The front face of the store §Interacting and engaging with customers §Ordering stock§Opening/ Locking up the shop§Working with the owner and head cook on new menus §Cash handling §Cooking using deep fryers occasionally §Food prep§Learning all the day to day operations §§§Benefits§§We offer excellent working conditions including a great staff culture, a fun place to work and great pay for the right person.§§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Do you have customer service experience?§How many years&#x27; experience do you have in the hospitality &amp; tourism industry?§§§"
50640931,https://www.seek.co.nz/job/50640931,"Senior Sous Chef Job in Northland - SEEK","The Cove Cafe Restaurant and Bar","28 Sept 2020","Full Time","Northland, Whangarei","Hospitality & Tourism",Chefs/Cooks,"","  ","How many years","Which of the following statements best describes your right to work in New Zealand?","TXT/50640931.txt	§Senior Sous Chef§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Senior Sous Chef§§Advertiser: §The Cove Cafe Restaurant and Bar§§More jobs from this company§§§§Job Information§§Job Listing Date§§28 Sept 2020§§Location§§Northland§, §Whangarei§§Salary§§$70,000 - $89,999§§Work Type§§Full Time§§Classification§§Hospitality &amp; Tourism§, §Chefs/Cooks§§§§§§The Jetson group which owns the Quay, Cove, Dune 8, Fire  and 8 is now recruiting kitchen staff for their new venture Loco, a South American Bar eatery opening mid November 2020 in the heart of Whangarei. For this restaurant we are now recruiting a Senior Sous Chef and other roles such as Chef de Parti, Commi Chefs and general kitchen hands. We are also recruiting a Senior Sous Chef for our award winning restaurant The Cove based in Waipu Cove. The Cove is opposite one of Northlands best surf beaches and is ideally situated for those wanting to enjoy the outdoor lifestyle on their days off. We are hoping to fill these roles as soon as possible as we prepare for one of our busiest time of year. We are a growing company with eateries located from the Bay of Plenty all the way up to Whangarei. So if you are looiking to join a successful restaurant group which is constatly expanding and adding differnt concepts to their portfolio with the chance to move up through the ranks now is your chance. If you are wanting to move out of the cities without taking a backward step in your career now is the chance. If you are pasionate about food and want a great lifestyle balance now is your chance!!!§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§How many years&#x27; experience do you have as a sous chef?§§§"
50689186,https://www.seek.co.nz/job/50689186,"Hotel Reception Opportunities Job in Taranaki - SEEK","Novotel New Plymouth","6 Oct 2020","Part Time","Taranaki, New Plymouth","Hospitality & Tourism","Front Office & Guest Services","","  ","","Which of the following statements best describes your right to work in New Zealand?","TXT/50689186.txt	§Hotel Reception Opportunities§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Hotel Reception Opportunities§§Advertiser: §Novotel New Plymouth§§More jobs from this company§§§§Job Information§§Job Listing Date§§6 Oct 2020§§Location§§Taranaki§, §New Plymouth§§Work Type§§Part Time§§Classification§§Hospitality &amp; Tourism§, §Front Office &amp; Guest Services§§§§§§If you are a motivated, bubbly, vibrant and experienced Front Office Superstar and want to join a friendly team, we would love to hear from you!§ § § §We have two roles available within our front office team:§ § §Guest Service Agent (part-time, 20-30 hours per week, $18.90 per hour)§ §Night Auditor (part-time, 16-20 hours per week, $18.90-20.50 per hour)§ § § §You need to be 'guest-centric', passionate, and performance-driven, keeping an emphasis on what our guests want, individualizsing, and personalising service to build a real human connection. These roles will report directly to the Front Office Manager and our ideal candidate will have previous experience in similar roles.§ § § §Guest Service Agent§ §Often the first point of contact for our guests, your strong communication skills will shine through in this role, by delivering excellent guest service from check-in to check out and everywhere in between. This role is hands-on and will include AM and PM shifts over a 7-day week roster. As a team player, you will lead by example and have a visible presence on the front desk and in the lobby during key times throughout your shift.§ § § §The role:§ § §Checking guests in and out§ §Answering and directing phone calls§ §Making reservations requested on email or phone§ §Action guest requests in a timely manner§ §Guest transport to and from the airport§ §Collating guest accounts§ §Day to day tasks associated with a front-office role§ § § §What we need from you:§ § §A genuine, outgoing, and friendly personality and manner§ §Previous experience in a similar role preferred§ §Excellent presentation and grooming§ §Flexibility to work shifts on a rotating roster, including mornings, evenings and weekends for minimum 20-30 hours per week§ §Well-developed communication and customer service skills§ §Well-developed computer skills including MS Office, emails, and OPERA Property Management System (or alternative similar system)§ §Hotel reservations flow knowledge§ §An understanding of Covid-19 prevention measures and how to keep yourself and guests safe, by following strict hygiene and sanitation processes§ §Previous experience in a similar Hotel Front Office Guest Service Agent position (at least 1 year)§ §A hospitality diploma or degree will be an advantage§ §A current LCQ or Manager’s Certificate will be an advantage§ §A FULL NZ driver's license is a MUST as you will be required to do guest airport pickups and drop-offs (ability to drive a Toyota Hiace Van)§ § § §Night Auditor§ §If you love working at night, have previous experience working as a Night Auditor, or are currently employed in the industry and are looking to make a change, then this opportunity is for you.  You will work 2-3 Night Audit shifts per week, between 10:30 pm and 06:30 am by yourself.§ § § §The role:§ § §Completing and maintaining the Night Audit process with a high level of accuracy and attention to detail.§ §Daily balancing of all financial transactions with the hotel§ §Providing accurate and up to date financial and yield reports as directed§ §General front desk duties including check-in and check out of a guest, taking and making reservations.§ §Overnight management of the hotel and its guests§ §Daily compilation and distribution of requested reports to department heads§ §Health and Safety consciousness§ §Guest transport to and from the airport§ § § §What we need from you:§ § §A genuine, outgoing, and friendly personality and manner§ §Previous experience in a similar role, preferably in a hotel environment§ §Solid organizational skills with attention to detail in tasks performed§ §Demonstrated to work independently§ §You will be a self-motivated person§ §Well-developed communication and customer service skills§ §Well-developed computer skills including MS Office (especially Excel), emails, and OPERA Property Management System (or alternative similar system)§ §An understanding of Covid-19 prevention measures and how to keep yourself and guests safe, by following strict hygiene and sanitation processes§ §Hotel reservations flow knowledge§ §Excellent presentation and grooming§ §A current 1st Aid certificate will be an advantage§ §You have an LCQ certificate§ §A current Manager’s Certificate will be an advantage§ §A FULL NZ driver's license is a MUST as you will be required to do guest airport pickups and drop-offs (ability to drive a Toyota Hiace Van)§ § § §You MUST be eligible to work in NZ (citizen, resident, or open work visa valid for at least another 12-24 months). No sponsorship opportunities will be available for these roles.§ §If this sounds like you, please click the 'apply for this job' button and send through an updated CV and cover letter explaining why you would be the ideal candidate for this role.  Also note which role your are applying for.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Do you have customer service experience?§Do you have a current New Zealand driver&#x27;s licence?§Do you hold a current New Zealand General Managers certificate?§How much notice are you required to give your current employer?§If you have a work visa, please give us more details on its validity and type of work visa§What hospitality qualifications and experience do you have?§Will you be able to drive a Toyota Hiace Van?§§§"
50696905,https://www.seek.co.nz/job/50696905,"Cabinet Food Maker / Cafe Assistant Job in Auckland - SEEK","Little Melba 151 Queen Street","7 Oct 2020","Full Time","Auckland, Auckland Central","Hospitality & Tourism","Kitchen & Sandwich Hands","","     ","","Which of the following statements best describes your right to work in New Zealand?","TXT/50696905.txt	§Cabinet Food Maker / Cafe Assistant§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Cabinet Food Maker / Cafe Assistant§§Advertiser: §Little Melba 151 Queen Street§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Oct 2020§§Location§§Auckland§, §Auckland Central§§Salary§§$20 - $24.99 per hour§§Work Type§§Full Time§§Classification§§Hospitality &amp; Tourism§, §Kitchen &amp; Sandwich Hands§§§§§§Little Melba Queen Street is after a cabinet food maker extraordinaire  - passionate foodie with previous experience in a similar role. Able to deliver great looking, fresh, healthy cabinet food while meeting food costs and budgets. Cabinet food ranges from breakfast foods through to lunch sandwiches and wraps and also sweet treats such as no bake slices etc. Strong knowledge of healthy food ingredients for salads etc. You will need to be able to work with the Food Control Plan.§ § § §- This is not a traditional 'chef' role. We do not have a kitchen. You will be preparing food behind the cafe counter and some front of house work is also required.§ §- Please email me your CV.§ §- Each application MUST be accompanied by a cover letter outlining your experience that makes you an awesome fit for the role. Cover letter MUST include a description of your most recent cabinet food role and also some photos of your food.§ §- Your CV needs to show current, relevant experience in making and presenting 5 star cabinet food.§ §Melba is an iconic cafe starting in Vulcan Lane and now in 8 great locations.§ §We need people who:§ §are full of ENERGY§have great PERSONALITIES§can work as part of a TEAM§can MULTI - TASK§love delivering great CUSTOMER SERVICE§Love making great FOOD &amp; COFFEE!§CARES about the customers§IS NOT a premadonna!§is great with PEOPLE§&amp; can LISTEN!§ §Hours vary between 6:30am and 4:00pm daily. We are open 5 days, Monday to Friday.§ § §We pride ourselves on the service we provide to our customers, and the efficiency with which it is delivered. § §Daytime only - no nights or weekends. § §Starting date is Monday 19th October with some training shifts required the previous week.§ §https://melba.nz/§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Do you have customer service experience?§How much notice are you required to give your current employer?§§§"
50701809,https://www.seek.co.nz/job/50701809,"Front of House Job in Hawkes Bay - SEEK","Abbey Cellars","7 Oct 2020","Part Time","Hawkes Bay, Hastings","Hospitality & Tourism","Waiting Staff","","  ","","Which of the following statements best describes your right to work in New Zealand?","TXT/50701809.txt	§Front of House§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Front of House§§Advertiser: §Abbey Cellars§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Oct 2020§§Location§§Hawkes Bay§, §Hastings§§Salary§§$20 - $23 per hour§§Work Type§§Part Time§§Classification§§Hospitality &amp; Tourism§, §Waiting Staff§§§§§§About the Role§We are seeking a weekend warrior. Reporting to our cellar door Manager, you will be responsible for hosting our guests and offering them an experience that encourages them to enjoy their time at the Abbey, but also to purchase our wine and beer for takeaway and extras like becoming part of our wine club.§You will need to be comfortable speaking to groups and offering exceptional customer service to everyone who visits us.§Someone that can make a few flat white coffees§A photographic memory of orders helps.§ §Saturday 10-6pm§Sunday 10-5pm§ §Can lead into Thursday &amp; Friday work in summer if need more hours.§ §Other duties include:§Filling shelves, cleaning glasses.§Run or Assist with winery tours and personalised wine experiences§ §About you§We are looking for a vibrant, outgoing person who has a passion for wine and beer and is keen to learn as they go. You will be a natural seller and are able to read a room in order to offer the best experience for the people or group you are hosting. Experience in the wine or hospitality industry is an advantage.§Able to work weekends§A Duty Manager Certificate would be an advantage§Previous experience in the wine or hospitality industry is an advantage§Espresso coffee skills is an advantage§Computer literacy§A reliable mode of transport is required§ §If this sounds like you, we want to hear more.  In your application tell us why you would be perfect for this role and the company; and if we agree we’ll be in touch.§ §Please only apply if you are legally able to work in New Zealand permanently.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Do you have customer service experience?§Have you worked in a role which requires a sound understanding of the styles and properties of wine?§How would you rate your English language skills?§Do you have experience using point of sale (POS) software?§§§"
50704449,https://www.seek.co.nz/job/50704449,"Front of house -  Fulltime  Job in Auckland - SEEK",FieldsCafe,"8 Oct 2020","Full Time","Auckland, Rodney & North Shore","Hospitality & Tourism","Waiting Staff",manager@fieldscafe.co.nz,"      ","How many years","Which of the following statements best describes your right to work in New Zealand?","TXT/50704449.txt	§Front of house -  Fulltime §§More jobs from this company§§§§§§§§Job Description§§Job Header§§Front of house -  Fulltime §§Advertiser: §FieldsCafe§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Oct 2020§§Location§§Auckland§, §Rodney &amp; North Shore§§Salary§§$20 - $24.99 per hour§§Work Type§§Full Time§§Classification§§Hospitality &amp; Tourism§, §Waiting Staff§§§§§§Fields is a family friendly eatery in the heart of Albany, brought to you by the WooZoo Group, the team behind Percy in Mangere and Spectra in New Pwc Building, Britomart.§At Fields, we're committed to providing an exceptional experience for our guests through slick service, menu innovation and phenomenal coffee, in a welcoming atmosphere. We are looking for full time Front of house staff to join our team.§The Front of House position will include the following duties:§Being part of a high performing team, supporting and collaborating with your team to ensure the cafe is running efficiently and excellent customer service§Keeping the Cafe clean and presentable and maintaining food safety and hygiene standards.§Coffee-making skill and alcohol knowledge will be an advantage§Have excellent attention to detail, able to multitask and work in a multicultural environment.§You will preferably have a minimum of 1 year of experience working in a busy cafe or restaurant.§ §As a growing hospitality group, we are interested in building our team and giving our staff the best opportunities to grow. We are interested in supporting our team with both their career and personal endeavours, offering education and development in our team's skills.§The successful applicant must be honest and reliable, have excellent attention to detail, be able to multitask and work in a multicultural environment. They should ensure that all tasks are completed in a timely manner to enable swift and efficient service as well as co-operating well with all levels of the team.§Applicants must be legally entitled to work in New Zealand. You must be either a New Zealand Citizen, Permanent Resident or hold a current and open work visa with at least 12 months until expiry.§So, if you’ve got exceptional chef skills and are ready to get cooking, drop your cv to §manager@fieldscafe.co.nz§ [link removed]. We look forward to hearing from you!§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Do you hold a current Motor Vehicle Sales licence?§Do you hold a current New Zealand General Managers certificate?§How many years of people management experience do you have?§Do you have experience using point of sale (POS) software?§§§"
50704694,https://www.seek.co.nz/job/50704694,"Food & Beverage Attendant Job in Waikato - SEEK","Accor Vacation Club","8 Oct 2020","Part Time","Waikato, Thames & Coromandel","Hospitality & Tourism","Waiting Staff","","   ","","","TXT/50704694.txt	§Food &amp; Beverage Attendant§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Food &amp; Beverage Attendant§§Advertiser: §Accor Vacation Club§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Oct 2020§§Location§§Waikato§, §Thames &amp; Coromandel§§Work Type§§Part Time§§Classification§§Hospitality &amp; Tourism§, §Waiting Staff§§§§§§§§§  §    §    §      §Food &amp; Beverage Attendant §      §        §The Grand Mercure Puka Park Resort in on a majestic mountainside at Pauanui Beach on the beautiful Coromandel Peninsula on New Zealand’s North Island. Our Resort is known for its distinctive product, amazing service and its outstanding hospitality.§        § §        §We are seeking an experienced Food and Beverage Attendant to join our team in our Miha restaurant.§        § §        §Responsibilities include:§        §          §Efficient, friendly &amp; professional service to all guests§          §Table service &amp; order taking§          §Food &amp; beverage delivery§          §Table clearance, cleaning and resets§        §        §To be successful you will have:§        §          §Outstanding customer service skills§          §Experience working in a la carte service restaurant§          §Initiative to be proactive during quieter periods§          §Knowledge of &amp; passion for food &amp; wine is preferable§          §Willing &amp; able to work a rotating roster including weekends, public holidays &amp; late nights§        §        § If this sounds like your next challenge, apply now!§Pauanui§      §    §    §  §§§The Grand Mercure Puka Park Resort in on a majestic mountainside at Pauanui Beach on the beautiful Coromandel Peninsula on New Zealand’s North Island. Our Resort is known for its distinctive product, amazing service and its outstanding hospitality.§ §We are seeking an experienced Food and Beverage Attendant to join our team in our Miha restaurant.§ §Responsibilities include:§Efficient, friendly &amp; professional service to all guests§Table service &amp; order taking§Food &amp; beverage delivery§Table clearance, cleaning and resets§To be successful you will have:§Outstanding customer service skills§Experience working in a la carte service restaurant§Initiative to be proactive during quieter periods§Knowledge of &amp; passion for food &amp; wine is preferable§Willing &amp; able to work a rotating roster including weekends, public holidays &amp; late nights§ If this sounds like your next challenge, apply now!§Pauanui  §§§§"
50682125,https://www.seek.co.nz/job/50682125,"Food Service Manager - MidCentral DHB Job in Manawatu - SEEK","Compass Group NZ Ltd","5 Oct 2020","Full Time","Manawatu, Palmerston North","Hospitality & Tourism",Management,radhika.dodderi@compass-group.co.nz,0272033535,""," right to live and work ","TXT/50682125.txt	§Food Service Manager - MidCentral DHB§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Food Service Manager - MidCentral DHB§§Advertiser: §Compass Group NZ Ltd§§More jobs from this company§§§§Job Information§§Job Listing Date§§5 Oct 2020§§Location§§Manawatu§, §Palmerston North§§Work Type§§Full Time§§Classification§§Hospitality &amp; Tourism§, §Management§§§§§§§§§  §    §    §Food Service Manager - MidCentral DHB §    §      §        §Compass Group New Zealand have an exciting opportunity for a §Food Services Manager§ for our client §MidCentral District Health Board§ based at §Palmerston North Hospital.§ This role would suit an articulate and dynamic leader, who is able to competently juggle multiple demands within a challenging healthcare environment. The successful candidate would need comprehensive knowledge of the food service industry in the healthcare/hospital sector with a dynamic practical problem-solving approach.§        §Compass Group is the global market leader in providing food services and a range of support services to customers in the workplace, schools &amp; colleges, hospitals and in remote operations around the world. Medirest provides specialist food, hospitality and support services to residents and patients in hospitals and senior living facilities throughout New Zealand.§        §The position requires a talented and visionary operational leader who inspires teams to achieve outstanding levels of performance while focusing on reducing complexity through change leadership. As the Food Services Manager you will be responsible for managing the catering operations in a safe and efficient manner. This role is also responsible for ensuring that all tasks associated with food production are performed with due regard for all Health and Safety, and Food Safety regulations.§        §If you love a role where you can roll up your sleeves and work together with the team to achieve the best, then this is the role for you!§        §As the world's leading foodservice company Compass can offer amazing learning opportunities at all levels. Such opportunities will help you develop personally as well as professionally. Ultimately, you'll be well prepared for a bright future with us - a future that could take you almost anywhere.§        §For further information, please contact Radhika Dodderi in the Recruitment Centre on §0272033535§ or email at §radhika.dodderi@compass-group.co.nz§        §All applications are to be made online.§        §Closing date: 5th November 2020 unless filled earlier§      §      §Radhika Dodderi§0272033535§radhika.dodderi@compass-group.co.nz§ §    §    §    §www.compass-group.co.nz§  §§§Compass Group New Zealand have an exciting opportunity for a §Food Services Manager§ for our client §MidCentral District Health Board§ based at §Palmerston North Hospital.§ This role would suit an articulate and dynamic leader, who is able to competently juggle multiple demands within a challenging healthcare environment. The successful candidate would need comprehensive knowledge of the food service industry in the healthcare/hospital sector with a dynamic practical problem-solving approach.§Compass Group is the global market leader in providing food services and a range of support services to customers in the workplace, schools &amp; colleges, hospitals and in remote operations around the world. Medirest provides specialist food, hospitality and support services to residents and patients in hospitals and senior living facilities throughout New Zealand.§The position requires a talented and visionary operational leader who inspires teams to achieve outstanding levels of performance while focusing on reducing complexity through change leadership. As the Food Services Manager you will be responsible for managing the catering operations in a safe and efficient manner. This role is also responsible for ensuring that all tasks associated with food production are performed with due regard for all Health and Safety, and Food Safety regulations.§If you love a role where you can roll up your sleeves and work together with the team to achieve the best, then this is the role for you!§As the world's leading foodservice company Compass can offer amazing learning opportunities at all levels. Such opportunities will help you develop personally as well as professionally. Ultimately, you'll be well prepared for a bright future with us - a future that could take you almost anywhere.§For further information, please contact Radhika Dodderi in the Recruitment Centre on §0272033535§ or email at §radhika.dodderi@compass-group.co.nz§All applications are to be made online.§Closing date: 5th November 2020 unless filled earlier§§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50694296,https://www.seek.co.nz/job/50694296,"Restaurant Staff Job in Auckland - SEEK","Onslow Restaurant Limited","7 Oct 2020","Full Time","Auckland, Auckland Central","Hospitality & Tourism","Waiting Staff",manager@onslow.nz," ","","Which of the following statements best describes your right to work in New Zealand?","TXT/50694296.txt	§Restaurant Staff§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Restaurant Staff§§Advertiser: §Onslow Restaurant Limited§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Oct 2020§§Location§§Auckland§, §Auckland Central§§Salary§§$15 - $24.99 per hour§§Work Type§§Full Time§§Classification§§Hospitality &amp; Tourism§, §Waiting Staff§§§§§§We are looking for dedicated and experienced staff to join our exciting new high-end and contemporary restaurant.§We know that the people are just as important as the food in creating an extraordinary dining experience which is why we need a team wanting to go the extra mile to deliver something special. §We are currently looking to recruit the following key positions with full &amp; part time positions available:§Bartender§Senior Waiters§Runners§Kitchen Porters§To join the team you’ll need to have relevant experience in a similar role and a strong customer focus. With a passion for hospitality, no problem should be too big and no request too tricky. You’ll need to be a team player who strives to deliver the highest standards possible and be able to show proven success.§If this sounds like you and fits with your skills and experience, please click apply below to send us your CV with a covering letter explaining what makes you stand out from the rest clearly stating which position you are applying for.§Preference will be given to citizens or those with Resident class visa holders. All applicants must have a valid work visa. §To request a copy of the relevant job description please email: §manager@onslow.nz§ §§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§§§"
50700998,https://www.seek.co.nz/job/50700998,"Barista & Front of House Staff Job in Auckland - SEEK","Cornwall Park Eateries","7 Oct 2020","Full Time","Auckland, Auckland Central","Hospitality & Tourism","Bar & Beverage Staff","","     ","We need industry professionals with at least 2 years"," right to live and work ","TXT/50700998.txt	§Barista &amp; Front of House Staff§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Barista &amp; Front of House Staff§§Advertiser: §Cornwall Park Eateries§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Oct 2020§§Location§§Auckland§, §Auckland Central§§Work Type§§Full Time§§Classification§§Hospitality &amp; Tourism§, §Bar &amp; Beverage Staff§§§§§§We have three venues operating in Cornwall Park - a Café, Creamery and Bistro. We seek a professional §BARISTA§  and §FRONT OF HOUSE§ staff.§ §The §Café§ is a busy fast-paced environment offering a wide range of counter food, a la carte menu etc§ §The §Creamery§ is a busy take away venue selling coffee, cold drinks, hot and cold food, ice cream and more.§ §The §Bistro§ is a semi-formal dining establishment with an a la carte menu as well as offering daily High Tea and is a fabulous function and event option also.§ §If you are an experienced and talented §BARISTA§ and §FRONT OF HOUSE §star and want to progress to the next level ... we need to talk!§ §We need industry professionals with at least 2 years of experience who have bundles of energy, are able to work under pressure, be articulate and talented, well-groomed and have excellent communication skills. There is plenty of opportunity for development in a number of different roles for those that show excellence in this environment.§ §Hours vary between 7.00 am and 6:00 pm daily. We are open 7 days. Must be able to work weekends. Free parking!§We pride ourselves on the service we provide to our customers and the efficiency with which it is delivered.§ §Immediate start. Please send your CV now.  Please note, only those with relevant coffee making and/or Front of House experience will be contacted.§ § § § §§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
