jobId,jobUrl,jobTitle,advertiser,listingDate,location,workType,classification,subClassification,email,phone,experience,xenophobe,jobText
"","","404 - Not Found",&#57488;,"Jobs/.html	","Jobs/.html	","Jobs/.html	","Jobs/.html	","Jobs/.html	",TXT/.html,"","","","TXT/.html	§§                 §    §§    §§§    §404 - Not Found§    §§  (function() {§    var lsValue = 'houston-reload';§    var houstonTrafficSize = 100;§    var isHoustonPath = /(\/|\/jobs.+)$/i.test(window.location.pathname);§    function reloadHouston(inTrial) {§      if (localStorage.getItem(lsValue) || !inTrial) {§        return;§      }§      function getCookieValue(name) {§        var match = document.cookie.match('(^|;)\\s*' + name + '\\s*=\\s*([^;]+)');§        return match ? match.pop() : '';§      }§      function getSegmentFrom(value) {§        return parseInt(value.match(/[^:]+$/)[0], 10);§      }§      function redirect() {§        var prefix = window.location.search ? '&' : '?';§        window.location.search = window.location.search + prefix + 'classicfirstvisit=true';§      }§      var segment = getSegmentFrom(getCookieValue('responsive-trial'));§      if (segment §§        §    §    §    §    §    §§    §§    §    §    §§    §§    §    §    §§    §    §    §§    §§    §        §    §§    §    §    §§//§§ §§    §        var matchTabletUA = false;§        ;§    §§    §§    §    §§    §    §§§var s_account = 'seekglobalprod,seekemployment';§§                §§    §        §&#57488;§        §                §        §    §§§    §     §   §   §   §   §   §   §   §   §  §    §§§§§§(function (w, d, s, l, i) {§w[l] = w[l] || []; w[l].push({§'gtm.start':§new Date().getTime(), event: 'gtm.js'§}); var f = d.getElementsByTagName(s)[0],§j = d.createElement(s), dl = l != 'dataLayer' ? '&l=' + l : ''; j.async = true; j.src =§'https://www.googletagmanager.com/gtm.js?id=' + i + dl; f.parentNode.insertBefore(j, f);§})(window, document, 'script', 'dataLayer', 'GTM-W8TTSW');§§    §        §§    §        §            §                §TXT§                §                §                    §Courses§                §                §                    §                    §Businesses for sale§                §                §                    §Volunteering§                §            §            §                §                §NZ§AU§                §            §        §    §§    §        §            §§    §    §SEEK homepage§    §§            §    §        §Employer site§    §    §            §                §Sign in§                or§                §Register§            §    §§        §    §        §§    §    §        §            §Job Search§            §Profile§            §              §Career Advice§            §            §        §    §    §§§§    §§  §  §  §  §    §    §§    §        §Whoopsie daisy&hellip;§    §§§    §The page you are looking for is no longer available.§    §        §            §Try these tips to help get you back on track:§            §                §Check the URL, there may be a typo.§                §Try going §back§ to the previous page.§            §        §    §§    §            §        §        §        §    §        §§    §        §            §Tools§            §            §Job search§            §Profile§            §Recommended jobs§            §Saved searches§            §Saved jobs§            §Applied jobs§            §Career Advice§            §            §Download apps§                           §                 §            §                §                §                    §iOS§                §                    §Android§                §            §            §SEEK sites§                           §                 §            §                §                §                    §Employer site§                    §SEEK AU§                    §Courses§                    §Businesses for sale§                    §Volunteering§                §                §            §          §        §        §            §Company§            §            §About SEEK§            §Newsroom§            §Investors§            §International partners§                      §            §            §                §                    §Bdjobs§ &#8211; Bangladesh§                    §BrighterMonday§ &#8211; Kenya§                    §Catho§ &#8211; Brazil§                    §Jobberman§ &#8211; Nigeria§                    §jobsDB§ &#8211; SE&nbsp;Asia§                    §JobStreet§ &#8211; SE&nbsp;Asia§                    §Jora§ &#8211; Worldwide§                    §OCC Mundial§ &#8211; Mexico§                    §Workana§ &#8211; Latin America§                    §Zhaopin§ &#8211; China§                    §Jora§ &#8211;§                         §                                New Zealand§                            §                    §                §            §§                 §Partner services§                           §                 §                 §                     §                        §                            §Sidekicker§                        §                     §                 §             §        §        §            §Connect§            §              §Help centre§              §Contact us§              §Work for SEEK§              §Product &amp; Tech Blog§              §                    §SEEK videos§                §              §Social§                        §              §            §                §                    §                    §Facebook§                    §Twitter§                    §Google+§                    §YouTube§                    §Instagram§                    §                §            §            §        §        §            §Employers§            §              §Register for free§ §              §Post a job ad§              §Products &amp; prices§              §Customer service§              §Hiring Advice§&nbsp;&nbsp;§New§              §Market Insights§&nbsp;&nbsp;§New§              §Recruitment software partners§            §        §        §            §Privacy§            §Terms & Conditions§            §Protect yourself online§            §&copy; SEEK.  All rights reserved.§        §    §§§{""@context"":""http://schema.org"",""@type"":""Organization"",""url"":""https://www.seek.co.nz/"",""legalName"":""Seek Limited"",""logo"":""https://www.seek.com.au/content/images/logos/seek-logo-positive.svg"",""sameAs"":[""https://www.facebook.com/SEEK/"",""https://en.wikipedia.org/wiki/Seek_Limited"",""https://www.youtube.com/user/SEEKTXT"",""https://www.instagram.com/seeknz/"",""https://twitter.com/seekjobsnz"",""https://plus.google.com/+seeknz"",""https://nz.linkedin.com/company/seek""],""contactPoint"":[{""@type"":""ContactPoint"",""telephone"":""+64-0508-733-569"",""contactType"":""customer service"",""contactOption"":""TollFree""}]}§§§    $('.mod-parent-menu').click(function (e) {§        e.preventDefault();§        $(this).next().toggle();§        $(this).toggleClass('menu-expanded');§    });§    /* --------------------------------- */§    /*    Send Omniture tracking info    */§    /* --------------------------------- */§    $('[data-omniture]').on('click', function() {§        var omniture = $(this).data('omniture');§        s.clearValues();§        if (s && s.tl && omniture) {§            s.tl(this, 'o', omniture);§        }§        return true;§    });§§    §§    §    §                §                §    §    §§    §    //§§        §§§"
50709245,https://www.seek.co.nz/job/50709245,"Property/Conveyancing Legal Executive Job in Canterbury - SEEK","Allen & Yee Lawyers","8 Oct 2020","Full Time","Canterbury, Christchurch",Legal,"Property Law",jane.allen@allenyeelawyers.co.nz,"  ","","","TXT/50709245.txt	§Property/Conveyancing Legal Executive§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Property/Conveyancing Legal Executive§§Advertiser: §Allen &amp; Yee Lawyers§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Oct 2020§§Location§§Canterbury§, §Christchurch§§Work Type§§Full Time§§Classification§§Legal§, §Property Law§§§§§§A vacancy has arisen for an experienced Legal Executive in our dynamic boutique law firm. § §We are a small team located just outside of the Christchurch CBD in a modern purpose built building.§ §We are busy and looking for someone who can pick up conveyancing files and work alongside our directors to run them professionally and competently on a day to day basis including dealing with clients.§ §Please send your CV and covering letter to Jane Allen at §jane.allen@allenyeelawyers.co.nz§ by Friday 16 October 2020.§ §All applications will be treated in the strictest confidence.§§§§"
50688039,https://www.seek.co.nz/job/50688039,"Legal Secretary | Property Team Job in Auckland - SEEK","McVeagh Fleming","6 Oct 2020","Full Time","Auckland, Rodney & North Shore",Legal,"Legal Secretaries","","    ","How many years","Which of the following statements best describes your right to work in New Zealand?","TXT/50688039.txt	§Legal Secretary | Property Team§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Legal Secretary | Property Team§§Advertiser: §McVeagh Fleming§§More jobs from this company§§§§Job Information§§Job Listing Date§§6 Oct 2020§§Location§§Auckland§, §Rodney &amp; North Shore§§Work Type§§Full Time§§Classification§§Legal§, §Legal Secretaries§§§§§§McVeagh Fleming is a well-established, medium sized law firm specialising in all areas of practice. The firm has been operating in Auckland for over 100 years and have offices in Auckland CBD, Albany and Manukau. § §Due to an internal promotion, we have an opening at our Albany office for an experienced Secretary.  In this role, you will be providing full-time secretarial and administrative support to two Authors in our Property team. This role is busy and varied and will require someone who is organised &amp; meticulous.  § §Some of the responsibilities include: § § §opening &amp; closing files. § §drafting legal documents &amp; agreement clauses. § §maintaining and organising files. § §reviewing and proofreading documents.§ §scheduling appointments with clients.§ §preparing invoices and statements.§ §preparing conveyancing settlement statements. § §The key skills required for this role include: § § §prior experience in Property (Landonline, eDealings), Estates, Trusts &amp; Wills.   § §excellent written and verbal English language skills.§ §drafting &amp; document preparation.  § §good time management skills.§ §the ability to work efficiently and effectively under pressure.§ §excellent attention to detail.§ §prior experience with iManage &amp; Aderant preferred but not essential.§ §If you are interested in this role, click the apply button on §Seek§ to submit your CV and Cover Letter (please do not email your applications). § §Candice Petersen, HR Advisor. § §www.mcveaghfleming.co.nz§ §Please note that only candidates who have the legal right to work in New Zealand will be considered. §§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§How many years&#x27; experience do you have in property law?§What&#x27;s your expected annual base salary?§How much notice are you required to give your current employer?§How many years&#x27; experience do you have as a secretary?§§§"
50684120,https://www.seek.co.nz/job/50684120,"Graduate/ Junior Solicitor Job in Wellington - SEEK","Ministry of Housing and Urban Development","5 Oct 2020","Full Time",Wellington,Legal,"Property Law",annie.colebrook@hud.govt.nz,"  ","","You must have the legal right to live and work in New Zealand.","TXT/50684120.txt	§Graduate/ Junior Solicitor§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Graduate/ Junior Solicitor§§Advertiser: §Ministry of Housing and Urban Development§§More jobs from this company§§§§Job Information§§Job Listing Date§§5 Oct 2020§§Location§§Wellington§§Work Type§§Full Time§§Classification§§Legal§, §Property Law§§§§§§§§§  §    §    §      §Graduate/ Junior Solicitor §      §        §About us | Mō mātou§        §We think all Kiwis should have somewhere warm and dry to live, and we want our cities to lead the world in living standards.  Now is your opportunity to be part of building a new Ministry and a brighter future for New Zealand. §        §The Ministry of Housing and Urban Development (HUD) is here to deliver the Government's programme to address homelessness, increase public and private housing supply, make existing homes warmer and healthier.  We want to make housing more affordable for people to rent and buy and lead quality urban development strategies to create thriving communities.  §        §About the role | Mō te tūnga§        §Reporting to the Chief Legal Advisor, you will contribute directly to the successful operations of the legal team. The team is responsible for providing guidance and operational advice in relation to housing legislation and the Ministry's corporate business, contracting, complex property and development transactions, privacy and development of policy and legislation.§        §Ideally you'll have some post-graduation work experience, in a legal or related field. This is a varied role that encompasses operational and public law advice, with the opportunity to work on property transactions and/or the development of legislation. You will be responsible for providing high-quality, timely, accurate and practical legal advice in a dynamic context and in a variety of forms, ranging from opinions to oral advice through to training clients.  You will take the lead on some complex assignments and projects while contributing to the team's overall programme of work.§        §About you | Mōu§        §          §Law graduate with previous work experience§          §Completed the Professional Legal Studies Course and holding or entitled to hold a practising certificate§          §Take a calm and considered approach to others and your work§          §Be a clear and concise communicator, both written and verbal§          §Be a team player and comfortable working with a broad range of stakeholders§          §Awareness of, and sensitivity to, the cultural values of different ethnic groups generally, and Tangata Whenua in particular§          §Interest in the political decision-making process, and the parliamentary legislative process§        §        § This is an ideal opportunity to build on your legal career and make a genuine difference to the lives of all New Zealanders'.§        §Be part of the journey, help us make Aotearoa a better place to live. Apply now.§        §How to Apply |§ §Me pēhea te tuku tono§        §Please click on the §APPLY§ button below in order to be directed to the application page.  From here you can upload your CV and cover letter. §For tracking and evaluation purposes, all applications must be submitted via our on-line process.§        §You must have the legal right to live and work in New Zealand.§        §For further inquiries please contact Annie Colebrook at §annie.colebrook@hud.govt.nz§.§        §Applications closes 20 October  2020.§        § §        § §      §    §    §      §      §    §  §§§About us | Mō mātou§We think all Kiwis should have somewhere warm and dry to live, and we want our cities to lead the world in living standards.  Now is your opportunity to be part of building a new Ministry and a brighter future for New Zealand. §The Ministry of Housing and Urban Development (HUD) is here to deliver the Government's programme to address homelessness, increase public and private housing supply, make existing homes warmer and healthier.  We want to make housing more affordable for people to rent and buy and lead quality urban development strategies to create thriving communities.  §About the role | Mō te tūnga§Reporting to the Chief Legal Advisor, you will contribute directly to the successful operations of the legal team. The team is responsible for providing guidance and operational advice in relation to housing legislation and the Ministry's corporate business, contracting, complex property and development transactions, privacy and development of policy and legislation.§Ideally you'll have some post-graduation work experience, in a legal or related field. This is a varied role that encompasses operational and public law advice, with the opportunity to work on property transactions and/or the development of legislation. You will be responsible for providing high-quality, timely, accurate and practical legal advice in a dynamic context and in a variety of forms, ranging from opinions to oral advice through to training clients.  You will take the lead on some complex assignments and projects while contributing to the team's overall programme of work.§About you | Mōu§§Law graduate with previous work experience§Completed the Professional Legal Studies Course and holding or entitled to hold a practising certificate§Take a calm and considered approach to others and your work§Be a clear and concise communicator, both written and verbal§Be a team player and comfortable working with a broad range of stakeholders§Awareness of, and sensitivity to, the cultural values of different ethnic groups generally, and Tangata Whenua in particular§Interest in the political decision-making process, and the parliamentary legislative process§§ This is an ideal opportunity to build on your legal career and make a genuine difference to the lives of all New Zealanders'.§Be part of the journey, help us make Aotearoa a better place to live. Apply now.§How to Apply |§ §Me pēhea te tuku tono§Please click on the §APPLY§ button below in order to be directed to the application page.  From here you can upload your CV and cover letter. §For tracking and evaluation purposes, all applications must be submitted via our on-line process.§§You must have the legal right to live and work in New Zealand.§For further inquiries please contact Annie Colebrook at §annie.colebrook@hud.govt.nz§.§Applications closes 20 October  2020.§ § §§§§"
50708941,https://www.seek.co.nz/job/50708941,"Junior Solicitor/ Legal Executive with 1 year plus experience Job in Auckland - SEEK","Lucy Chu Lawyers","8 Oct 2020","Full Time","Auckland, Auckland Central",Legal,"Property Law","","     1   ","How many years"," right to live and work ","TXT/50708941.txt	§Junior Solicitor/ Legal Executive with 1 year plus experience§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Junior Solicitor/ Legal Executive with 1 year plus experience§§Advertiser: §Lucy Chu Lawyers§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Oct 2020§§Location§§Auckland§, §Auckland Central§§Work Type§§Full Time§§Classification§§Legal§, §Property Law§§§§§§We are a well established law firm based on 876 Dominion Rd, Mt Eden. § §We are looking for a junior solicitor or a legal executive with the following skills:  § §1. Excellent written and verbal Chinese and English;§ §2. Excellent customer service and communication skills.§ §3. Experience in conveyancing and commercial transactions, trust, estate planning, family.§ § § § § § § § §§§§The application form will include these questions:§§How many years&#x27; experience do you have in property law?§How would you rate your English language skills?§Do you have customer service experience?§§§Right to live and work§§You must have the§ right to live and work §in this location to apply for this job.§§§"
50687857,https://www.seek.co.nz/job/50687857,"Junior Criminal Defence Lawyer Job in Wellington - SEEK","Ministry of Justice","6 Oct 2020","Full Time","Wellington, Wellington Central",Legal,"Criminal & Civil Law",recruitment@justice.govt.nz,"   ","","","TXT/50687857.txt	§Junior Criminal Defence Lawyer§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Junior Criminal Defence Lawyer§§Advertiser: §Ministry of Justice§§More jobs from this company§§§§Job Information§§Job Listing Date§§6 Oct 2020§§Location§§Wellington§, §Wellington Central§§Work Type§§Full Time§§Classification§§Legal§, §Criminal &amp; Civil Law§§§§§§§§§  §    §    §    §      §The Public Defence Service (PDS) is New Zealand's largest criminal law practice, providing high quality legal advice and representation in a full range of criminal cases. Aimed at helping people access justice, the PDS promotes the values of respect, integrity, and the delivery of excellent service to its clients.§      §Junior Criminal Defence Lawyer §      §        §Junior Criminal Defence Lawyer - Supervised Provider§        §Wellington§        § §        §Te āhuatunga a te tūranga/About the Role§        §We are looking for a Junior Criminal Defence Lawyer - Supervised Provider to join the team in our vibrant capital city's central Wellington office - with clients at the Wellington, Porirua and Hutt District Courts as well as the higher courts.§        §You will support other lawyers in the office through submissions, legal research and analysis, and observe court appearances to develop your own skills. You will develop into having your own file load and regularly appearing in court as you gain experience.  You will have expert and talented colleagues around who will mentor you and support your development to the next level of your career.  The PDS is well known for its comprehensive professional development programme in criminal litigation and is considered an excellent training ground and full of opportunities for a successful legal career.  §        § §        §Mō te tīma/About our Team§        §You will join a team of around 27 legal and support staff with a range of experience and a genuine interest in sharing knowledge and supporting one-another in a busy and sometimes challenging environment.§        §The PDS is part of the Ministry of Justice and the wider justice sector. The ministry provides centralised business services, infrastructure and support to the work of the PDS.§        §The Public Defence Service (PDS) is New Zealand's largest criminal law practice, providing high quality legal advice and representation in a full range of criminal cases. Aimed at helping people access justice, the PDS promotes the values of respect, integrity, service and the delivery of excellent service to its clients. §        §Joining the Ministry of Justice means you will become part of an inclusive organisation that values you and the communities we serve. §It's our promise to ensure our workplace is one where our people feel healthy and safe, supported and able to be themselves at work. We value respect as the foundation for building a positive workplace culture and one where diversity is welcomed and celebrated. §        § §        §He pūkenga tou/Skills and§ Experience§        §To be successful you must be passionate about criminal justice issues.§        §You will be developing an ability to build credibility with judges, peers and others in the legal community. As an important member of a close-knit team you will enjoy exchanging ideas and brainstorming - and providing support and light relief when required.§        §You will have empathy and the ability to relate to a wide range of people, this is a challenging but truly satisfying job and our lawyers love what they do.  §        § §        § §Tono mai/How to Apply§        §APPLY and complete the application form, attaching your CV, cover letter and a copy of your academic record. §        §Applications close on 25 October 2020 and the salary band for this role is§ $51,849 - $67,098 §        §If you have any questions please contact §recruitment@justice.govt.nz§        § §        § §      §      §      §    §    §  §§§Junior Criminal Defence Lawyer - Supervised Provider§§Wellington§ §Te āhuatunga a te tūranga/About the Role§We are looking for a Junior Criminal Defence Lawyer - Supervised Provider to join the team in our vibrant capital city's central Wellington office - with clients at the Wellington, Porirua and Hutt District Courts as well as the higher courts.§You will support other lawyers in the office through submissions, legal research and analysis, and observe court appearances to develop your own skills. You will develop into having your own file load and regularly appearing in court as you gain experience.  You will have expert and talented colleagues around who will mentor you and support your development to the next level of your career.  The PDS is well known for its comprehensive professional development programme in criminal litigation and is considered an excellent training ground and full of opportunities for a successful legal career.  § §Mō te tīma/About our Team§You will join a team of around 27 legal and support staff with a range of experience and a genuine interest in sharing knowledge and supporting one-another in a busy and sometimes challenging environment.§The PDS is part of the Ministry of Justice and the wider justice sector. The ministry provides centralised business services, infrastructure and support to the work of the PDS.§The Public Defence Service (PDS) is New Zealand's largest criminal law practice, providing high quality legal advice and representation in a full range of criminal cases. Aimed at helping people access justice, the PDS promotes the values of respect, integrity, service and the delivery of excellent service to its clients. §§Joining the Ministry of Justice means you will become part of an inclusive organisation that values you and the communities we serve. §It's our promise to ensure our workplace is one where our people feel healthy and safe, supported and able to be themselves at work. We value respect as the foundation for building a positive workplace culture and one where diversity is welcomed and celebrated. §§ §§He pūkenga tou/Skills and§ Experience§To be successful you must be passionate about criminal justice issues.§You will be developing an ability to build credibility with judges, peers and others in the legal community. As an important member of a close-knit team you will enjoy exchanging ideas and brainstorming - and providing support and light relief when required.§You will have empathy and the ability to relate to a wide range of people, this is a challenging but truly satisfying job and our lawyers love what they do.  § § §Tono mai/How to Apply§APPLY and complete the application form, attaching your CV, cover letter and a copy of your academic record. §Applications close on 25 October 2020 and the salary band for this role is§ $51,849 - $67,098 §If you have any questions please contact §recruitment@justice.govt.nz§ § §§§§"
50696541,https://www.seek.co.nz/job/50696541,"Lawyer Job in Auckland - SEEK","Ministry of Social Development","7 Oct 2020","Full Time","Auckland, Auckland Central",Legal,"Corporate & Commercial Law",jobs@msd.govt.nz,"","","","TXT/50696541.txt	§Lawyer§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Lawyer§§Advertiser: §Ministry of Social Development§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Oct 2020§§Location§§Auckland§, §Auckland Central§§Work Type§§Full Time§§Classification§§Legal§, §Corporate &amp; Commercial Law§§§§§§§§§  §    §Lawyer §    §      §        §Job Ref: 35191§        §Put your legal skills and experience to work, helping New Zealanders to be safe, strong and independent!§        §We are looking for an enthusiastic lawyer to join our supportive and cooperative team and provide quality legal services for the Ministry of Social Development.§        §Our team needs a keen, proactive lawyer who has great client relationship skills, is curious and attracted by a role that provides a wide range of opportunities to work in different areas of the law. The role focuses on supporting all areas of the Ministry’s regional operations and involves advising clients, advocating in the Social Security Appeal Authority and prosecuting in the District Court.§        §Our lawyers must:§        §          §Build great working relationships§          §Provide clear legal advice on complex issues§          §Support team working§        §        §You’ll join an inclusive and fun environment where we will celebrate your achievements and prioritise your development. Our team values diversity and we welcome flexible working.§        §If you are interested, then we’d love to hear from you. §        §How to apply§        §To apply, click the 'Apply Now' button to upload your CV and cover letter outlining your suitability for this role.  Please ensure you highlight which opportunity and role you are interested in.§        §All applications must be made online. If this is not possible or if you have any queries, please contact us at §jobs@msd.govt.nz§        §Applications close 18 October.§      §      §The Ministry of Social Development is one of New Zealand's largest government agencies. Our work to achieve better social outcomes affects almost every New Zealander, now or in the future.§        §https://jobs.msd.govt.nz/§      §    §    §  §§§Job Ref: 35191§ §Put your legal skills and experience to work, helping New Zealanders to be safe, strong and independent!§ §We are looking for an enthusiastic lawyer to join our supportive and cooperative team and provide quality legal services for the Ministry of Social Development.§ §Our team needs a keen, proactive lawyer who has great client relationship skills, is curious and attracted by a role that provides a wide range of opportunities to work in different areas of the law. The role focuses on supporting all areas of the Ministry’s regional operations and involves advising clients, advocating in the Social Security Appeal Authority and prosecuting in the District Court.§ §Our lawyers must:§ § §Build great working relationships§ §Provide clear legal advice on complex issues§ §Support team working§ §You’ll join an inclusive and fun environment where we will celebrate your achievements and prioritise your development. Our team values diversity and we welcome flexible working.§ §If you are interested, then we’d love to hear from you. § §How to apply§ §To apply, click the 'Apply Now' button to upload your CV and cover letter outlining your suitability for this role.  Please ensure you highlight which opportunity and role you are interested in.§ §All applications must be made online. If this is not possible or if you have any queries, please contact us at §jobs@msd.govt.nz§ §Applications close 18 October.§§§§"
50680820,https://www.seek.co.nz/job/50680820,"Lawyer Job in Auckland - SEEK","Home Transfer Centre","4 Oct 2020","Full Time","Auckland, Rodney & North Shore",Legal,"Generalists - Law Firm","","","How many years","Applicants for this position should have NZ residency or a valid NZ work visa.","TXT/50680820.txt	§Lawyer§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Lawyer§§Advertiser: §Home Transfer Centre§§More jobs from this company§§§§Job Information§§Job Listing Date§§4 Oct 2020§§Location§§Auckland§, §Rodney &amp; North Shore§§Work Type§§Full Time§§Classification§§Legal§, §Generalists - Law Firm§§§§§§ Lawyer with 4 plus years’ experience – Auckland§ § §Do you love property law§ §Are you looking for a new start§ §Are ready to manage your own team in a busy law firm§ §Are you starting to thinking about your future and potential partnership opportunities§ §Are you wanting to stay close to home and work on the Shore or prefer the City (you can work from home too§ §If you answered YES to any of the above then this position could be for you!§ §We are looking for a passionate lawyer who has experience with property law, estates, trusts and wills.  We are a modern paperless office and use Infinity Law for our Trust Accounting and file management, with three offices you have full support of other experienced lawyers and staff to help manage files.§ §You will be responsible for:§ § §Initial contact with client once agreement arrives, phone or email§ §Letters of Engagement§ §Handling conditions§ §Assisting Legal Executive with settlement being completed§ §Drafting agreements§ §Wills and Estates§ §Building Contract Reviews§ §Assisting with staff management§ §Ideal candidate will have:§ § §At least 4 years current experience working in a conveyancing firm§ §Excellent communication skills§ §Attention to details§ §Infinity and LINZ systems experience§ §be able to manage your own workload§ §have the ability to meet deadlines§ §demonstrate relationship building skills with clients and our dedicated Team§ §Car parking provided.  We have two offices in Auckland - one in Albany and one in the City. You can have the opportunity to work in either office.§ §Applicants for this position should have NZ residency or a valid NZ work visa.§ §If this sounds like you then we would love to hear from you.§§§§The application form will include these questions:§§How many years&#x27; experience do you have as a lawyer?§How many years&#x27; experience do you have in property law?§What&#x27;s your expected annual base salary?§How much notice are you required to give your current employer?§§§"
50706105,https://www.seek.co.nz/job/50706105,"Legal Administrator Job in Canterbury - SEEK","Anthony Harper","8 Oct 2020","Full Time","Canterbury, Christchurch",Legal,"Legal Secretaries",""," ","","Which of the following statements best describes your right to work in New Zealand?","TXT/50706105.txt	§Legal Administrator§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Legal Administrator§§Advertiser: §Anthony Harper§§More jobs from this company§§§§Job Information§§Job Listing Date§§8 Oct 2020§§Location§§Canterbury§, §Christchurch§§Work Type§§Full Time§§Classification§§Legal§, §Legal Secretaries§§§§§§ANTHONY HARPER§A little about us:§Anthony Harper is a top, internationally ranked, award winning law firm. With offices in Auckland and Christchurch we work with some of the largest national and international clients helping them advance their business goals. §About the opportunity:§We are looking for an enthusiastic and proactive full-time Legal Administrator to join our team in our central Christchurch office! This role doesn't necessarily require a legal background (although this would be beneficial), but it would suit someone with strong document management, administration and organisation skills, who is proactive and shows initiative. The role is varied and will require someone who can manage competing priorities and has excellent time management skills. §As a Legal Administrator you will provide administration support to our Authors in the Property team, enabling us as a firm to deliver a high quality experience to our clients. As part of providing this support, you may at times act in a personal assistant capacity to partners, assist with documentation preparation and collation, file management, word processing and providing cover for reception as and when required. §How to stand out:§The ideal candidate will have:§Excellent verbal and written communication skills including strong comprehension and grammar.§Proficiency with technology and software.§The ability to work collaboratively as part of a team.§A proactive attitude and takes initiative in tasks beyond those required.§Excellent organisation, multi-tasking and time management skills.§Adaptable to changing situations and open to new ways of working.§A strong customer focus and a high level of attention to detail.§Proven proficiency in Microsoft Office with strong Word and Outlook skills.§You'll be an integral part of a small team, in a supportive and collaborative environment.  §If you think you have what it takes to be part of our team please send through your CV today by clicking the 'apply now' button below.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Do you have experience in an administration role?§Which of the following Microsoft Office products are you experienced with?§What&#x27;s your expected annual base salary?§§§"
50647195,https://www.seek.co.nz/job/50647195,"Law Graduate/Commercial Property Job in Waikato - SEEK","Harkness Henry","29 Sept 2020","Full Time","Waikato, Hamilton",Legal,"Corporate & Commercial Law","To apply please email your CV, academic transcript and cover letter to Lee James at HR@harkness.co.nz by 4pm Thursday 15 October 2020.","  ","","Which of the following statements best describes your right to work in New Zealand?","TXT/50647195.txt	§Law Graduate/Commercial Property§§More jobs from this company§§§§§§§§Job Description§§Job Header§§Law Graduate/Commercial Property§§Advertiser: §Harkness Henry§§More jobs from this company§§§§Job Information§§Job Listing Date§§29 Sept 2020§§Location§§Waikato§, §Hamilton§§Work Type§§Full Time§§Classification§§Legal§, §Corporate &amp; Commercial Law§§§§§§Harkness Henry is one of the longest running law firms in New Zealand having been established in 1875. We pride ourselves on our excellent service and the enduring relationships we build with our clients. Our staff say that the best thing about Harkness Henry is the people. We are looking for a graduate lawyer who will be a good fit in our outstanding Commercial &amp; Property team.§ §What you get working for Harkness Henry:§ § §You will be surrounded by top lawyers§ §You will be mentored by some truly exceptional people§ §You will have the opportunity to make a difference to the commercial success and lives of our clients§ §You will have the use of innovative technology§ §You will be encouraged to develop and learn with our continuing professional development programme§ §You will be recognised for your excellent work, initiative and drive§ §We would love to hear from you if you:§ § §Have an excellent academic record§ §Have a can do attitude§ §Are a team player§ §Have aspirations to be an exceptional lawyer§ §Want to be part of an engaged and hardworking team§ §Have an engaging personality and great sense of humour§ §If you’re not local to Hamilton you don’t know what you’re missing. It is the gateway to the central North Island and truly beautiful city with the Mighty Waikato River running right through it. I has one of the best botanical gardens in the world and a vibrant café/bar scene. Hamilton has a young, smart and innovative population and a welcoming spirit. It is the centre of one of the richest agricultural and pastoral areas in the world.§ §To apply please email your CV, academic transcript and cover letter to Lee James at HR@harkness.co.nz by 4pm Thursday 15 October 2020.§§§§The application form will include these questions:§§Which of the following statements best describes your right to work in New Zealand?§Which of the following Microsoft Office products are you experienced with?§How much notice are you required to give your current employer?§§§"
50697271,https://www.seek.co.nz/job/50697271,"Legal Executive Job in Canterbury - SEEK","RMF Silva Limited","7 Oct 2020","Full Time","Canterbury, Timaru & South Canterbury",Legal,"Law Clerks & Paralegals",""," ","","We are now looking for an experienced Legal Executive to join our busy property team.  Working with a team of legal executives and lawyers, the role includes a high volume of quality work ranging from residential to industrial property with everything in between.","TXT/50697271.txt	§Legal Executive§§More jobs from this company§§§§§§§§§§Job Description§§Job Header§§Legal Executive§§Advertiser: §RMF Silva Limited§§More jobs from this company§§§§Job Information§§Job Listing Date§§7 Oct 2020§§Location§§Canterbury§, §Timaru &amp; South Canterbury§§Work Type§§Full Time§§Classification§§Legal§, §Law Clerks &amp; Paralegals§§§§§§RMF Silva is Mid Canterbury’s oldest new law firm, enjoying exceptional growth since our merger in 2019 from century old foundations.§Our team of 28 continues to grow and is proud to serve a strong, safe and progressive community including the world’s finest farmers and a huge variety of businesses, individuals and organisations.§We are now looking for an experienced Legal Executive to join our busy property team.  Working with a team of legal executives and lawyers, the role includes a high volume of quality work ranging from residential to industrial property with everything in between.§ We can offer market leading remuneration packages, a great team culture and progression without limits in a region with great amenities that can handle whatever the world throws at it.§If you want to be part of a fun, friendly team that get things done, we would love to hear from you!§Applications close 22nd October.§§§§"
